Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,62,18,161,0.273,58,6,16,61,8,2,14,2,77.0,1,San Jose St.,294.81,237.83,116.69,101.33,845.69,620.11,0.2,0.08,317.93,265.53,39.58,37.17,56.67,54.77,393.2,268.5,37.17,34.58,16.0,12.78,122.0,90.58,16.27,11.17,405.6,359.03,8.1,14.38
1,4,62,23,171,0.228,58,13,14,70,5,6,12,2,87.0,0,Utah Valley,294.81,268.12,116.69,106.53,845.69,742.71,0.2,0.16,317.93,281.2,39.58,29.46,56.67,44.08,393.2,345.0,37.17,35.33,16.0,12.1,122.0,125.69,16.27,15.83,405.6,367.44,8.1,14.86
1,3,48,17,111,0.279,46,3,6,44,6,0,12,0,57.0,0,Fresno St.,294.81,229.17,116.69,104.61,845.69,618.0,0.2,0.05,317.93,276.86,39.58,37.0,56.67,54.83,393.2,269.19,37.17,32.79,16.0,25.75,122.0,102.77,16.27,14.64,405.6,340.19,8.1,8.29
1,4,57,17,169,0.237,50,3,13,87,3,0,25,3,72.5,1,Northeastern,294.81,226.0,116.69,105.58,845.69,654.95,0.2,0.16,317.93,307.15,39.58,33.85,56.67,45.93,393.2,341.19,37.17,32.15,16.0,12.2,122.0,114.73,16.27,12.82,405.6,304.83,8.1,16.62
0,4,43,29,148,0.095,43,4,6,57,2,3,8,1,54.0,1,CSUN,294.81,221.33,116.69,93.06,845.69,581.17,0.2,0.16,317.93,244.27,39.58,46.45,56.67,50.23,393.2,260.5,37.17,40.77,16.0,19.18,122.0,66.42,16.27,13.56,405.6,319.03,8.1,8.67
1,3,49,14,115,0.304,49,9,8,59,2,0,8,0,62.0,0,Weber St.,294.81,250.35,116.69,100.71,845.69,714.53,0.2,0.22,317.93,284.86,39.58,35.3,56.67,39.31,393.2,349.53,37.17,30.23,16.0,25.0,122.0,114.18,16.27,12.8,405.6,388.36,8.1,11.75
1,3,48,24,126,0.190,46,8,9,52,4,3,4,4,61.0,0,Wyoming,294.81,279.38,116.69,118.12,845.69,747.0,0.2,0.08,317.93,298.14,39.58,36.55,56.67,52.08,393.2,335.0,37.17,29.71,16.0,11.8,122.0,118.42,16.27,17.22,405.6,380.03,8.1,11.33
0,3,28,21,94,0.074,25,3,6,30,6,3,18,2,43.0,0,Washington,294.81,271.33,116.69,100.44,845.69,716.94,0.2,0.16,317.93,303.53,39.58,37.46,56.67,36.76,393.2,341.38,37.17,39.5,16.0,15.6,122.0,121.92,16.27,16.23,405.6,421.3,8.1,7.45
0,4,51,23,155,0.181,50,8,4,73,6,1,8,9/,64.0,1,Missouri St.,294.81,278.42,116.69,99.95,845.69,797.16,0.2,0.18,317.93,335.2,39.58,33.0,56.67,41.42,393.2,398.78,37.17,32.1,16.0,12.38,122.0,90.08,16.27,11.09,405.6,355.53,8.1,13.86
1,4,56,21,156,0.224,52,8,6,72,1,4,19,2,77.5,0,Long Beach St.,294.81,219.44,116.69,90.06,845.69,613.33,0.2,0.18,317.93,243.87,39.58,29.43,56.67,50.36,393.2,265.47,37.17,34.67,16.0,12.33,122.0,71.44,16.27,15.73,405.6,317.59,8.1,8.56
1,3,50,11,120,0.325,47,4,3,56,2,3,16,0,65.0,1,Sacramento St.,294.81,368.12,116.69,135.38,845.69,1066.56,0.2,0.13,317.93,395.07,39.58,50.73,56.67,57.92,393.2,548.79,37.17,47.73,16.0,23.33,122.0,140.27,16.27,20.7,405.6,464.34,8.1,10.12
0,3,46,21,127,0.197,42,3,7,41,4,1,12,3,56.0,1,Missouri,294.81,343.33,116.69,140.73,845.69,888.07,0.2,0.25,317.93,341.43,39.58,36.08,56.67,61.45,393.2,380.86,37.17,34.31,16.0,29.0,122.0,136.82,16.27,18.18,405.6,473.25,8.1,13.7
1,4,53,21,149,0.215,51,5,9,57,4,2,26,3,73.0,0,Nevada,294.81,264.62,116.69,123.31,845.69,742.19,0.2,0.13,317.93,283.36,39.58,34.17,56.67,45.36,393.2,318.73,37.17,31.5,16.0,16.4,122.0,97.08,16.27,19.18,405.6,359.37,8.1,3.44
0,4,59,24,154,0.227,56,4,7,72,2,1,16,2,72.0,2,BYU,294.81,245.11,116.69,94.53,845.69,634.53,0.2,0.16,317.93,312.57,39.58,33.17,56.67,39.75,393.2,279.0,37.17,32.0,16.0,12.5,122.0,116.21,16.27,15.08,405.6,352.56,8.1,8.17
1,4,56,23,164,0.201,54,4,11,67,5,1,32/,2,77.0,1,Pacific,294.81,314.86,116.69,133.57,845.69,844.86,0.2,0.19,317.93,319.77,39.58,37.83,56.67,59.0,393.2,370.08,37.17,36.17,16.0,11.56,122.0,136.8,16.27,13.82,405.6,434.62,8.1,11.4
0,5,71,26,177,0.254,69,4,7,62,8,1,18,1,85.0,3,Gonzaga,294.81,252.47,116.69,110.71,845.69,700.71,0.2,0.19,317.93,271.53,39.58,28.71,56.67,43.38,393.2,309.38,37.17,32.14,16.0,13.1,122.0,87.23,16.27,13.3,405.6,337.0,8.1,16.43
