Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
271.19,226.68,115.38,97.89,747.69,628.32,0.12,0.23,291.14,283.79,41.92,30.6,57.67,43.76,346.86,270.5,42.83,38.42,12.1,17.55,80.17,73.0,14.6,11.67,388.86,303.89,12.5,9.29,1,5,58,19,152,0.257,56,2,5,72,6,4,8,2,68.0,0
271.19,264.31,115.38,126.0,747.69,750.06,0.12,0.18,291.14,269.0,41.92,32.62,57.67,45.62,346.86,352.6,42.83,30.92,12.1,11.9,80.17,83.31,14.6,13.92,388.86,354.23,12.5,15.4,1,3,49,12,126,0.294,44,5,6,63,4,1,2,2,56.0,1
271.19,205.65,115.38,90.7,747.69,580.6,0.12,0.14,291.14,257.4,41.92,25.8,57.67,35.71,346.86,260.17,42.83,31.0,12.1,12.36,80.17,88.31,14.6,9.17,388.86,306.47,12.5,10.64,1,4,48,21,142,0.190,48,3,13,63,5,2,24,2,65.0,4
271.19,266.56,115.38,105.33,747.69,738.28,0.12,0.19,291.14,319.5,41.92,30.33,57.67,33.6,346.86,366.94,42.83,40.89,12.1,15.5,80.17,116.0,14.6,16.7,388.86,368.56,12.5,15.55,1,3,42,8,77,0.442,41,8,7,28,3,0,6,0,53.0,1
271.19,217.56,115.38,97.44,747.69,672.06,0.12,0.15,291.14,230.36,41.92,34.27,57.67,26.79,346.86,343.43,42.83,32.15,12.1,20.11,80.17,72.17,14.6,19.4,388.86,319.43,12.5,14.64,1,3,42,18,112,0.214,38,8,7,47,1,3,8,0,57.0,2
271.19,204.0,115.38,92.21,747.69,585.16,0.12,0.04,291.14,237.47,41.92,30.36,57.67,37.33,346.86,311.13,42.83,42.1,12.1,17.67,80.17,85.23,14.6,10.92,388.86,313.38,12.5,12.12,1,4,51,28,158,0.146,46,6,9,62,3,2,8,1,63.0,1
271.19,183.25,115.38,86.25,747.69,570.55,0.12,0.14,291.14,197.24,41.92,30.71,57.67,41.33,346.86,285.44,42.83,29.53,12.1,11.67,80.17,62.77,14.6,7.27,388.86,256.0,12.5,8.9,1,4,65,20,167,0.269,58,10,11,68,2,1,8,2,80.0,2
271.19,238.94,115.38,100.06,747.69,710.61,0.12,0.12,291.14,289.21,41.92,39.46,57.67,48.57,346.86,338.35,42.83,39.86,12.1,13.0,80.17,78.75,14.6,12.45,388.86,338.53,12.5,16.25,1,3,49,11,96,0.396,48,6,6,51,2,0,8,0,59.0,1
271.19,232.87,115.38,106.27,747.69,751.6,0.12,0.1,291.14,230.57,41.92,31.62,57.67,31.0,346.86,375.5,42.83,40.83,12.1,12.5,80.17,73.58,14.6,11.73,388.86,317.54,12.5,12.5,1,3,44,16,113,0.248,41,7,4,53,2,0,8,0,55.0,2
271.19,221.44,115.38,102.19,747.69,606.81,0.12,0.13,291.14,252.69,41.92,37.75,57.67,41.33,346.86,278.43,42.83,42.92,12.1,8.7,80.17,77.08,14.6,15.83,388.86,303.03,12.5,11.7,1,3,44,15,103,0.282,43,4,4,46,3,0,11,1,53.5,0
