Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
305.33,255.29,133.67,120.0,887.93,718.88,0.2,0.04,333.85,271.6,32.0,45.25,73.3,49.71,420.14,302.31,27.62,30.18,18.22,10.0,88.5,91.58,15.3,16.09,401.93,368.83,12.8,11.33,1,5,67,24,171,0.251,60,6,10,83,9,1,24,3,86.0,0
305.33,241.84,133.67,104.79,887.93,687.05,0.2,0.08,333.85,268.62,32.0,43.2,73.3,47.67,420.14,350.65,27.62,37.09,18.22,18.6,88.5,75.43,15.3,11.67,401.93,337.71,12.8,17.11,0,4,47,29,137,0.131,45,5,14,44,4,2,12,2,60.0,1
305.33,230.11,133.67,101.67,887.93,690.22,0.2,0.14,333.85,277.14,32.0,32.79,73.3,42.0,420.14,339.71,27.62,34.07,18.22,17.18,88.5,76.62,15.3,15.64,401.93,311.06,12.8,11.56,1,4,62,20,156,0.269,56,7,17,57,4,0,8,2,73.0,0
305.33,294.81,133.67,117.5,887.93,885.75,0.2,0.15,333.85,368.5,32.0,41.1,73.3,49.83,420.14,499.0,27.62,40.8,18.22,14.9,88.5,118.36,15.3,14.3,401.93,456.0,12.8,9.5,1,3,48,23,145,0.172,46,5,10,74,3,2,16,1,63.0,0
305.33,256.68,133.67,107.32,887.93,758.11,0.2,0.16,333.85,307.27,32.0,36.1,73.3,38.14,420.14,368.61,27.62,28.0,18.22,11.0,88.5,86.38,15.3,12.64,401.93,370.72,12.8,12.5,0,3,37,19,115,0.157,36,4,9,45,2,2,4,1,45.0,1
305.33,213.05,133.67,78.86,887.93,602.81,0.2,0.21,333.85,279.0,32.0,27.75,73.3,35.75,420.14,308.67,27.62,40.2,18.22,21.91,88.5,63.64,15.3,16.09,401.93,280.23,12.8,14.38,0,3,37,25,117,0.103,36,2,8,46,3,2,8,1,45.0,0
305.33,227.45,133.67,95.55,887.93,649.7,0.2,0.24,333.85,265.19,32.0,30.13,73.3,33.22,420.14,301.89,27.62,40.73,18.22,21.36,88.5,80.62,15.3,14.82,401.93,303.16,12.8,12.78,0,3,33,27,115,0.052,31,3,7,53,2,1,8,1,41.0,1
305.33,240.22,133.67,104.61,887.93,709.17,0.2,0.11,333.85,271.87,32.0,33.0,73.3,39.86,420.14,356.44,27.62,35.73,18.22,9.33,88.5,111.64,15.3,16.6,401.93,338.62,12.8,9.44,0,5,59,23,181,0.199,56,2,10,73,4,3,12,2,70.0,4
305.33,212.33,133.67,91.61,887.93,595.78,0.2,0.15,333.85,234.93,32.0,36.54,73.3,47.5,420.14,237.76,27.62,38.92,18.22,20.8,88.5,65.5,15.3,13.56,401.93,306.12,12.8,11.6,1,4,56,17,122,0.320,49,4,6,51,7,5,12,1,71.0,1
305.33,216.33,133.67,95.06,887.93,645.61,0.2,0.08,333.85,260.93,32.0,36.25,73.3,38.62,420.14,331.0,27.62,33.0,18.22,11.5,88.5,77.31,15.3,13.92,401.93,353.32,12.8,21.33,1,4,51,16,142,0.246,51,5,9,64,4,1,16,0,65.0,2
305.33,310.31,133.67,142.56,887.93,911.69,0.2,0.08,333.85,359.46,32.0,39.17,73.3,53.0,420.14,468.86,27.62,47.2,18.22,16.64,88.5,110.31,15.3,14.0,401.93,422.33,12.8,9.8,1,4,48,25,160,0.144,49,2,7,69,3,1,14,0,58.0,4
305.33,267.61,133.67,115.61,887.93,768.83,0.2,0.22,333.85,326.0,32.0,33.75,73.3,44.92,420.14,386.88,27.62,38.33,18.22,11.9,88.5,86.77,15.3,19.0,401.93,393.67,12.8,19.75,0,4,55,24,158,0.196,52,2,8,61,6,4,12,6,67.0,0
305.33,185.21,133.67,87.0,887.93,587.05,0.2,0.14,333.85,237.0,32.0,22.92,73.3,37.29,420.14,290.94,27.62,23.38,18.22,15.0,88.5,54.43,15.3,11.25,401.93,241.11,12.8,15.22,0,5,63,27,193,0.187,59,3,12,79,2,2,14,2,75.0,0
305.33,225.26,133.67,91.58,887.93,617.58,0.2,0.24,333.85,269.27,32.0,35.55,73.3,42.36,420.14,341.13,27.62,34.42,18.22,15.78,88.5,108.92,15.3,11.45,401.93,321.56,12.8,9.86,1,3,44,10,97,0.351,40,7,8,35,1,0,2,0,52.0,1
305.33,259.75,133.67,103.25,887.93,669.94,0.2,0.14,333.85,261.4,32.0,30.46,73.3,48.15,420.14,284.53,27.62,34.64,18.22,8.78,88.5,76.42,15.3,14.82,401.93,339.3,12.8,9.4,0,4,57,20,146,0.253,55,2,14,55,4,1,7,3,63.5,0
305.33,201.05,133.67,77.1,887.93,547.7,0.2,0.24,333.85,209.67,32.0,25.88,73.3,39.25,420.14,270.33,27.62,22.69,18.22,13.44,88.5,106.0,15.3,10.67,401.93,282.56,12.8,10.15,0,5,51,25,146,0.178,50,6,11,63,5,4,6,2,64.0,3
305.33,254.69,133.67,103.12,887.93,751.25,0.2,0.12,333.85,271.57,32.0,29.17,73.3,40.25,420.14,369.13,27.62,38.11,18.22,10.91,88.5,66.92,15.3,13.36,401.93,329.77,12.8,10.8,0,3,41,19,132,0.167,37,1,13,54,2,0,14,3,49.0,3
305.33,248.19,133.67,106.94,887.93,743.19,0.2,0.14,333.85,261.71,32.0,31.38,73.3,48.43,420.14,357.73,27.62,37.8,18.22,16.5,88.5,74.0,15.3,13.5,401.93,335.0,12.8,9.8,0,5,65,26,199,0.196,60,6,13,90,7,1,16,0,80.0,0
305.33,241.73,133.67,111.6,887.93,764.07,0.2,0.15,333.85,261.92,32.0,46.0,73.3,42.09,420.14,390.57,27.62,29.75,18.22,25.56,88.5,73.64,15.3,18.9,401.93,333.93,12.8,11.75,1,4,45,29,156,0.103,43,5,10,73,2,4,12,1,60.0,1
305.33,199.53,133.67,85.58,887.93,609.47,0.2,0.18,333.85,252.5,32.0,27.4,73.3,38.4,420.14,310.59,27.62,36.23,18.22,13.8,88.5,86.33,15.3,11.64,401.93,285.76,12.8,13.57,1,3,51,22,118,0.246,49,2,12,55,1,2,2,1,56.0,3
305.33,183.29,133.67,87.53,887.93,541.88,0.2,0.12,333.85,225.15,32.0,30.27,73.3,30.73,420.14,237.5,27.62,30.92,18.22,13.44,88.5,56.83,15.3,9.3,401.93,300.85,12.8,9.22,1,3,46,19,102,0.265,45,3,5,43,0,1,8,0,54.0,2
305.33,288.81,133.67,120.0,887.93,917.12,0.2,0.17,333.85,312.14,32.0,37.73,73.3,43.54,420.14,508.07,27.62,30.85,18.22,15.5,88.5,92.5,15.3,15.27,401.93,385.13,12.8,11.22,0,3,37,21,140,0.114,36,3,3,72,6,0,10,1,45.0,2
305.33,259.75,133.67,103.25,887.93,669.94,0.2,0.14,333.85,261.4,32.0,30.46,73.3,48.15,420.14,284.53,27.62,34.64,18.22,8.78,88.5,76.42,15.3,14.82,401.93,339.3,12.8,9.4,0,4,47,24,160,0.144,47,3,7,69,5,1,14,2,58.0,2
