Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
281.35,237.0,100.94,89.25,669.0,635.9,0.32,0.24,317.64,279.75,39.36,30.08,53.85,42.53,295.87,288.32,35.42,34.4,17.1,13.2,102.73,110.0,15.91,17.1,396.8,324.33,9.57,11.2,1,3,41,11,91,0.330,37,8,10,32,4,1,10,2,55.0,0
281.35,259.75,100.94,103.25,669.0,669.94,0.32,0.14,317.64,261.4,39.36,30.46,53.85,48.15,295.87,284.53,35.42,34.64,17.1,8.78,102.73,76.42,15.91,14.82,396.8,339.3,9.57,9.4,1,3,47,7,83,0.482,44,3,5,32,1,1,8,2,55.0,0
281.35,237.26,100.94,106.53,669.0,690.95,0.32,0.18,317.64,323.38,39.36,37.73,53.85,55.55,295.87,333.76,35.42,38.0,17.1,26.4,102.73,86.46,15.91,17.0,396.8,383.27,9.57,18.57,1,3,45,17,92,0.304,41,6,6,51,5,0,14,2,58.0,0
281.35,248.88,100.94,108.24,669.0,720.88,0.32,0.26,317.64,303.85,39.36,30.58,53.85,40.85,295.87,340.62,35.42,36.36,17.1,21.1,102.73,80.27,15.91,16.7,396.8,328.16,9.57,12.5,1,3,41,7,65,0.523,38,7,6,24,2,4,12,4,58.0,0
281.35,310.31,100.94,142.56,669.0,911.69,0.32,0.08,317.64,359.46,39.36,39.17,53.85,53.0,295.87,468.86,35.42,47.2,17.1,16.64,102.73,110.31,15.91,14.0,396.8,422.33,9.57,9.8,1,3,48,10,86,0.442,43,8,4,39,5,1,12,3,63.0,0
281.35,279.38,100.94,118.12,669.0,747.0,0.32,0.08,317.64,298.14,39.36,36.55,53.85,52.08,295.87,335.0,35.42,29.71,17.1,11.8,102.73,118.42,15.91,17.22,396.8,380.03,9.57,11.33,1,5,75/,26,152,0.322,68,2,9,53,6,0,16,2,85.0,0
281.35,282.82,100.94,104.88,669.0,747.12,0.32,0.16,317.64,322.36,39.36,29.5,53.85,54.75,295.87,362.33,35.42,27.73,17.1,7.89,102.73,111.36,15.91,14.45,396.8,413.32,9.57,11.14,0,4,48,19,133,0.218,45,1,8,51,4,0,14,0,56.0,2
281.35,300.44,100.94,103.44,669.0,793.88,0.32,0.26,317.64,318.21,39.36,32.83,53.85,48.14,295.87,371.47,35.42,27.67,17.1,14.75,102.73,104.55,15.91,20.56,396.8,392.93,9.57,10.5,1,4,66,13,129,0.411,64,0,8,54,10,1,12,4,73.0,0
281.35,231.88,100.94,110.94,669.0,668.76,0.32,0.19,317.64,280.46,39.36,35.77,53.85,64.43,295.87,310.67,35.42,30.64,17.1,10.44,102.73,81.92,15.91,8.45,396.8,314.59,9.57,16.3,1,3,36,13,85,0.271,33,3,7,36,4,2,15,1,48.5,2
281.35,224.81,100.94,109.88,669.0,660.25,0.32,0.12,317.64,259.38,39.36,34.58,53.85,46.85,295.87,295.6,35.42,36.23,17.1,9.18,102.73,79.36,15.91,16.55,396.8,303.3,9.57,7.73,1,3,44,9,79,0.443,39,8,5,34,1,1,8,1,57.0,0
281.35,230.17,100.94,86.72,669.0,574.0,0.32,0.2,317.64,260.13,39.36,35.77,53.85,53.64,295.87,244.06,35.42,29.6,17.1,15.78,102.73,98.55,15.91,11.58,396.8,311.29,9.57,9.62,1,3,48,11,88,0.420,44,2,6,35,4,2,6,0,55.0,1
281.35,249.33,100.94,92.56,669.0,652.06,0.32,0.3,317.64,297.64,39.36,26.62,53.85,51.29,295.87,346.86,35.42,33.73,17.1,14.8,102.73,94.36,15.91,20.38,396.8,366.73,9.57,9.22,0,4,62,29,156,0.212,57,5,6,54,5,3,8,4,74.0,2
281.35,223.37,100.94,88.95,669.0,567.37,0.32,0.11,317.64,281.86,39.36,34.23,53.85,52.79,295.87,263.31,35.42,32.71,17.1,14.9,102.73,81.92,15.91,14.0,396.8,313.5,9.57,8.56,1,3,45,6,79,0.494,41,8,6,33,2,2,16,1,63.0,1
281.35,223.37,100.94,88.95,669.0,567.37,0.32,0.11,317.64,281.86,39.36,34.23,53.85,52.79,295.87,263.31,35.42,32.71,17.1,14.9,102.73,81.92,15.91,14.0,396.8,313.5,9.57,8.56,1,3,41,11,82,0.366,38,3,7,38,5,2,12,1,52.0,0
281.35,283.72,100.94,102.22,669.0,715.94,0.32,0.29,317.64,366.85,39.36,29.14,53.85,47.0,295.87,298.53,35.42,26.4,17.1,15.0,102.73,144.36,15.91,17.64,396.8,403.69,9.57,7.12,1,3,44,14,115,0.261,41,6,6,56,3,1,18,0,60.0,1
281.35,230.17,100.94,86.72,669.0,574.0,0.32,0.2,317.64,260.13,39.36,35.77,53.85,53.64,295.87,244.06,35.42,29.6,17.1,15.78,102.73,98.55,15.91,11.58,396.8,311.29,9.57,9.62,1,3,50,13,86,0.430,47,5,5,33,10,3,14,3,65.0,0
281.35,252.35,100.94,84.8,669.0,655.3,0.32,0.28,317.64,338.5,39.36,39.6,53.85,40.18,295.87,350.69,35.42,29.5,17.1,17.22,102.73,112.0,15.91,14.73,396.8,368.82,9.57,6.0,0,3,44,18,116,0.224,44,3,6,54,4,1,8,4,52.0,2
281.35,273.44,100.94,102.83,669.0,714.94,0.32,0.23,317.64,349.23,39.36,40.73,53.85,62.5,295.87,362.8,35.42,34.4,17.1,20.22,102.73,109.58,15.91,20.2,396.8,365.26,9.57,6.27,0,4,43,26,127,0.134,40,3,7,49,3,3,14,1,56.0,3
281.35,239.6,100.94,80.0,669.0,569.75,0.32,0.25,317.64,326.25,39.36,32.92,53.85,43.13,295.87,262.18,35.42,29.08,17.1,21.9,102.73,138.6,15.91,13.89,396.8,358.76,9.57,11.5,0,4,41,19,128,0.172,38,3,8,45,7,1,12,4,51.0,0
281.35,204.53,100.94,96.41,669.0,554.53,0.32,0.08,317.64,232.0,39.36,42.09,53.85,44.27,295.87,219.25,35.42,35.19,17.1,12.88,102.73,71.57,15.91,14.8,396.8,284.0,9.57,11.86,1,3,43,11,79,0.405,39,7,1,39,3,3,8,3,57.0,0
281.35,249.33,100.94,92.56,669.0,652.06,0.32,0.3,317.64,297.64,39.36,26.62,53.85,51.29,295.87,346.86,35.42,33.73,17.1,14.8,102.73,94.36,15.91,20.38,396.8,366.73,9.57,9.22,1,3,41,12,90,0.322,40,4,6,37,0,5,4,3,52.0,1
281.35,213.05,100.94,87.4,669.0,544.55,0.32,0.15,317.64,264.4,39.36,32.5,53.85,52.87,295.87,219.68,35.42,44.5,17.1,17.6,102.73,104.3,15.91,13.09,396.8,318.44,9.57,13.38,0,5,64,16,131,0.366,61,3,15,55,7,2,14,0,76.0,4
281.35,273.44,100.94,102.83,669.0,714.94,0.32,0.23,317.64,349.23,39.36,40.73,53.85,62.5,295.87,362.8,35.42,34.4,17.1,20.22,102.73,109.58,15.91,20.2,396.8,365.26,9.57,6.27,0,4,61,16,137,0.328,58,2,10,52,5,5,12,4,74.0,0
281.35,237.68,100.94,94.42,669.0,625.11,0.32,0.26,317.64,262.06,39.36,24.85,53.85,46.93,295.87,289.35,35.42,23.0,17.1,15.78,102.73,109.55,15.91,11.22,396.8,328.44,9.57,7.4,1,5,69,24,175,0.257,63,4,10,72,4,3,20,0,86.0,0
281.35,252.35,100.94,84.8,669.0,655.3,0.32,0.28,317.64,338.5,39.36,39.6,53.85,40.18,295.87,350.69,35.42,29.5,17.1,17.22,102.73,112.0,15.91,14.73,396.8,368.82,9.57,6.0,1,4,75/,23,164,0.317,67,2,8,64,4,2,14,1,86.0,1
281.35,251.11,100.94,89.89,669.0,624.89,0.32,0.26,317.64,307.71,39.36,22.79,53.85,53.71,295.87,267.0,35.42,31.89,17.1,13.38,102.73,124.55,15.91,18.2,396.8,331.24,9.57,10.75,1,3,49,15,107,0.318,46,3,7,48,4,1,10,2,58.0,0
281.35,204.53,100.94,96.41,669.0,554.53,0.32,0.08,317.64,232.0,39.36,42.09,53.85,44.27,295.87,219.25,35.42,35.19,17.1,12.88,102.73,71.57,15.91,14.8,396.8,284.0,9.57,11.86,1,3,33,16,82,0.207,33,11,4,40,3,3,10,1,52.0,0
281.35,267.61,100.94,100.56,669.0,668.33,0.32,0.2,317.64,321.5,39.36,39.45,53.85,55.31,295.87,270.59,35.42,36.36,17.1,19.4,102.73,111.64,15.91,17.9,396.8,378.69,9.57,9.12,0,4,56,33,156,0.147,52,7,9,53,1,1,20,2,74.0,0
281.35,267.61,100.94,100.56,669.0,668.33,0.32,0.2,317.64,321.5,39.36,39.45,53.85,55.31,295.87,270.59,35.42,36.36,17.1,19.4,102.73,111.64,15.91,17.9,396.8,378.69,9.57,9.12,0,4,61,27,149,0.228,55,4,9,62,6,2,18,2,76.0,0
281.35,255.78,100.94,92.44,669.0,662.39,0.32,0.26,317.64,307.36,39.36,41.83,53.85,62.08,295.87,331.73,35.42,40.7,17.1,14.8,102.73,98.75,15.91,17.4,396.8,365.41,9.57,6.88,1,4,51,22,128,0.227,47,6,7,56,6,5,14,4,69.0,1
281.35,232.05,100.94,92.42,669.0,632.63,0.32,0.19,317.64,292.64,39.36,45.0,53.85,52.25,295.87,305.65,35.42,40.8,17.1,22.56,102.73,81.08,15.91,13.09,396.8,329.03,9.57,14.5,1,4,53,23,132,0.227,46,4,4,59,4,2,20,2,69.0,1
281.35,320.18,100.94,124.94,669.0,835.76,0.32,0.14,317.64,395.54,39.36,31.08,53.85,49.92,295.87,395.73,35.42,29.17,17.1,21.5,102.73,123.5,15.91,20.27,396.8,423.25,9.57,7.82,0,4,60,13,132,0.356,58,0,5,64,5,3,20,1,73.0,0
