Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
255.29,305.33,120.0,133.67,718.88,887.93,0.04,0.2,271.6,333.85,45.25,32.0,49.71,73.3,302.31,420.14,30.18,27.62,10.0,18.22,91.58,88.5,16.09,15.3,368.83,401.93,11.33,12.8,0,5,54,28,176,0.148,48,9,8,62,6,2,10,0,70.0,1
255.29,230.11,120.0,101.67,718.88,690.22,0.04,0.14,271.6,277.14,45.25,32.79,49.71,42.0,302.31,339.71,30.18,34.07,10.0,17.18,91.58,76.62,16.09,15.64,368.83,311.06,11.33,11.56,0,5,55,28,171,0.158,49,4,11,65,8,2,18,1,70.0,0
255.29,241.84,120.0,104.79,718.88,687.05,0.04,0.08,271.6,268.62,45.25,43.2,49.71,47.67,302.31,350.65,30.18,37.09,10.0,18.6,91.58,75.43,16.09,11.67,368.83,337.71,11.33,17.11,0,3,29,17,99,0.121,29,5,4,31,7,0,10,3,39.0,1
255.29,275.12,120.0,126.12,718.88,809.41,0.04,0.14,271.6,336.62,45.25,42.64,49.71,44.71,302.31,365.69,30.18,33.85,10.0,12.33,91.58,117.73,16.09,16.82,368.83,369.03,11.33,23.12,0,4,52,19,145,0.228,48,6,12,56,6,0,16,4,66.0,2
255.29,293.62,120.0,118.06,718.88,788.88,0.04,0.24,271.6,313.71,45.25,28.77,49.71,34.82,302.31,364.8,30.18,39.44,10.0,15.42,91.58,97.38,16.09,17.0,368.83,392.67,11.33,10.9,0,3,28,14,90,0.156,25,1,6,27,6,0,14,2,36.0,1
255.29,265.06,120.0,116.06,718.88,732.17,0.04,0.22,271.6,293.33,45.25,31.58,49.71,58.17,302.31,337.81,30.18,45.56,10.0,15.5,91.58,133.42,16.09,17.62,368.83,381.59,11.33,10.44,0,3,28,24,96,0.042,26,4,5,22,6,1,4,6,35.0,2
255.29,224.75,120.0,88.6,718.88,594.55,0.04,0.23,271.6,324.85,45.25,32.18,49.71,47.29,302.31,359.14,30.18,32.4,10.0,14.0,91.58,96.15,16.09,12.91,368.83,400.0,11.33,15.14,0,3,31,13,90,0.200,30,3,3,26,7,0,8,3,38.0,0
255.29,232.87,120.0,106.27,718.88,751.6,0.04,0.1,271.6,230.57,45.25,31.62,49.71,31.0,302.31,375.5,30.18,40.83,10.0,12.5,91.58,73.58,16.09,11.73,368.83,317.54,11.33,12.5,0,5,67,31,200,0.180,64,9,10,79,2,0,12,0,82.0,2
255.29,310.31,120.0,142.56,718.88,911.69,0.04,0.08,271.6,359.46,45.25,39.17,49.71,53.0,302.31,468.86,30.18,47.2,10.0,16.64,91.58,110.31,16.09,14.0,368.83,422.33,11.33,9.8,0,3,37,21,108,0.148,36,3,8,40,3,1,6,1,44.0,1
255.29,189.47,120.0,93.65,718.88,585.35,0.04,0.09,271.6,215.57,45.25,39.42,49.71,50.33,302.31,283.73,30.18,50.55,10.0,13.2,91.58,54.25,16.09,11.0,368.83,276.77,11.33,7.27,1,3,38,17,86,0.244,37,13,3,32,1,2,12,1,59.0,0
255.29,199.39,120.0,93.39,718.88,609.33,0.04,0.11,271.6,239.36,45.25,32.92,49.71,34.31,302.31,304.38,30.18,36.58,10.0,10.5,91.58,65.46,16.09,14.0,368.83,283.47,11.33,10.82,0,4,54,27,156,0.173,50,7,9,61,8,1,16,0,70.0,2
255.29,267.61,120.0,115.61,718.88,768.83,0.04,0.22,271.6,326.0,45.25,33.75,49.71,44.92,302.31,386.88,30.18,38.33,10.0,11.9,91.58,86.77,16.09,19.0,368.83,393.67,11.33,19.75,0,3,29,14,92,0.163,28,4,4,30,7,1,8,1,38.0,1
255.29,185.84,120.0,84.68,718.88,542.53,0.04,0.06,271.6,231.79,45.25,39.0,49.71,43.06,302.31,256.18,30.18,42.0,10.0,13.12,91.58,60.14,16.09,13.55,368.83,268.47,11.33,15.2,1,3,36,13,84,0.274,31,9,7,23,3,0,16,3,53.0,0
255.29,330.64,120.0,156.71,718.88,928.07,0.04,0.08,271.6,334.92,45.25,58.18,49.71,63.86,302.31,405.69,30.18,53.67,10.0,15.9,91.58,105.36,16.09,12.27,368.83,462.12,11.33,15.29,0,5,58,31,168,0.161,53,5,12,78,3,0,14,3,70.0,1
255.29,238.94,120.0,100.06,718.88,710.61,0.04,0.12,271.6,289.21,45.25,39.46,49.71,48.57,302.31,338.35,30.18,39.86,10.0,13.0,91.58,78.75,16.09,12.45,368.83,338.53,11.33,16.25,1,4,62,22,161,0.248,57,11,10,54,5,4,8,0,81.0,0
