Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
233.82,240.31,91.12,129.15,645.41,746.08,0.26,0.15,257.86,265.09,36.92,32.67,42.08,74.83,320.87,341.5,44.11,38.82,10.73,12.67,80.64,61.9,11.56,16.7,331.97,328.29,11.57,21.12,1,3,35,10,72,0.347,30,9,15,31,1,2,4,0,48.0,0
233.82,240.29,91.12,115.29,645.41,700.24,0.26,0.08,257.86,242.44,36.92,38.46,42.08,41.53,320.87,326.73,44.11,44.25,10.73,13.4,80.64,83.36,11.56,11.36,331.97,331.41,11.57,16.0,1,4,54,15,110,0.355,52,7,9,36,4,3,16,0,72.0,0
233.82,202.0,91.12,88.76,645.41,557.29,0.26,0.15,257.86,246.0,36.92,25.6,42.08,44.6,320.87,283.88,44.11,28.15,10.73,16.17,80.64,73.15,11.56,10.23,331.97,278.71,11.57,8.56,1,3,40,8,105,0.305,39,5,8,52,1,1,20,0,56.0,0
233.82,189.0,91.12,81.75,645.41,553.4,0.26,0.12,257.86,237.87,36.92,26.14,42.08,34.8,320.87,267.94,44.11,24.43,10.73,13.88,80.64,76.14,11.56,12.92,331.97,252.11,11.57,12.29,1,5,58,29,174,0.167,56,3,10,78,5,2,20,2,73.0,3
233.82,269.76,91.12,128.65,645.41,785.65,0.26,0.17,257.86,304.21,36.92,29.0,42.08,39.44,320.87,341.19,44.11,29.15,10.73,15.09,80.64,105.27,11.56,11.1,331.97,380.53,11.57,16.89,1,3,42,15,110,0.245,37,6,3,56,0,0,18,1,57.0,1
233.82,194.62,91.12,83.95,645.41,526.14,0.26,0.18,257.86,222.76,36.92,23.07,42.08,39.29,320.87,238.37,44.11,29.08,10.73,12.14,80.64,81.0,11.56,9.25,331.97,258.5,11.57,8.78,1,5,51,23,156,0.179,48,13,14,71,5,1,18,0,74.0,1
233.82,269.76,91.12,128.65,645.41,785.65,0.26,0.17,257.86,304.21,36.92,29.0,42.08,39.44,320.87,341.19,44.11,29.15,10.73,15.09,80.64,105.27,11.56,11.1,331.97,380.53,11.57,16.89,1,3,41,11,82,0.366,37,9,3,40,3,1,14,0,58.0,0
233.82,240.44,91.12,97.17,645.41,633.83,0.26,0.18,257.86,269.8,36.92,37.42,42.08,54.07,320.87,308.0,44.11,34.14,10.73,24.88,80.64,84.25,11.56,16.2,331.97,342.59,11.57,21.5,1,5,61,22,149,0.262,54,5,11,60,9,0,8,0,70.0,0
233.82,229.84,91.12,100.11,645.41,601.21,0.26,0.06,257.86,240.18,36.92,32.17,42.08,40.19,320.87,253.83,44.11,28.4,10.73,15.5,80.64,82.08,11.56,9.25,331.97,300.58,11.57,9.22,1,3,39,21,114,0.158,37,6,9,51,5,0,4,0,47.0,1
233.82,289.33,91.12,119.73,645.41,824.0,0.26,0.24,257.86,314.0,36.92,28.85,42.08,56.67,320.87,378.29,44.11,34.5,10.73,15.56,80.64,113.18,11.56,19.73,331.97,391.25,11.57,15.0,1,5,58,28,181,0.166,52,10,8,87,5,1,14,1,76.0,4
233.82,248.44,91.12,108.72,645.41,712.83,0.26,0.18,257.86,242.0,36.92,41.77,42.08,45.86,320.87,338.0,44.11,38.79,10.73,15.2,80.64,77.42,11.56,14.2,331.97,331.26,11.57,14.14,1,4,48,16,144,0.222,43,7,9,60,4,1,16,1,64.0,1
233.82,178.81,91.12,94.76,645.41,545.76,0.26,0.0,257.86,218.62,36.92,27.53,42.08,37.13,320.87,267.56,44.11,29.69,10.73,13.75,80.64,72.43,11.56,9.58,331.97,268.89,11.57,20.3,1,3,49,17,106,0.302,45,4,6,34,2,0,8,1,57.0,0
233.82,237.82,91.12,103.0,645.41,674.53,0.26,0.1,257.86,307.33,36.92,47.5,42.08,55.69,320.87,339.73,44.11,38.5,10.73,17.12,80.64,83.2,11.56,13.82,331.97,362.21,11.57,12.0,1,4,47,15,162,0.198,39,3,9,87,6,2,12,1,58.0,3
233.82,232.05,91.12,92.42,645.41,632.63,0.26,0.19,257.86,292.64,36.92,45.0,42.08,52.25,320.87,305.65,44.11,40.8,10.73,22.56,80.64,81.08,11.56,13.09,331.97,329.03,11.57,14.5,0,3,36,16,107,0.187,33,1,6,44,5,1,2,0,39.0,0
233.82,246.33,91.12,107.39,645.41,702.5,0.26,0.16,257.86,259.56,36.92,26.08,42.08,38.73,320.87,319.47,44.11,25.6,10.73,13.45,80.64,80.5,11.56,13.42,331.97,342.78,11.57,16.11,0,5,64,26,184,0.207,58,5,8,69,3,0,12,0,75.0,1
233.82,275.69,91.12,118.75,645.41,835.25,0.26,0.13,257.86,312.77,36.92,45.73,42.08,54.5,320.87,396.33,44.11,50.8,10.73,17.78,80.64,68.55,11.56,16.36,331.97,363.4,11.57,22.89,1,4,71,18,153,0.346,63,5,7,67,6,3,10,2,84.0,1
233.82,214.53,91.12,88.53,645.41,603.41,0.26,0.12,257.86,221.87,36.92,36.54,42.08,44.36,320.87,287.93,44.11,34.54,10.73,16.67,80.64,66.9,11.56,9.45,331.97,307.1,11.57,13.4,1,4,66,13,128,0.414,58,3,10,63,2,0,16,1,77.0,1
233.82,248.44,91.12,108.72,645.41,712.83,0.26,0.18,257.86,242.0,36.92,41.77,42.08,45.86,320.87,338.0,44.11,38.79,10.73,15.2,80.64,77.42,11.56,14.2,331.97,331.26,11.57,14.14,1,3,51,11,117,0.342,47,2,3,62,2,3,8,3,60.0,0
233.82,228.82,91.12,105.65,645.41,732.18,0.26,0.14,257.86,275.08,36.92,32.17,42.08,50.08,320.87,373.47,44.11,36.36,10.73,14.33,80.64,77.33,11.56,11.0,331.97,327.47,11.57,11.91,1,3,47,16,121,0.256,44,4,4,66,4,0,10,2,56.0,2
233.82,214.53,91.12,88.53,645.41,603.41,0.26,0.12,257.86,221.87,36.92,36.54,42.08,44.36,320.87,287.93,44.11,34.54,10.73,16.67,80.64,66.9,11.56,9.45,331.97,307.1,11.57,13.4,1,3,52,9,108,0.398,50,3,7,54,6,4,8,0,63.0,2
233.82,275.69,91.12,118.75,645.41,835.25,0.26,0.13,257.86,312.77,36.92,45.73,42.08,54.5,320.87,396.33,44.11,50.8,10.73,17.78,80.64,68.55,11.56,16.36,331.97,363.4,11.57,22.89,1,3,50,15,128,0.273,44,9,3,72,4,0,10,2,64.0,0
233.82,178.81,91.12,94.76,645.41,545.76,0.26,0.0,257.86,218.62,36.92,27.53,42.08,37.13,320.87,267.56,44.11,29.69,10.73,13.75,80.64,72.43,11.56,9.58,331.97,268.89,11.57,20.3,1,4,55,22,164,0.201,49,6,3,75,5,3,8,2,68.0,1
233.82,246.33,91.12,107.39,645.41,702.5,0.26,0.16,257.86,259.56,36.92,26.08,42.08,38.73,320.87,319.47,44.11,25.6,10.73,13.45,80.64,80.5,11.56,13.42,331.97,342.78,11.57,16.11,1,3,41,10,106,0.292,38,7,4,47,1,1,10,2,54.0,0
233.82,228.82,91.12,105.65,645.41,732.18,0.26,0.14,257.86,275.08,36.92,32.17,42.08,50.08,320.87,373.47,44.11,36.36,10.73,14.33,80.64,77.33,11.56,11.0,331.97,327.47,11.57,11.91,1,3,45,10,103,0.340,38,9,6,49,2,0,8,1,58.0,1
233.82,237.82,91.12,103.0,645.41,674.53,0.26,0.1,257.86,307.33,36.92,47.5,42.08,55.69,320.87,339.73,44.11,38.5,10.73,17.12,80.64,83.2,11.56,13.82,331.97,362.21,11.57,12.0,1,4,53,18,157,0.223,48,4,10,76,5,1,22,2,69.0,0
233.82,232.05,91.12,92.42,645.41,632.63,0.26,0.19,257.86,292.64,36.92,45.0,42.08,52.25,320.87,305.65,44.11,40.8,10.73,22.56,80.64,81.08,11.56,13.09,331.97,329.03,11.57,14.5,0,4,40,20,146,0.137,30,7,8,52,7,2,10,2,54.0,1
233.82,248.44,91.12,108.72,645.41,712.83,0.26,0.18,257.86,242.0,36.92,41.77,42.08,45.86,320.87,338.0,44.11,38.79,10.73,15.2,80.64,77.42,11.56,14.2,331.97,331.26,11.57,14.14,1,3,40,16,105,0.229,38,3,6,43,5,2,13,0,51.5,0
233.82,232.05,91.12,92.42,645.41,632.63,0.26,0.19,257.86,292.64,36.92,45.0,42.08,52.25,320.87,305.65,44.11,40.8,10.73,22.56,80.64,81.08,11.56,13.09,331.97,329.03,11.57,14.5,1,4,62,14,147,0.327,57,5,6,67,8,2,16,2,77.0,0
233.82,231.25,91.12,80.65,645.41,606.35,0.26,0.19,257.86,310.29,36.92,19.0,42.08,32.5,320.87,285.68,44.11,18.77,10.73,12.11,80.64,85.33,11.56,15.91,331.97,282.0,11.57,10.4,0,3,33,15,99,0.182,30,4,2,30,3,0,10,2,42.0,0
