Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,50,19,141,0.220,45,6,10,63,9,5,14,0,68.0,1,SMU,317.87,277.82,134.33,117.18,910.53,813.18,0.23,0.19,321.43,298.6,35.45,24.64,50.75,36.6,433.71,423.0,36.25,32.7,18.73,18.2,109.73,115.82,15.9,15.7,426.25,367.94,11.12,12.57
0,4,47,20,151,0.179,43,1,9,73,4,4,6,0,55.0,1,A&M-Corpus Christi,317.87,211.95,134.33,79.2,910.53,581.2,0.23,0.18,321.43,207.53,35.45,31.85,50.75,42.6,433.71,269.21,36.25,35.0,18.73,13.73,109.73,46.8,15.9,8.83,426.25,271.32,11.12,12.5
1,4,60,25,158,0.222,57,2,10,73,6,0,18,1,71.0,0,Mississippi St.,317.87,253.88,134.33,120.62,910.53,701.81,0.23,0.08,321.43,294.31,35.45,35.69,50.75,55.15,433.71,290.47,36.25,40.58,18.73,19.3,109.73,79.27,15.9,11.09,426.25,343.67,11.12,10.0
0,3,38,18,122,0.164,37,2,6,56,3,1,12,2,47.0,1,TCU,317.87,223.15,134.33,97.25,910.53,609.25,0.23,0.06,321.43,262.69,35.45,26.31,50.75,47.71,433.71,276.0,36.25,31.36,18.73,9.42,109.73,98.62,15.9,22.82,426.25,308.83,11.12,10.33
1,3,39,16,92,0.250,34,0,8,42,5,1,8,1,44.0,1,Wake Forest,317.87,224.42,134.33,111.42,910.53,623.16,0.23,0.11,321.43,283.43,35.45,27.36,50.75,55.67,433.71,255.83,36.25,29.0,18.73,21.3,109.73,90.07,15.9,17.0,426.25,305.03,11.12,14.25
1,4,65,31,168,0.202,60,7,9,70,4,0,14,0,79.0,0,Abilene Christian,317.87,241.67,134.33,112.28,910.53,711.89,0.23,0.09,321.43,288.21,35.45,37.17,50.75,47.85,433.71,339.5,36.25,39.92,18.73,12.0,109.73,116.17,15.9,13.09,426.25,374.2,11.12,8.62
0,3,41,19,106,0.208,40,1,7,48,4,0,2,1,43.0,2,Colorado,317.87,286.44,134.33,108.89,910.53,769.5,0.23,0.23,321.43,372.62,35.45,38.8,50.75,47.15,433.71,359.88,36.25,31.67,18.73,22.0,109.73,99.79,15.9,13.33,426.25,402.53,11.12,8.3
0,4,53,24,152,0.191,52,5,14,52,2,4,18,1,71.0,0,California,317.87,202.95,134.33,79.55,910.53,527.35,0.23,0.13,321.43,253.13,35.45,28.62,50.75,50.43,433.71,224.68,36.25,30.0,18.73,15.6,109.73,69.83,15.9,13.75,426.25,278.11,11.12,18.55
1,3,53,24,138,0.210,53,0,9,61,5,2,10,2,60.0,1,Louisiana,317.87,276.65,134.33,109.65,910.53,810.18,0.23,0.15,321.43,316.5,35.45,28.33,50.75,46.15,433.71,394.12,36.25,30.18,18.73,30.1,109.73,90.36,15.9,21.0,426.25,389.4,11.12,16.0
1,4,61,21,159,0.252,59,4,8,80,3,4,6,2,72.0,4,Houston Baptist,317.87,241.28,134.33,103.78,910.53,692.22,0.23,0.17,321.43,291.14,35.45,40.55,50.75,53.82,433.71,353.88,36.25,31.33,18.73,16.82,109.73,93.38,15.9,13.09,426.25,348.81,11.12,11.36
