Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,69,30,182,0.214,65,4,4,90,4,6,8,2,83.0,3,Toledo,241.84,230.11,104.79,101.67,687.05,690.22,0.08,0.14,268.62,277.14,43.2,32.79,47.67,42.0,350.65,339.71,37.09,34.07,18.6,17.18,75.43,76.62,11.67,15.64,337.71,311.06,17.11,11.56
1,3,45,16,98,0.296,41,7,5,46,5,1,8,2,57.0,1,Quinnipiac,241.84,255.29,104.79,120.0,687.05,718.88,0.08,0.04,268.62,271.6,43.2,45.25,47.67,49.71,350.65,302.31,37.09,30.18,18.6,10.0,75.43,91.58,11.67,16.09,337.71,368.83,17.11,11.33
1,4,43,13,103,0.291,36,4,3,57,5,2,24,3,61.0,1,Purdue Fort Wayne,241.84,305.33,104.79,133.67,687.05,887.93,0.08,0.2,268.62,333.85,43.2,32.0,47.67,73.3,350.65,420.14,37.09,27.62,18.6,18.22,75.43,88.5,11.67,15.3,337.71,401.93,17.11,12.8
1,4,52,18,146,0.233,49,7,7,83,1,3,10,1,67.0,1,Wright St.,241.84,240.22,104.79,104.61,687.05,709.17,0.08,0.11,268.62,271.87,43.2,33.0,47.67,39.86,350.65,356.44,37.09,35.73,18.6,9.33,75.43,111.64,11.67,16.6,337.71,338.62,17.11,9.44
0,3,32,18,118,0.119,31,2,6,58,3,0,2,0,35.0,2,Tulsa,241.84,312.93,104.79,137.8,687.05,961.6,0.08,0.16,268.62,340.31,43.2,28.69,47.67,49.54,350.65,517.23,37.09,31.92,18.6,16.44,75.43,115.0,11.67,18.1,337.71,445.38,17.11,18.5
0,4,47,25,163,0.135,44,5,7,78,7,3,10,3,60.0,0,Chattanooga,241.84,231.11,104.79,106.42,687.05,699.42,0.08,0.08,268.62,259.38,43.2,30.36,47.67,50.36,350.65,350.41,37.09,35.83,18.6,15.33,75.43,83.62,11.67,14.92,337.71,343.59,17.11,12.33
1,3,47,9,113,0.336,44,9,5,68,3,1,2,3,58.0,1,Georgia St.,241.84,205.85,104.79,95.05,687.05,615.35,0.08,0.2,268.62,213.5,43.2,34.14,47.67,42.8,350.65,295.06,37.09,33.2,18.6,13.77,75.43,62.13,11.67,15.69,337.71,275.79,17.11,13.5
1,3,42,21,118,0.178,40,7,5,54,3,2,12,1,57.0,1,Jackson St.,241.84,223.83,104.79,123.22,687.05,679.0,0.08,0.09,268.62,218.35,43.2,33.86,47.67,39.73,350.65,292.06,37.09,33.75,18.6,10.38,75.43,71.29,11.67,11.27,337.71,321.06,17.11,14.6
1,4,52,15,130,0.285,49,8,9,78,6,4,18,2,73.0,2,Seattle U,241.84,224.94,104.79,95.71,687.05,619.12,0.08,0.13,268.62,237.73,43.2,30.07,47.67,45.81,350.65,290.47,37.09,36.62,18.6,11.0,75.43,96.0,11.67,11.45,337.71,308.19,17.11,11.4
1,3,41,13,99,0.283,40,5,6,49,2,3,8,3,53.0,0,UIC,241.84,295.19,104.79,127.5,687.05,827.81,0.08,0.08,268.62,319.36,43.2,40.82,47.67,58.64,350.65,401.07,37.09,34.33,18.6,8.0,75.43,131.7,11.67,13.4,337.71,393.5,17.11,9.78
