Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,57,19,175,0.217,53,6,10,80,6,3,28,1,80.0,0,UConn,368.12,268.5,135.38,123.56,1066.56,760.5,0.13,0.2,395.07,270.73,50.73,28.36,57.92,53.64,548.79,334.93,47.73,31.92,23.33,14.5,140.27,79.25,20.7,9.92,464.34,354.23,10.12,8.2
1,4,51,20,132,0.235,47,8,9,62,3,2,14,4,68.0,1,New Hampshire,368.12,194.79,135.38,86.11,1066.56,564.79,0.13,-0.0,395.07,248.57,50.73,35.07,57.92,41.31,548.79,273.76,47.73,33.71,23.33,12.25,140.27,47.62,20.7,8.14,464.34,262.22,10.12,11.67
1,4,58,21,176,0.210,51,6,6,76,7,1,8,3,69.0,0,Holy Cross,368.12,183.25,135.38,86.25,1066.56,570.55,0.13,0.14,395.07,197.24,50.73,30.71,57.92,41.33,548.79,285.44,47.73,29.53,23.33,11.67,140.27,62.77,20.7,7.27,464.34,256.0,10.12,8.9
0,4,41,23,134,0.134,38,4,2,45,7,3,16,1,56.0,0,Pacific,368.12,314.86,135.38,133.57,1066.56,844.86,0.13,0.19,395.07,319.77,50.73,37.83,57.92,59.0,548.79,370.08,47.73,36.17,23.33,11.56,140.27,136.8,20.7,13.82,464.34,434.62,10.12,11.4
0,4,49,31,171,0.105,45,3,5,58,3,3,16,0,63.0,1,Missouri,368.12,343.33,135.38,140.73,1066.56,888.07,0.13,0.25,395.07,341.43,50.73,36.08,57.92,61.45,548.79,380.86,47.73,34.31,23.33,29.0,140.27,136.82,20.7,18.18,464.34,473.25,10.12,13.7
0,5,65,22,192,0.224,63,3,12,76,4,2,14,1,77.0,1,Boise St.,368.12,245.5,135.38,98.33,1066.56,667.5,0.13,0.2,395.07,297.86,50.73,30.83,57.92,47.62,548.79,302.88,47.73,32.6,23.33,13.09,140.27,91.42,20.7,19.67,464.34,365.43,10.12,10.83
0,3,27,25,95,0.021,26,0,3,28,4,0,0,3,27.0,0,BYU,368.12,245.11,135.38,94.53,1066.56,634.53,0.13,0.16,395.07,312.57,50.73,33.17,57.92,39.75,548.79,279.0,47.73,32.0,23.33,12.5,140.27,116.21,20.7,15.08,464.34,352.56,10.12,8.17
1,5,57,20,194,0.191,54,3,6,92,9,3,12,2,69.0,0,UC Davis,368.12,252.06,135.38,106.29,1066.56,695.35,0.13,0.28,395.07,268.13,50.73,33.62,57.92,47.79,548.79,307.69,47.73,30.93,23.33,16.9,140.27,86.92,20.7,12.15,464.34,363.73,10.12,14.3
1,5,67,27,194,0.206,64,3,10,96,4,5,20,3,85.0,0,Bowling Green,368.12,256.29,135.38,110.76,1066.56,817.65,0.13,0.12,395.07,289.71,50.73,38.09,57.92,41.79,548.79,390.94,47.73,26.67,23.33,14.55,140.27,104.83,20.7,10.3,464.34,347.81,10.12,14.0
1,4,62,15,145,0.324,55,9,7,56,5,2,12,2,79.0,0,Seattle U,368.12,224.94,135.38,95.71,1066.56,619.12,0.13,0.13,395.07,237.73,50.73,30.07,57.92,45.81,548.79,290.47,47.73,36.62,23.33,11.0,140.27,96.0,20.7,11.45,464.34,308.19,10.12,11.4
