Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,30,17,105,0.124,29,2,6,40,5,0,12,2,38.0,0,Texas A&M,230.11,191.82,105.11,87.47,668.89,530.12,0.1,0.22,274.93,218.57,33.36,24.92,37.8,40.0,323.62,244.87,32.91,25.75,12.88,13.4,100.25,80.83,13.1,13.67,347.57,262.75,14.0,13.43
0,3,35,22,108,0.120,29,1,6,31,5,0,8,2,40.0,0,Texas St.,230.11,260.95,105.11,116.37,668.89,746.79,0.1,0.21,274.93,311.13,33.36,27.36,37.8,41.6,323.62,371.18,32.91,24.5,12.88,17.73,100.25,114.18,13.1,15.42,347.57,385.25,14.0,15.0
0,4,50,30,141,0.142,48,2,9,54,6,0,9,0,56.5,0,VCU,230.11,212.5,105.11,98.0,668.89,594.95,0.1,0.17,274.93,266.2,33.36,44.73,37.8,46.62,323.62,254.32,32.91,39.55,12.88,18.11,100.25,145.36,13.1,14.45,347.57,356.53,14.0,13.22
0,3,39,23,122,0.131,39,4,8,52,0,0,8,2,47.0,1,Chattanooga,230.11,231.11,105.11,106.42,668.89,699.42,0.1,0.08,274.93,259.38,33.36,30.36,37.8,50.36,323.62,350.41,32.91,35.83,12.88,15.33,100.25,83.62,13.1,14.92,347.57,343.59,14.0,12.33
0,3,23,17,94,0.064,21,2,5,42,5,1,8,2,30.0,3,Murray St.,230.11,302.73,105.11,129.27,668.89,887.87,0.1,0.22,274.93,327.46,33.36,45.82,37.8,63.5,323.62,430.86,32.91,37.67,12.88,12.4,100.25,77.25,13.1,13.0,347.57,402.32,14.0,17.12
0,5,55,26,179,0.162,51,6,9,75,1,0,14,3,68.0,1,Texas St.,230.11,260.95,105.11,116.37,668.89,746.79,0.1,0.21,274.93,311.13,33.36,27.36,37.8,41.6,323.62,371.18,32.91,24.5,12.88,17.73,100.25,114.18,13.1,15.42,347.57,385.25,14.0,15.0
0,5,65,34,182,0.170,62,5,20/,76,3,1,14,0,78.0,4,Memphis,230.11,199.14,105.11,90.91,668.89,586.23,0.1,0.15,274.93,207.5,33.36,25.81,37.8,37.71,323.62,294.53,32.91,33.38,12.88,11.2,100.25,83.12,13.1,11.25,347.57,278.55,14.0,12.75
1,3,41,16,107,0.234,35,6,8,50,3,1,6,0,51.0,1,Ark.-Pine Bluff,230.11,219.53,105.11,107.29,668.89,648.65,0.1,0.13,274.93,217.0,33.36,35.21,37.8,38.47,323.62,286.88,32.91,34.13,12.88,14.4,100.25,72.18,13.1,13.0,347.57,297.88,14.0,12.7
1,3,42,17,92,0.272,37,6,5,41,1,0,22,1,59.0,0,Louisiana Tech,230.11,213.94,105.11,96.61,668.89,619.89,0.1,0.13,274.93,223.69,33.36,27.0,37.8,38.69,323.62,277.88,32.91,28.71,12.88,11.09,100.25,70.29,13.1,10.0,347.57,283.29,14.0,10.18
0,3,36,23,110,0.118,36,1,6,42,6,0,10,0,42.0,2,Arkansas,230.11,284.56,105.11,113.56,668.89,755.31,0.1,0.23,274.93,310.36,33.36,31.0,37.8,52.0,323.62,330.87,32.91,34.27,12.88,14.12,100.25,119.09,13.1,15.6,347.57,381.6,14.0,14.12
