Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,40,15,98,0.255,40,7,7,40,3,2,8,1,53.0,2,Southeastern La.,269.53,212.41,118.47,100.94,768.94,618.53,0.2,0.13,334.69,225.4,40.33,29.38,57.5,38.29,403.86,287.0,37.77,29.87,12.56,11.38,88.25,73.17,16.45,8.8,407.75,301.53,20.12,19.57
0,5,55,24,148,0.209,50,11,15,60,4,0,14,3,73.0,3,Ohio,269.53,282.62,118.47,133.56,768.94,836.31,0.2,0.11,334.69,356.75,40.33,47.0,57.5,63.25,403.86,417.86,37.77,30.19,12.56,20.64,88.25,79.62,16.45,12.73,407.75,385.57,20.12,10.12
0,4,44,22,137,0.161,42,5,19/,52,6,1,14,4,57.0,3,Murray St.,269.53,302.73,118.47,129.27,768.94,887.87,0.2,0.22,334.69,327.46,40.33,45.82,57.5,63.5,403.86,430.86,37.77,37.67,12.56,12.4,88.25,77.25,16.45,13.0,407.75,402.32,20.12,17.12
0,3,39,24,133,0.113,39,5,5,49,5,1,4,1,47.0,2,Milwaukee,269.53,283.38,118.47,117.06,768.94,752.19,0.2,0.15,334.69,330.23,40.33,42.0,57.5,50.4,403.86,322.93,37.77,38.4,12.56,15.0,88.25,99.5,16.45,12.64,407.75,378.27,20.12,9.29
1,5,55,21,152,0.224,54,2,12,67,6,1,20,2,68.0,4,Fairfield,269.53,264.31,118.47,126.0,768.94,750.06,0.2,0.18,334.69,269.0,40.33,32.62,57.5,45.62,403.86,352.6,37.77,30.92,12.56,11.9,88.25,83.31,16.45,13.92,407.75,354.23,20.12,15.4
0,4,60,24,151,0.238,57,2,11,56,2,0,8,3,66.0,2,Loyola Chicago,269.53,224.81,118.47,109.88,768.94,660.25,0.2,0.12,334.69,259.38,40.33,34.58,57.5,46.85,403.86,295.6,37.77,36.23,12.56,9.18,88.25,79.36,16.45,16.55,407.75,303.3,20.12,7.73
1,3,45,12,90,0.367,40,5,5,44,6,0,0,0,50.0,0,Delaware St.,269.53,198.4,118.47,107.53,768.94,593.93,0.2,0.06,334.69,229.75,40.33,40.8,57.5,50.73,403.86,261.86,37.77,39.58,12.56,10.86,88.25,60.64,16.45,17.78,407.75,270.96,20.12,16.86
0,4,49,23,136,0.191,47,4,6,47,4,3,4,5,58.0,0,UTEP,269.53,231.75,118.47,109.19,768.94,658.0,0.2,0.11,334.69,243.79,40.33,32.69,57.5,38.64,403.86,269.87,37.77,36.31,12.56,14.33,88.25,80.0,16.45,14.0,407.75,338.71,20.12,10.5
0,5,53,35,155,0.116,49,5,3,64,7,0,12,0,64.0,4,Abilene Christian,269.53,241.67,118.47,112.28,768.94,711.89,0.2,0.09,334.69,288.21,40.33,37.17,57.5,47.85,403.86,339.5,37.77,39.92,12.56,12.0,88.25,116.17,16.45,13.09,407.75,374.2,20.12,8.62
0,3,32,19,114,0.114,31,2,1,48,6,0,10,1,39.0,1,New Mexico St.,269.53,191.24,118.47,82.29,768.94,539.76,0.2,0.25,334.69,291.08,40.33,27.5,57.5,31.19,403.86,250.75,37.77,29.7,12.56,13.2,88.25,95.0,16.45,13.92,407.75,315.5,20.12,12.44
