Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
210.15,230.17,86.15,86.72,597.55,574.0,0.14,0.2,234.71,260.13,30.69,35.77,35.54,53.64,316.24,244.06,33.75,29.6,15.09,15.78,68.86,98.55,21.8,11.58,308.82,311.29,16.71,9.62,0,4,46,19,131,0.206,42,7,8,60,7,2,16,4,63.0,2
210.15,230.37,86.15,96.26,597.55,621.0,0.14,0.17,234.71,294.21,30.69,27.92,35.54,48.46,316.24,291.06,33.75,26.43,15.09,18.73,68.86,81.71,21.8,18.22,308.82,322.94,16.71,16.57,0,3,32,22,109,0.092,32,0,4,44,3,1,8,1,37.0,1
210.15,219.53,86.15,107.29,597.55,648.65,0.14,0.13,234.71,217.0,30.69,35.21,35.54,38.47,316.24,286.88,33.75,34.13,15.09,14.4,68.86,72.18,21.8,13.0,308.82,297.88,16.71,12.7,1,3,44,15,90,0.322,43,9,4,45,1,1,4,2,56.0,0
210.15,253.88,86.15,120.62,597.55,701.81,0.14,0.08,234.71,294.31,30.69,35.69,35.54,55.15,316.24,290.47,33.75,40.58,15.09,19.3,68.86,79.27,21.8,11.09,308.82,343.67,16.71,10.0,0,3,36,25,101,0.109,33,4,10,37,3,1,4,3,43.0,0
210.15,221.62,86.15,81.52,597.55,625.81,0.14,0.2,234.71,228.63,30.69,29.75,35.54,42.33,316.24,300.65,33.75,35.82,15.09,11.11,68.86,98.46,21.8,15.55,308.82,326.11,16.71,11.38,0,4,41,19,113,0.195,41,3,11,41,5,2,4,2,48.0,0
210.15,215.41,86.15,122.5,597.55,677.45,0.14,0.01,234.71,259.06,30.69,37.41,35.54,45.19,316.24,322.15,33.75,40.88,15.09,15.73,68.86,85.24,21.8,14.89,308.82,313.62,16.71,18.17,1,3,32,11,67,0.313,30,12,5,33,4,1,18,1,54.0,0
210.15,292.56,86.15,114.22,597.55,814.94,0.14,0.22,234.71,329.13,30.69,48.27,35.54,50.25,316.24,411.31,33.75,38.67,15.09,27.8,68.86,98.8,21.8,19.5,308.82,410.56,16.71,15.4,0,4,47,25,174,0.126,45,3,1,85,3,7/,16,2,65.0,2
210.15,275.69,86.15,118.75,597.55,835.25,0.14,0.13,234.71,312.77,30.69,45.73,35.54,54.5,316.24,396.33,33.75,50.8,15.09,17.78,68.86,68.55,21.8,16.36,308.82,363.4,16.71,22.89,1,4,59,20,156,0.250,58,7,3,77,2,1,4,3,69.0,1
210.15,248.88,86.15,108.24,597.55,720.88,0.14,0.26,234.71,303.85,30.69,30.58,35.54,40.85,316.24,340.62,33.75,36.36,15.09,21.1,68.86,80.27,21.8,16.7,308.82,328.16,16.71,12.5,1,3,43,13,113,0.265,43,7,5,58,3,1,13,4,57.5,0
210.15,279.06,86.15,129.25,597.55,825.56,0.14,0.09,234.71,299.64,30.69,28.17,35.54,49.79,316.24,380.73,33.75,30.36,15.09,16.64,68.86,131.8,21.8,12.45,308.82,376.33,16.71,16.0,0,3,39,25,131,0.107,39,5,4,66,2,4,6,0,51.0,1
210.15,266.56,86.15,105.33,597.55,738.28,0.14,0.19,234.71,319.5,30.69,30.33,35.54,33.6,316.24,366.94,33.75,40.89,15.09,15.5,68.86,116.0,21.8,16.7,308.82,368.56,16.71,15.55,0,4,57,17,148,0.270,54,2,6,71,5,4,6,1,66.0,4
210.15,205.83,86.15,88.89,597.55,594.22,0.14,0.16,234.71,219.31,30.69,21.92,35.54,34.77,316.24,297.5,33.75,28.36,15.09,17.7,68.86,55.31,21.8,11.69,308.82,271.15,16.71,11.18,1,4,63,22,167,0.246,62,4,7,77,8,2,16,8/,77.0,0
210.15,231.25,86.15,80.65,597.55,606.35,0.14,0.19,234.71,310.29,30.69,19.0,35.54,32.5,316.24,285.68,33.75,18.77,15.09,12.11,68.86,85.33,21.8,15.91,308.82,282.0,16.71,10.4,0,3,26,15,100,0.110,26,3,4,40,5,1,4,3,32.0,0
210.15,199.14,86.15,90.91,597.55,586.23,0.14,0.15,234.71,207.5,30.69,25.81,35.54,37.71,316.24,294.53,33.75,33.38,15.09,11.2,68.86,83.12,21.8,11.25,308.82,278.55,16.71,12.75,1,5,58,29,181,0.160,56,9,6,89,11,4,16,7,79.0,0
210.15,277.82,86.15,117.18,597.55,813.18,0.14,0.19,234.71,298.6,30.69,24.64,35.54,36.6,316.24,423.0,33.75,32.7,15.09,18.2,68.86,115.82,21.8,15.7,308.82,367.94,16.71,12.57,0,4,42,31,155,0.071,41,2,2,72,3,5,16,1,57.0,1
210.15,312.93,86.15,137.8,597.55,961.6,0.14,0.16,234.71,340.31,30.69,28.69,35.54,49.54,316.24,517.23,33.75,31.92,15.09,16.44,68.86,115.0,21.8,18.1,308.82,445.38,16.71,18.5,1,5,61,22,194,0.201,59,2,8,99,6,3,10,5,71.0,2
210.15,283.5,86.15,104.88,597.55,783.75,0.14,0.22,234.71,266.94,30.69,29.08,35.54,51.75,316.24,395.5,33.75,30.73,15.09,17.38,68.86,104.33,21.8,12.75,308.82,376.67,16.71,10.83,0,3,34,16,97,0.186,30,3,5,47,4,2,14,1,46.0,3
210.15,268.5,86.15,123.56,597.55,760.5,0.14,0.2,234.71,270.73,30.69,28.36,35.54,53.64,316.24,334.93,33.75,31.92,15.09,14.5,68.86,79.25,21.8,9.92,308.82,354.23,16.71,8.2,0,3,35,16,118,0.161,34,1,3,59,1,0,6,1,39.0,2
210.15,284.82,86.15,123.82,597.55,808.71,0.14,0.04,234.71,291.25,30.69,35.43,35.54,47.47,316.24,393.93,33.75,47.0,15.09,18.22,68.86,120.5,21.8,19.3,308.82,406.97,16.71,13.36,1,3,49,13,108,0.333,46,4,5,53,2,2,20,0,65.0,0
210.15,196.1,86.15,86.43,597.55,591.62,0.14,0.17,234.71,203.53,30.69,33.23,35.54,41.43,316.24,312.39,33.75,27.92,15.09,20.67,68.86,78.75,21.8,12.42,308.82,325.53,16.71,26.86,0,3,34,14,114,0.175,31,4,1,58,9,1,10,3,44.0,1
210.15,199.14,86.15,90.91,597.55,586.23,0.14,0.15,234.71,207.5,30.69,25.81,35.54,37.71,316.24,294.53,33.75,33.38,15.09,11.2,68.86,83.12,21.8,11.25,308.82,278.55,16.71,12.75,1,4,53,22,137,0.226,51,7,4,68,7,1,24,2,73.0,0
210.15,231.25,86.15,80.65,597.55,606.35,0.14,0.19,234.71,310.29,30.69,19.0,35.54,32.5,316.24,285.68,33.75,18.77,15.09,12.11,68.86,85.33,21.8,15.91,308.82,282.0,16.71,10.4,0,3,24,22,94,0.021,24,4,4,33,2,1,4,1,31.0,1
210.15,266.56,86.15,105.33,597.55,738.28,0.14,0.19,234.71,319.5,30.69,30.33,35.54,33.6,316.24,366.94,33.75,40.89,15.09,15.5,68.86,116.0,21.8,16.7,308.82,368.56,16.71,15.55,0,4,56,28,152,0.184,55,0,6,54,4,0,6,1,59.0,5
210.15,279.06,86.15,129.25,597.55,825.56,0.14,0.09,234.71,299.64,30.69,28.17,35.54,49.79,316.24,380.73,33.75,30.36,15.09,16.64,68.86,131.8,21.8,12.45,308.82,376.33,16.71,16.0,1,5,50,24,173,0.150,48,5,9,80,3,3,24,5,70.0,3
210.15,196.1,86.15,86.43,597.55,591.62,0.14,0.17,234.71,203.53,30.69,33.23,35.54,41.43,316.24,312.39,33.75,27.92,15.09,20.67,68.86,78.75,21.8,12.42,308.82,325.53,16.71,26.86,0,3,41,12,113,0.257,40,3,2,52,6,2,6,2,49.0,2
210.15,284.82,86.15,123.82,597.55,808.71,0.14,0.04,234.71,291.25,30.69,35.43,35.54,47.47,316.24,393.93,33.75,47.0,15.09,18.22,68.86,120.5,21.8,19.3,308.82,406.97,16.71,13.36,1,4,61,14,147,0.320,58,6,7,71,6,2,14,2,76.0,0
210.15,268.5,86.15,123.56,597.55,760.5,0.14,0.2,234.71,270.73,30.69,28.36,35.54,53.64,316.24,334.93,33.75,31.92,15.09,14.5,68.86,79.25,21.8,9.92,308.82,354.23,16.71,8.2,1,4,52,18,131,0.260,46,5,9,57,8,4,4,0,63.0,2
210.15,283.5,86.15,104.88,597.55,783.75,0.14,0.22,234.71,266.94,30.69,29.08,35.54,51.75,316.24,395.5,33.75,30.73,15.09,17.38,68.86,104.33,21.8,12.75,308.82,376.67,16.71,10.83,0,4,61,18,176,0.244,56,2,5,67,3,0,16,8/,71.0,2
