Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,51,12,92,0.424,47,3,6,46,3,0,12,1,60.0,1,Nicholls St.,226.15,190.11,101.35,89.28,588.75,588.39,0.14,0.04,266.25,248.54,31.0,33.23,45.5,44.13,276.0,297.69,27.92,38.08,19.09,11.42,83.0,53.86,14.58,10.69,294.89,273.0,15.33,18.38
1,5,68,25,170,0.253,65,9,12,66,8,4,6,4,84.0,1,Little Rock,226.15,258.88,101.35,110.88,588.75,753.44,0.14,0.2,266.25,269.36,31.0,32.58,45.5,40.13,276.0,342.53,27.92,34.17,19.09,26.5,83.0,91.45,14.58,15.4,294.89,374.86,15.33,15.2
1,3,48,12,85,0.424,47,9,3,33,0,1,8,5,62.0,0,Jackson St.,226.15,223.83,101.35,123.22,588.75,679.0,0.14,0.09,266.25,218.35,31.0,33.86,45.5,39.73,276.0,292.06,27.92,33.75,19.09,10.38,83.0,71.29,14.58,11.27,294.89,321.06,15.33,14.6
1,3,52,17,99,0.354,50,1,6,48,2,4,2,3,58.0,1,Louisiana,226.15,276.65,101.35,109.65,588.75,810.18,0.14,0.15,266.25,316.5,31.0,28.33,45.5,46.15,276.0,394.12,27.92,30.18,19.09,30.1,83.0,90.36,14.58,21.0,294.89,389.4,15.33,16.0
1,4,62,20,150,0.280,57,5,10,65,2,1,16,0,76.0,3,McNeese,226.15,252.94,101.35,101.17,588.75,738.56,0.14,0.16,266.25,267.44,31.0,49.8,45.5,61.83,276.0,372.81,27.92,46.91,19.09,16.33,83.0,101.92,14.58,12.73,294.89,341.74,15.33,13.5
0,5,54,36,167,0.108,47,5,9,62,6,3,10,0,67.0,1,South Alabama,226.15,189.0,101.35,86.0,588.75,547.32,0.14,0.18,266.25,254.0,31.0,24.07,45.5,34.47,276.0,257.65,27.92,27.73,19.09,20.73,83.0,82.58,14.58,6.3,294.89,258.42,15.33,13.7
1,3,48,15,98,0.337,45,2,4,43,1,1,14,0,58.0,1,Alabama,226.15,237.26,101.35,106.53,588.75,690.95,0.14,0.18,266.25,323.38,31.0,37.73,45.5,55.55,276.0,333.76,27.92,38.0,19.09,26.4,83.0,86.46,14.58,17.0,294.89,383.27,15.33,18.57
0,4,46,29,113,0.150,46,3,5,35,10,2,10,1,56.0,0,Tulane,226.15,284.82,101.35,123.82,588.75,808.71,0.14,0.04,266.25,291.25,31.0,35.43,45.5,47.47,276.0,393.93,27.92,47.0,19.09,18.22,83.0,120.5,14.58,19.3,294.89,406.97,15.33,13.36
1,3,42,16,90,0.289,41,5,4,41,5,4,12,2,57.0,0,Nicholls St.,226.15,190.11,101.35,89.28,588.75,588.39,0.14,0.04,266.25,248.54,31.0,33.23,45.5,44.13,276.0,297.69,27.92,38.08,19.09,11.42,83.0,53.86,14.58,10.69,294.89,273.0,15.33,18.38
0,4,55,29,167,0.156,55,2,9,61,3,4,14,5,68.0,0,Oklahoma,226.15,241.12,101.35,109.65,588.75,651.47,0.14,0.23,266.25,274.64,31.0,22.54,45.5,39.62,276.0,317.43,27.92,23.0,19.09,10.36,83.0,101.09,14.58,13.27,294.89,337.47,15.33,9.67
1,3,47,24,116,0.198,47,3,7,57,3,0,18,0,59.0,1,Southeastern La.,226.15,212.41,101.35,100.94,588.75,618.53,0.14,0.13,266.25,225.4,31.0,29.38,45.5,38.29,276.0,287.0,27.92,29.87,19.09,11.38,83.0,73.17,14.58,8.8,294.89,301.53,15.33,19.57
0,3,38,18,122,0.164,35,1,5,45,3,2,18,4,50.0,1,Marquette,226.15,279.0,101.35,97.88,588.75,736.12,0.14,0.14,266.25,319.29,31.0,31.92,45.5,53.92,276.0,337.5,27.92,28.67,19.09,10.67,83.0,96.67,14.58,17.2,294.89,364.62,15.33,21.8
0,3,22,26,92,-0.043,20,0,3,25,5,0,0,3,22.0,1,Wisconsin,226.15,251.11,101.35,89.89,588.75,624.89,0.14,0.26,266.25,307.71,31.0,22.79,45.5,53.71,276.0,267.0,27.92,31.89,19.09,13.38,83.0,124.55,14.58,18.2,294.89,331.24,15.33,10.75
1,5,85/,30,204,0.270,81/,3,9,80,2,1,16,2,97.0/,0,North Texas,226.15,298.35,101.35,102.65,588.75,752.18,0.14,0.19,266.25,315.53,31.0,33.21,45.5,42.27,276.0,322.75,27.92,32.25,19.09,16.09,83.0,90.15,14.58,17.22,294.89,393.75,15.33,12.17
0,4,55,32,140,0.164,46,2,4,44,2,4,14,2,68.0,1,UTSA,226.15,230.26,101.35,96.11,588.75,647.21,0.14,0.07,266.25,272.2,31.0,38.25,45.5,43.36,276.0,284.78,27.92,43.4,19.09,15.44,83.0,102.82,14.58,14.0,294.89,307.69,15.33,8.9
1,4,53,28,148,0.169,53,4,7,60,3,5,14,3,69.0,0,Marshall,226.15,242.24,101.35,106.88,588.75,659.18,0.14,0.21,266.25,254.07,31.0,27.93,45.5,38.12,276.0,289.06,27.92,36.17,19.09,16.92,83.0,76.38,14.58,13.75,294.89,327.28,15.33,12.0
1,3,36,13,75,0.307,36,7,5,36,3,2,10,0,50.0,1,Jackson St.,226.15,223.83,101.35,123.22,588.75,679.0,0.14,0.09,266.25,218.35,31.0,33.86,45.5,39.73,276.0,292.06,27.92,33.75,19.09,10.38,83.0,71.29,14.58,11.27,294.89,321.06,15.33,14.6
0,3,38,17,108,0.194,35,2,1,36,3,2,14,1,49.0,1,Western Ky.,226.15,297.31,101.35,100.06,588.75,708.44,0.14,0.31,266.25,400.91,31.0,41.18,45.5,69.55,276.0,299.4,27.92,41.1,19.09,20.11,83.0,96.92,14.58,13.82,294.89,398.17,15.33,13.0
1,3,48,17,114,0.272,45,2,6,52,2,1,14,0,58.0,2,Louisiana Tech,226.15,213.94,101.35,96.61,588.75,619.89,0.14,0.13,266.25,223.69,31.0,27.0,45.5,38.69,276.0,277.88,27.92,28.71,19.09,11.09,83.0,70.29,14.58,10.0,294.89,283.29,15.33,10.18
1,3,45,7,83,0.458,43,6,6,38,6,0,4,2,53.0,1,UTEP,226.15,231.75,101.35,109.19,588.75,658.0,0.14,0.11,266.25,243.79,31.0,32.69,45.5,38.64,276.0,269.87,27.92,36.31,19.09,14.33,83.0,80.0,14.58,14.0,294.89,338.71,15.33,10.5
1,3,30,13,80,0.212,26,8,5,41,1,5,12,1,49.0,0,Middle Tenn.,226.15,230.87,101.35,107.27,588.75,596.87,0.14,0.13,266.25,267.33,31.0,47.91,45.5,62.57,276.0,231.21,27.92,45.08,19.09,11.6,83.0,68.67,14.58,12.42,294.89,322.71,15.33,13.75
0,5,60,30,164,0.183,59,3,3,71,6,1,20,3,74.0,0,Fla. Atlantic,226.15,231.06,101.35,88.67,588.75,595.22,0.14,0.24,266.25,263.53,31.0,29.67,45.5,37.0,276.0,262.53,27.92,20.56,19.09,10.82,83.0,69.36,14.58,10.25,294.89,301.15,15.33,8.44
1,3,55,28,152,0.178,54,4,6,73,4,1,10,4,65.0,1,Charlotte,226.15,244.17,101.35,97.44,588.75,693.83,0.14,0.13,266.25,314.69,31.0,30.17,45.5,41.43,276.0,340.31,27.92,34.0,19.09,16.9,83.0,124.42,14.58,15.08,294.89,354.53,15.33,21.11
0,5,62,35,152,0.178,57,6,4,52,6,1,4,4,71.0,0,North Texas,226.15,298.35,101.35,102.65,588.75,752.18,0.14,0.19,266.25,315.53,31.0,33.21,45.5,42.27,276.0,322.75,27.92,32.25,19.09,16.09,83.0,90.15,14.58,17.22,294.89,393.75,15.33,12.17
1,3,42,18,109,0.220,39,6,7,48,3,4,4,0,54.0,0,UAB,226.15,226.68,101.35,97.89,588.75,628.32,0.14,0.23,266.25,283.79,31.0,30.6,45.5,43.76,276.0,270.5,27.92,38.42,19.09,17.55,83.0,73.0,14.58,11.67,294.89,303.89,15.33,9.29
0,4,50,38,150,0.080,49,6,7,62,3,2,6,1,61.0,1,Rice,226.15,317.87,101.35,134.33,588.75,910.53,0.14,0.23,266.25,321.43,31.0,35.45,45.5,50.75,276.0,433.71,27.92,36.25,19.09,18.73,83.0,109.73,14.58,15.9,294.89,426.25,15.33,11.12
1,3,45,9,94,0.383,41,4,4,41,2,2,12,3,57.0,2,Louisiana Tech,226.15,213.94,101.35,96.61,588.75,619.89,0.14,0.13,266.25,223.69,31.0,27.0,45.5,38.69,276.0,277.88,27.92,28.71,19.09,11.09,83.0,70.29,14.58,10.0,294.89,283.29,15.33,10.18
1,3,56,17,115,0.339,52,3,6,48,2,1,8,2,64.0,0,FIU,226.15,136.14,101.35,57.18,588.75,392.27,0.14,0.09,266.25,186.67,31.0,29.55,45.5,25.71,276.0,214.76,27.92,30.64,19.09,7.75,83.0,57.4,14.58,8.23,294.89,213.53,15.33,14.44
1,5,69,35,168,0.202,62,7,8,62,2,1,10,0,82.0,1,Rice,226.15,317.87,101.35,134.33,588.75,910.53,0.14,0.23,266.25,321.43,31.0,35.45,45.5,50.75,276.0,433.71,27.92,36.25,19.09,18.73,83.0,109.73,14.58,15.9,294.89,426.25,15.33,11.12
0,3,36,22,119,0.118,33,1,6,38,2,0,20,4,47.0,1,Western Ky.,226.15,297.31,101.35,100.06,588.75,708.44,0.14,0.31,266.25,400.91,31.0,41.18,45.5,69.55,276.0,299.4,27.92,41.1,19.09,20.11,83.0,96.92,14.58,13.82,294.89,398.17,15.33,13.0
