Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
311.53,183.25,125.53,86.25,848.0,570.55,0.09,0.14,403.55,197.24,38.64,30.71,56.09,41.33,378.0,285.44,47.11,29.53,26.0,11.67,145.89,62.77,25.12,7.27,458.65,256.0,9.9,8.9,1,3,45,13,119,0.269,44,8,7,55,3,1,14,0,61.0,0
311.53,368.12,125.53,135.38,848.0,1066.56,0.09,0.13,403.55,395.07,38.64,50.73,56.09,57.92,378.0,548.79,47.11,47.73,26.0,23.33,145.89,140.27,25.12,20.7,458.65,464.34,9.9,10.12,1,4,63,16,165,0.285,57,5,5,80,1,2,16,3,78.0,1
311.53,194.79,125.53,86.11,848.0,564.79,0.09,-0.0,403.55,248.57,38.64,35.07,56.09,41.31,378.0,273.76,47.11,33.71,26.0,12.25,145.89,47.62,25.12,8.14,458.65,262.22,9.9,11.67,1,3,42,9,108,0.306,41,4,5,54,7,2,6,2,51.0,0
311.53,268.5,125.53,123.56,848.0,760.5,0.09,0.2,403.55,270.73,38.64,28.36,56.09,53.64,378.0,334.93,47.11,31.92,26.0,14.5,145.89,79.25,25.12,9.92,458.65,354.23,9.9,8.2,0,3,23,21,93,0.022,23,1,4,28,5,2,10,2,31.0,1
311.53,203.6,125.53,85.2,848.0,574.0,0.09,0.08,403.55,254.13,38.64,26.6,56.09,36.67,378.0,277.33,47.11,29.08,26.0,16.36,145.89,62.86,25.12,10.3,458.65,282.83,9.9,11.0,1,3,35,11,98,0.245,33,4,3,47,5,4,18,0,52.0,1
311.53,283.5,125.53,104.88,848.0,783.75,0.09,0.22,403.55,266.94,38.64,29.08,56.09,51.75,378.0,395.5,47.11,30.73,26.0,17.38,145.89,104.33,25.12,12.75,458.65,376.67,9.9,10.83,0,3,33,17,106,0.151,33,1,5,52,4,2,8,2,40.0,1
311.53,288.81,125.53,120.0,848.0,917.12,0.09,0.17,403.55,312.14,38.64,37.73,56.09,43.54,378.0,508.07,47.11,30.85,26.0,15.5,145.89,92.5,25.12,15.27,458.65,385.13,9.9,11.22,1,3,43,17,115,0.226,41,2,4,63,2,4,12,0,55.0,2
311.53,145.21,125.53,63.21,848.0,437.38,0.09,0.14,403.55,172.58,38.64,31.55,56.09,30.53,378.0,234.25,47.11,29.0,26.0,14.0,145.89,58.5,25.12,8.3,458.65,219.9,9.9,8.33,0,3,38,18,118,0.169,37,2,5,50,3,1,14,3,48.0,0
311.53,259.33,125.53,110.8,848.0,731.53,0.09,0.12,403.55,276.54,38.64,41.3,56.09,58.0,378.0,355.46,47.11,37.73,26.0,17.5,145.89,101.33,25.12,11.11,458.65,376.85,9.9,12.0,1,3,36,8,81,0.346,34,3,2,35,1,5,22,0,55.0,0
311.53,264.31,125.53,126.0,848.0,750.06,0.09,0.18,403.55,269.0,38.64,32.62,56.09,45.62,378.0,352.6,47.11,30.92,26.0,11.9,145.89,83.31,25.12,13.92,458.65,354.23,9.9,15.4,0,4,42,27,128,0.117,41,2,6,48,3,4,20,0,58.0,3
311.53,230.26,125.53,96.11,848.0,647.21,0.09,0.07,403.55,272.2,38.64,38.25,56.09,43.36,378.0,284.78,47.11,43.4,26.0,15.44,145.89,102.82,25.12,14.0,458.65,307.69,9.9,8.9,0,5,62,26,157,0.229,57,4,5,58,8,4,20,4,80.0,0
311.53,224.75,125.53,88.6,848.0,594.55,0.09,0.23,403.55,324.85,38.64,32.18,56.09,47.29,378.0,359.14,47.11,32.4,26.0,14.0,145.89,96.15,25.12,12.91,458.65,400.0,9.9,15.14,0,3,29,16,98,0.133,28,2,4,33,6,3,6,3,37.0,0
311.53,260.95,125.53,116.37,848.0,746.79,0.09,0.21,403.55,311.13,38.64,27.36,56.09,41.6,378.0,371.18,47.11,24.5,26.0,17.73,145.89,114.18,25.12,15.42,458.65,385.25,9.9,15.0,1,4,56,22,142,0.239,52,3,2,67,3,3,18,4,71.0,0
311.53,266.88,125.53,103.18,848.0,770.94,0.09,0.05,403.55,306.36,38.64,41.18,56.09,57.18,378.0,398.8,47.11,33.0,26.0,18.1,145.89,88.36,25.12,11.3,458.65,353.56,9.9,11.86,0,5,70,27,183,0.235,67,5,7,68,11,1,8,2,80.0,0
311.53,198.05,125.53,84.9,848.0,556.24,0.09,0.09,403.55,216.5,38.64,32.29,56.09,34.5,378.0,255.53,47.11,28.31,26.0,12.3,145.89,82.75,25.12,9.85,458.65,275.29,9.9,11.6,0,5,56,20,155,0.232,56,3,3,70,8,1,20,9/,70.0,2
311.53,279.0,125.53,97.88,848.0,736.12,0.09,0.14,403.55,319.29,38.64,31.92,56.09,53.92,378.0,337.5,47.11,28.67,26.0,10.67,145.89,96.67,25.12,17.2,458.65,364.62,9.9,21.8,0,3,28,18,88,0.114,26,1,5,23,3,0,8,0,33.0,1
