Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
283.5,226.0,104.88,105.58,783.75,654.95,0.22,0.16,266.94,307.15,29.08,33.85,51.75,45.93,395.5,341.19,30.73,32.15,17.38,12.2,104.33,114.73,12.75,12.82,376.67,304.83,10.83,16.62,1,3,44,13,112,0.277,39,4,4,51,1,3,16,0,59.0,2
283.5,213.05,104.88,87.4,783.75,544.55,0.22,0.15,266.94,264.4,29.08,32.5,51.75,52.87,395.5,219.68,30.73,44.5,17.38,17.6,104.33,104.3,12.75,13.09,376.67,318.44,10.83,13.38,0,5,45,18,135,0.200,44,7,9,53,5,0,37/,0,70.5,2
283.5,158.62,104.88,72.67,783.75,467.0,0.22,0.14,266.94,184.29,29.08,25.21,51.75,33.94,395.5,223.26,30.73,23.44,17.38,9.1,104.33,53.89,12.75,10.31,376.67,213.0,10.83,8.88,0,4,55,27,161,0.174,48,4,10,63,4,4,14,1,70.0,0
283.5,203.6,104.88,85.2,783.75,574.0,0.22,0.08,266.94,254.13,29.08,26.6,51.75,36.67,395.5,277.33,30.73,29.08,17.38,16.36,104.33,62.86,12.75,10.3,376.67,282.83,10.83,11.0,0,3,22,18,88,0.045,22,2,3,36,7,1,4,4,27.0,1
283.5,205.65,104.88,90.7,783.75,580.6,0.22,0.14,266.94,257.4,29.08,25.8,51.75,35.71,395.5,260.17,30.73,31.0,17.38,12.36,104.33,88.31,12.75,9.17,376.67,306.47,10.83,10.64,1,3,40,11,104,0.279,37,2,3,40,6,2,18,0,53.0,2
283.5,250.53,104.88,94.59,783.75,680.29,0.22,0.27,266.94,283.5,29.08,34.92,51.75,54.08,395.5,325.47,30.73,27.64,17.38,14.6,104.33,62.92,12.75,13.89,376.67,325.09,10.83,10.0,0,4,49,24,160,0.156,44,6,6,56,3,3,10,4,63.0,2
283.5,231.25,104.88,80.65,783.75,606.35,0.22,0.19,266.94,310.29,29.08,19.0,51.75,32.5,395.5,285.68,30.73,18.77,17.38,12.11,104.33,85.33,12.75,15.91,376.67,282.0,10.83,10.4,0,4,71,28,170,0.253,67,3,7,61,3,1,8,2,79.0,2
283.5,199.14,104.88,90.91,783.75,586.23,0.22,0.15,266.94,207.5,29.08,25.81,51.75,37.71,395.5,294.53,30.73,33.38,17.38,11.2,104.33,83.12,12.75,11.25,376.67,278.55,10.83,12.75,1,3,45,15,114,0.263,44,3,4,64,3,2,18,1,59.0,3
283.5,284.82,104.88,123.82,783.75,808.71,0.22,0.04,266.94,291.25,29.08,35.43,51.75,47.47,395.5,393.93,30.73,47.0,17.38,18.22,104.33,120.5,12.75,19.3,376.67,406.97,10.83,13.36,1,4,57,12,133,0.338,57,11,15,64,8,2,14,1,77.0,1
283.5,196.1,104.88,86.43,783.75,591.62,0.22,0.17,266.94,203.53,29.08,33.23,51.75,41.43,395.5,312.39,30.73,27.92,17.38,20.67,104.33,78.75,12.75,12.42,376.67,325.53,10.83,26.86,1,5,64,20,170,0.259,61,5,7,79,6,3,12,3,78.0,0
283.5,266.56,104.88,105.33,783.75,738.28,0.22,0.19,266.94,319.5,29.08,30.33,51.75,33.6,395.5,366.94,30.73,40.89,17.38,15.5,104.33,116.0,12.75,16.7,376.67,368.56,10.83,15.55,0,4,51,22,164,0.177,43,2,9,65,4,1,6,1,57.0,2
283.5,279.06,104.88,129.25,783.75,825.56,0.22,0.09,266.94,299.64,29.08,28.17,51.75,49.79,395.5,380.73,30.73,30.36,17.38,16.64,104.33,131.8,12.75,12.45,376.67,376.33,10.83,16.0,1,4,62,22,162,0.247,60,2,4,81,1,2,24,2,78.0,2
283.5,210.15,104.88,86.15,783.75,597.55,0.22,0.14,266.94,234.71,29.08,30.69,51.75,35.54,395.5,316.24,30.73,33.75,17.38,15.09,104.33,68.86,12.75,21.8,376.67,308.82,10.83,16.71,1,3,47,14,116,0.284,45,4,7,42,3,2,8,3,57.0,2
283.5,264.74,104.88,104.11,783.75,730.37,0.22,0.24,266.94,279.82,29.08,31.0,51.75,51.0,395.5,336.56,30.73,38.1,17.38,19.1,104.33,104.0,12.75,12.4,376.67,345.39,10.83,19.0,1,5,65,21,161,0.273,61,8,8,72,3,0,6,1,76.0,1
283.5,312.93,104.88,137.8,783.75,961.6,0.22,0.16,266.94,340.31,29.08,28.69,51.75,49.54,395.5,517.23,30.73,31.92,17.38,16.44,104.33,115.0,12.75,18.1,376.67,445.38,10.83,18.5,1,4,63,16,165,0.285,59,6,10,95,4,0,12,4,75.0,2
283.5,277.82,104.88,117.18,783.75,813.18,0.22,0.19,266.94,298.6,29.08,24.64,51.75,36.6,395.5,423.0,30.73,32.7,17.38,18.2,104.33,115.82,12.75,15.7,376.67,367.94,10.83,12.57,1,4,67,21,157,0.293,64,5,8,69,3,1,26,3,86.0,4
283.5,196.1,104.88,86.43,783.75,591.62,0.22,0.17,266.94,203.53,29.08,33.23,51.75,41.43,395.5,312.39,30.73,27.92,17.38,20.67,104.33,78.75,12.75,12.42,376.67,325.53,10.83,26.86,1,3,49,14,126,0.278,46,1,6,61,1,0,14,1,57.0,1
283.5,284.82,104.88,123.82,783.75,808.71,0.22,0.04,266.94,291.25,29.08,35.43,51.75,47.47,395.5,393.93,30.73,47.0,17.38,18.22,104.33,120.5,12.75,19.3,376.67,406.97,10.83,13.36,1,3,44,11,111,0.297,42,2,6,53,4,1,12,1,53.0,0
283.5,199.14,104.88,90.91,783.75,586.23,0.22,0.15,266.94,207.5,29.08,25.81,51.75,37.71,395.5,294.53,30.73,33.38,17.38,11.2,104.33,83.12,12.75,11.25,376.67,278.55,10.83,12.75,0,5,54,26,163,0.172,52,5,7,77,4,2,16,2,69.0,3
283.5,231.25,104.88,80.65,783.75,606.35,0.22,0.19,266.94,310.29,29.08,19.0,51.75,32.5,395.5,285.68,30.73,18.77,17.38,12.11,104.33,85.33,12.75,15.91,376.67,282.0,10.83,10.4,0,3,38,15,115,0.200,37,2,8,45,4,1,8,1,45.0,0
283.5,277.82,104.88,117.18,783.75,813.18,0.22,0.19,266.94,298.6,29.08,24.64,51.75,36.6,395.5,423.0,30.73,32.7,17.38,18.2,104.33,115.82,12.75,15.7,376.67,367.94,10.83,12.57,1,5,65,24,186,0.220,63,3,11,95,6,0,28,1,82.0,0
283.5,312.93,104.88,137.8,783.75,961.6,0.22,0.16,266.94,340.31,29.08,28.69,51.75,49.54,395.5,517.23,30.73,31.92,17.38,16.44,104.33,115.0,12.75,18.1,376.67,445.38,10.83,18.5,1,5,65,22,192,0.224,63,5,9,95,4,2,22,1,83.0,0
283.5,264.74,104.88,104.11,783.75,730.37,0.22,0.24,266.94,279.82,29.08,31.0,51.75,51.0,395.5,336.56,30.73,38.1,17.38,19.1,104.33,104.0,12.75,12.4,376.67,345.39,10.83,19.0,0,3,45,16,112,0.259,42,1,3,44,5,0,4,1,48.0,0
283.5,210.15,104.88,86.15,783.75,597.55,0.22,0.14,266.94,234.71,29.08,30.69,51.75,35.54,395.5,316.24,30.73,33.75,17.38,15.09,104.33,68.86,12.75,21.8,376.67,308.82,10.83,16.71,1,4,68,15,166,0.319,66,3,5,82,2,0,12,1,77.0,4
283.5,268.5,104.88,123.56,783.75,760.5,0.22,0.2,266.94,270.73,29.08,28.36,51.75,53.64,395.5,334.93,30.73,31.92,17.38,14.5,104.33,79.25,12.75,9.92,376.67,354.23,10.83,8.2,1,3,48,8,85,0.471,45,7,6,46,0,3,10,2,63.0,0
283.5,268.5,104.88,123.56,783.75,760.5,0.22,0.2,266.94,270.73,29.08,28.36,51.75,53.64,395.5,334.93,30.73,31.92,17.38,14.5,104.33,79.25,12.75,9.92,376.67,354.23,10.83,8.2,1,5,58,23,207,0.169,53,1,13,97,3,4,24,0,75.0,3
283.5,237.82,104.88,103.0,783.75,674.53,0.22,0.1,266.94,307.33,29.08,47.5,51.75,55.69,395.5,339.73,30.73,38.5,17.38,17.12,104.33,83.2,12.75,13.82,376.67,362.21,10.83,12.0,1,3,38,8,95,0.316,35,6,8,37,3,3,20,0,57.0,2
