Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
267.61,275.47,115.61,121.63,768.83,784.0,0.22,0.15,326.0,328.27,33.75,36.33,44.92,52.0,386.88,352.94,38.33,32.33,11.9,18.0,86.77,113.62,19.0,18.92,393.67,366.03,19.75,12.38,1,3,50,15,111,0.315,49,4,5,59,1,0,4,2,56.0,0
267.61,228.82,115.61,105.65,768.83,732.18,0.22,0.14,326.0,275.08,33.75,32.17,44.92,50.08,386.88,373.47,38.33,36.36,11.9,14.33,86.77,77.33,19.0,11.0,393.67,327.47,19.75,11.91,1,4,57,29,169,0.166,55,1,4,94,2,3,16,3,69.0,2
267.61,234.61,115.61,96.89,768.83,701.06,0.22,0.12,326.0,281.43,33.75,35.1,44.92,41.43,386.88,346.19,38.33,29.75,11.9,16.8,86.77,107.11,19.0,14.33,393.67,326.5,19.75,8.75,1,4,71,23,157,0.306,66,1,6,94,4,1,2,0,74.0,3
267.61,269.25,115.61,115.31,768.83,731.44,0.22,0.18,326.0,271.47,33.75,32.33,44.92,51.31,386.88,313.4,38.33,33.15,11.9,11.45,86.77,88.0,19.0,11.38,393.67,356.67,19.75,10.67,1,3,35,12,95,0.242,30,7,8,34,1,1,12,0,49.0,0
267.61,289.33,115.61,119.73,768.83,824.0,0.22,0.24,326.0,314.0,33.75,28.85,44.92,56.67,386.88,378.29,38.33,34.5,11.9,15.56,86.77,113.18,19.0,19.73,393.67,391.25,19.75,15.0,1,4,68,24,156,0.282,66,4,7,76,4,1,10,2,78.0,4
267.61,199.39,115.61,93.39,768.83,609.33,0.22,0.11,326.0,239.36,33.75,32.92,44.92,34.31,386.88,304.38,38.33,36.58,11.9,10.5,86.77,65.46,19.0,14.0,393.67,283.47,19.75,10.82,1,3,45,21,128,0.188,43,7,7,60,0,0,15,0,59.5,1
267.61,212.44,115.61,98.31,768.83,614.12,0.22,0.17,326.0,241.15,33.75,26.5,44.92,38.08,386.88,288.36,38.33,28.15,11.9,7.89,86.77,67.08,19.0,14.83,393.67,322.35,19.75,15.75,1,3,37,10,97,0.278,36,6,7,44,1,2,10,2,50.0,0
267.61,255.29,115.61,120.0,768.83,718.88,0.22,0.04,326.0,271.6,33.75,45.25,44.92,49.71,386.88,302.31,38.33,30.18,11.9,10.0,86.77,91.58,19.0,16.09,393.67,368.83,19.75,11.33,1,3,48,12,98,0.367,47,7,3,44,4,2,8,1,61.0,1
267.61,189.47,115.61,93.65,768.83,585.35,0.22,0.09,326.0,215.57,33.75,39.42,44.92,50.33,386.88,283.73,38.33,50.55,11.9,13.2,86.77,54.25,19.0,11.0,393.67,276.77,19.75,7.27,1,3,41,20,123,0.171,37,7,3,61,0,1,14,2,56.0,1
267.61,310.31,115.61,142.56,768.83,911.69,0.22,0.08,326.0,359.46,33.75,39.17,44.92,53.0,386.88,468.86,38.33,47.2,11.9,16.64,86.77,110.31,19.0,14.0,393.67,422.33,19.75,9.8,1,4,58,30,189,0.148,57,4,7,84,5,5,18,2,76.0,2
267.61,305.33,115.61,133.67,768.83,887.93,0.22,0.2,326.0,333.85,33.75,32.0,44.92,73.3,386.88,420.14,38.33,27.62,11.9,18.22,86.77,88.5,19.0,15.3,393.67,401.93,19.75,12.8,1,4,65,35,171,0.175,61,6,8,69,2,3,22,5,85.0,0
267.61,185.21,115.61,87.0,768.83,587.05,0.22,0.14,326.0,237.0,33.75,22.92,44.92,37.29,386.88,290.94,38.33,23.38,11.9,15.0,86.77,54.43,19.0,11.25,393.67,241.11,19.75,15.22,1,3,47,14,141,0.234,43,1,10,72,3,0,8,1,52.0,1
