Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,55,36,161,0.118,49,9,13,59,3,4,10,0,73.0,2,North Florida,309.4,266.56,148.27,119.06,828.93,765.81,0.02,0.12,305.79,251.19,47.3,29.29,78.83,50.79,329.93,350.13,40.45,31.0,20.5,19.89,103.45,120.6,7.73,17.11,420.57,363.8,16.11,15.27
0,3,39,21,89,0.202,38,4,10,31,3,0,10,1,48.0,1,South Carolina,309.4,240.44,148.27,97.17,828.93,633.83,0.02,0.18,305.79,269.8,47.3,37.42,78.83,54.07,329.93,308.0,40.45,34.14,20.5,24.88,103.45,84.25,7.73,16.2,420.57,342.59,16.11,21.5
0,4,51,23,112,0.250,48,10,21/,27,4,0,8,0,65.0,2,Mercer,309.4,229.68,148.27,90.89,828.93,646.74,0.02,0.15,305.79,291.64,47.3,34.14,78.83,49.25,329.93,287.28,40.45,45.45,20.5,16.62,103.45,77.25,7.73,10.5,420.57,319.91,16.11,17.5
0,4,39,33,129,0.047,36,3,6,40,5,0,6,1,45.0,1,Kennesaw St.,309.4,181.95,148.27,79.74,828.93,503.63,0.02,0.27,305.79,213.73,47.3,24.18,78.83,34.13,329.93,237.24,40.45,24.3,20.5,11.73,103.45,71.92,7.73,13.73,420.57,267.72,16.11,7.11
0,3,36,29,111,0.063,30,3,8,41,8,1,4,0,42.0,1,Northwestern St.,309.4,239.0,148.27,110.17,828.93,720.89,0.02,0.16,305.79,285.43,47.3,40.92,78.83,68.36,329.93,388.53,40.45,47.3,20.5,16.33,103.45,69.8,7.73,13.11,420.57,305.81,16.11,20.22
1,4,51,29,129,0.171,46,11,12,50,1,1,14,0,70.0,2,Jackson St.,309.4,223.83,148.27,123.22,828.93,679.0,0.02,0.09,305.79,218.35,47.3,33.86,78.83,39.73,329.93,292.06,40.45,33.75,20.5,10.38,103.45,71.29,7.73,11.27,420.57,321.06,16.11,14.6
1,4,59,23,127,0.283,55,9,15,47,8,1,8,0,73.0,0,Winthrop,309.4,248.44,148.27,108.72,828.93,712.83,0.02,0.18,305.79,242.0,47.3,41.77,78.83,45.86,329.93,338.0,40.45,38.79,20.5,15.2,103.45,77.42,7.73,14.2,420.57,331.26,16.11,14.14
1,5,61,31,167,0.180,55,6,15,43,5,1,16,0,76.0,1,UAB,309.4,226.68,148.27,97.89,828.93,628.32,0.02,0.23,305.79,283.79,47.3,30.6,78.83,43.76,329.93,270.5,40.45,38.42,20.5,17.55,103.45,73.0,7.73,11.67,420.57,303.89,16.11,9.29
0,3,34,26,104,0.077,32,4,10,37,4,1,4,1,41.0,0,Morehead St.,309.4,242.88,148.27,108.88,828.93,655.69,0.02,0.09,305.79,261.79,47.3,35.0,78.83,42.64,329.93,278.0,40.45,34.92,20.5,11.67,103.45,89.5,7.73,8.82,420.57,332.2,16.11,12.82
0,4,53,32,149,0.141,48,7,10,61,5,0,10,0,65.0,1,Middle Tenn.,309.4,230.87,148.27,107.27,828.93,596.87,0.02,0.13,305.79,267.33,47.3,47.91,78.83,62.57,329.93,231.21,40.45,45.08,20.5,11.6,103.45,68.67,7.73,12.42,420.57,322.71,16.11,13.75
1,3,51,14,110,0.336,50,9,11,46,2,0,10,0,65.0,0,South Carolina St.,309.4,193.29,148.27,108.21,828.93,571.79,0.02,0.05,305.79,227.82,47.3,40.6,78.83,46.75,329.93,243.77,40.45,35.69,20.5,11.44,103.45,59.73,7.73,15.0,420.57,272.58,16.11,12.33
0,3,36,16,90,0.222,36,5,5,31,6,3,8,2,48.0,0,Murray St.,309.4,302.73,148.27,129.27,828.93,887.87,0.02,0.22,305.79,327.46,47.3,45.82,78.83,63.5,329.93,430.86,40.45,37.67,20.5,12.4,103.45,77.25,7.73,13.0,420.57,402.32,16.11,17.12
1,3,49,26,135,0.170,47,3,15,63,2,1,12,1,59.0,1,Southern U.,309.4,217.38,148.27,120.69,828.93,666.12,0.02,0.13,305.79,213.27,47.3,35.0,78.83,38.4,329.93,298.0,40.45,33.0,20.5,13.0,103.45,80.77,7.73,11.0,420.57,283.75,16.11,13.62
0,3,31,16,90,0.167,29,2,9,31,3,3,10,4,41.0,3,Alabama,309.4,237.26,148.27,106.53,828.93,690.95,0.02,0.18,305.79,323.38,47.3,37.73,78.83,55.55,329.93,333.76,40.45,38.0,20.5,26.4,103.45,86.46,7.73,17.0,420.57,383.27,16.11,18.57
0,4,50,29,166,0.127,46,2,16,66,6,1,6,2,56.0,2,UT Arlington,309.4,243.88,148.27,107.88,828.93,676.76,0.02,0.2,305.79,239.75,47.3,25.47,78.83,43.6,329.93,302.81,40.45,30.85,20.5,16.12,103.45,63.5,7.73,12.82,420.57,318.84,16.11,14.15
0,3,27,21,80,0.075,27,1,5,25,4,0,2,0,29.0,4,Texas St.,309.4,260.95,148.27,116.37,828.93,746.79,0.02,0.21,305.79,311.13,47.3,27.36,78.83,41.6,329.93,371.18,40.45,24.5,20.5,17.73,103.45,114.18,7.73,15.42,420.57,385.25,16.11,15.0
0,3,40,22,96,0.188,38,4,8,21,2,3,6,0,50.0,2,Ga. Southern,309.4,181.52,148.27,81.05,828.93,504.86,0.02,0.11,305.79,256.14,47.3,34.25,78.83,45.57,329.93,228.89,40.45,39.27,20.5,16.8,103.45,98.0,7.73,12.27,420.57,273.89,16.11,17.5
1,5,61,19,160,0.263,55,8,12,54,7,4,18,0,82.0,5,Georgia St.,309.4,205.85,148.27,95.05,828.93,615.35,0.02,0.2,305.79,213.5,47.3,34.14,78.83,42.8,329.93,295.06,40.45,33.2,20.5,13.77,103.45,62.13,7.73,15.69,420.57,275.79,16.11,13.5
0,3,33,19,93,0.151,32,3,12,34,6,0,2,2,37.0,3,South Alabama,309.4,189.0,148.27,86.0,828.93,547.32,0.02,0.18,305.79,254.0,47.3,24.07,78.83,34.47,329.93,257.65,40.45,27.73,20.5,20.73,103.45,82.58,7.73,6.3,420.57,258.42,16.11,13.7
0,4,65,30,159,0.220,61,1,11,44,5,3,12,0,75.0,2,South Alabama,309.4,189.0,148.27,86.0,828.93,547.32,0.02,0.18,305.79,254.0,47.3,24.07,78.83,34.47,329.93,257.65,40.45,27.73,20.5,20.73,103.45,82.58,7.73,6.3,420.57,258.42,16.11,13.7
0,4,49,29,142,0.141,46,3,15,52,6,1,17,2,61.5,5,Ga. Southern,309.4,181.52,148.27,81.05,828.93,504.86,0.02,0.11,305.79,256.14,47.3,34.25,78.83,45.57,329.93,228.89,40.45,39.27,20.5,16.8,103.45,98.0,7.73,12.27,420.57,273.89,16.11,17.5
1,5,66,25,165,0.248,64,6,13,72,3,2,18,3,83.0,5,Georgia St.,309.4,205.85,148.27,95.05,828.93,615.35,0.02,0.2,305.79,213.5,47.3,34.14,78.83,42.8,329.93,295.06,40.45,33.2,20.5,13.77,103.45,62.13,7.73,15.69,420.57,275.79,16.11,13.5
1,3,42,14,89,0.315,38,6,10,30,1,1,8,1,53.0,0,Alabama St.,309.4,298.18,148.27,133.82,828.93,822.12,0.02,0.21,305.79,310.2,47.3,50.08,78.83,60.5,329.93,384.87,40.45,38.25,20.5,17.82,103.45,111.09,7.73,11.22,420.57,431.8,16.11,17.09
0,3,37,21,102,0.157,34,0,4,29,6,2,4,0,41.0,1,Arkansas St.,309.4,243.55,148.27,102.75,828.93,671.0,0.02,0.26,305.79,323.36,47.3,25.33,78.83,39.47,329.93,331.76,40.45,29.0,20.5,28.33,103.45,60.0,7.73,11.36,420.57,316.37,16.11,17.62
1,4,65,19,147,0.313,60,4,10,63,1,3,12,0,78.0,0,Little Rock,309.4,258.88,148.27,110.88,828.93,753.44,0.02,0.2,305.79,269.36,47.3,32.58,78.83,40.13,329.93,342.53,40.45,34.17,20.5,26.5,103.45,91.45,7.73,15.4,420.57,374.86,16.11,15.2
0,3,32,21,101,0.109,32,7,8,35,5,4,4,1,45.0,0,Coastal Carolina,309.4,214.53,148.27,85.68,828.93,578.63,0.02,0.12,305.79,223.88,47.3,27.07,78.83,44.33,329.93,274.0,40.45,30.17,20.5,22.91,103.45,65.77,7.73,12.0,420.57,320.91,16.11,7.0
0,4,61,33,172,0.163,55,3,13,73,4,2,2,0,67.0,1,Louisiana,309.4,276.65,148.27,109.65,828.93,810.18,0.02,0.15,305.79,316.5,47.3,28.33,78.83,46.15,329.93,394.12,40.45,30.18,20.5,30.1,103.45,90.36,7.73,21.0,420.57,389.4,16.11,16.0
0,4,41,33,156,0.051,37,3,5,45,5,1,12,0,51.0,2,Coastal Carolina,309.4,214.53,148.27,85.68,828.93,578.63,0.02,0.12,305.79,223.88,47.3,27.07,78.83,44.33,329.93,274.0,40.45,30.17,20.5,22.91,103.45,65.77,7.73,12.0,420.57,320.91,16.11,7.0
1,5,74,32,185,0.227,71,6,9,71,3,7,16,1,95.0,1,South Alabama,309.4,189.0,148.27,86.0,828.93,547.32,0.02,0.18,305.79,254.0,47.3,24.07,78.83,34.47,329.93,257.65,40.45,27.73,20.5,20.73,103.45,82.58,7.73,6.3,420.57,258.42,16.11,13.7
0,3,38,29,110,0.082,38,2,6,44,2,3,8,1,47.0,1,Arkansas St.,309.4,243.55,148.27,102.75,828.93,671.0,0.02,0.26,305.79,323.36,47.3,25.33,78.83,39.47,329.93,331.76,40.45,29.0,20.5,28.33,103.45,60.0,7.73,11.36,420.57,316.37,16.11,17.62
