Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
158.62,213.05,72.67,87.4,467.0,544.55,0.14,0.15,184.29,264.4,25.21,32.5,33.94,52.87,223.26,219.68,23.44,44.5,9.1,17.6,53.89,104.3,10.31,13.09,213.0,318.44,8.88,13.38,0,4,40,28,127,0.094,38,4,6,48,5,1,16,4,53.0,1
158.62,226.0,72.67,105.58,467.0,654.95,0.14,0.16,184.29,307.15,25.21,33.85,33.94,45.93,223.26,341.19,23.44,32.15,9.1,12.2,53.89,114.73,10.31,12.82,213.0,304.83,8.88,16.62,0,4,46,26,144,0.139,40,1,13,61,4,0,6,0,50.0,1
158.62,283.5,72.67,104.88,467.0,783.75,0.14,0.22,184.29,266.94,25.21,29.08,33.94,51.75,223.26,395.5,23.44,30.73,9.1,17.38,53.89,104.33,10.31,12.75,213.0,376.67,8.88,10.83,1,4,63,23,167,0.240,61,4,12,69,4,3,16,1,78.0,2
158.62,273.44,72.67,102.83,467.0,714.94,0.14,0.23,184.29,349.23,25.21,40.73,33.94,62.5,223.26,362.8,23.44,34.4,9.1,20.22,53.89,109.58,10.31,20.2,213.0,365.26,8.88,6.27,0,3,30,24,104,0.058,29,0,8,32,6,2,4,3,34.0,0
158.62,259.75,72.67,103.25,467.0,669.94,0.14,0.14,184.29,261.4,25.21,30.46,33.94,48.15,223.26,284.53,23.44,34.64,9.1,8.78,53.89,76.42,10.31,14.82,213.0,339.3,8.88,9.4,0,3,32,17,85,0.176,31,4,12,33,6,0,10,3,41.0,0
158.62,240.31,72.67,129.15,467.0,746.08,0.14,0.15,184.29,265.09,25.21,32.67,33.94,74.83,223.26,341.5,23.44,38.82,9.1,12.67,53.89,61.9,10.31,16.7,213.0,328.29,8.88,21.12,1,3,28,14,91,0.154,27,4,8,47,4,1,20,1,43.0,1
158.62,205.38,72.67,104.19,467.0,601.62,0.14,0.09,184.29,234.69,25.21,39.1,33.94,52.43,223.26,302.92,23.44,43.4,9.1,11.5,53.89,52.91,10.31,8.8,213.0,340.25,8.88,14.88,1,3,43,17,130,0.200,39,3,6,60,4,0,12,1,52.0,0
158.62,275.69,72.67,118.75,467.0,835.25,0.14,0.13,184.29,312.77,25.21,45.73,33.94,54.5,223.26,396.33,23.44,50.8,9.1,17.78,53.89,68.55,10.31,16.36,213.0,363.4,8.88,22.89,1,4,56,19,134,0.276,54,6,5,62,4,2,18,1,73.0,1
158.62,226.71,72.67,101.47,467.0,643.88,0.14,0.12,184.29,237.73,25.21,29.15,33.94,44.07,223.26,280.31,23.44,36.42,9.1,17.4,53.89,63.62,10.31,12.7,213.0,321.37,8.88,10.0,1,4,57,20,142,0.261,54,7,9,56,5,1,10,1,70.0,1
158.62,180.78,72.67,87.22,467.0,528.17,0.14,0.14,184.29,236.15,25.21,28.67,33.94,39.5,223.26,243.06,23.44,36.08,9.1,8.25,53.89,67.92,10.31,11.09,213.0,256.59,8.88,18.33,0,5,40,23,151,0.113,39,5,9,67,9,1,16,1,54.0,2
158.62,183.25,72.67,86.25,467.0,570.55,0.14,0.14,184.29,197.24,25.21,30.71,33.94,41.33,223.26,285.44,23.44,29.53,9.1,11.67,53.89,62.77,10.31,7.27,213.0,256.0,8.88,8.9,1,4,43,16,142,0.190,40,7,11,74,7,3,14,3,60.0,2
158.62,268.5,72.67,125.0,467.0,769.06,0.14,0.2,184.29,263.4,25.21,36.23,33.94,52.85,223.26,351.4,23.44,44.58,9.1,10.0,53.89,89.69,10.31,15.08,213.0,363.33,8.88,10.4,1,3,45,14,119,0.261,43,2,5,53,3,0,10,1,52.0,0
158.62,229.95,72.67,99.37,467.0,628.42,0.14,0.16,184.29,269.67,25.21,36.55,33.94,65.85,223.26,313.62,23.44,34.36,9.1,14.33,53.89,87.67,10.31,10.92,213.0,319.18,8.88,9.0,1,3,39,12,120,0.225,37,5,7,48,4,0,16,0,52.0,1
158.62,143.36,72.67,70.82,467.0,409.86,0.14,0.14,184.29,180.44,25.21,26.19,33.94,42.38,223.26,185.58,23.44,28.47,9.1,14.5,53.89,67.46,10.31,12.09,213.0,197.93,8.88,8.3,1,3,51,12,112,0.348,48,4,10,47,8,1,4,1,58.0,3
158.62,266.88,72.67,103.18,467.0,770.94,0.14,0.05,184.29,306.36,25.21,41.18,33.94,57.18,223.26,398.8,23.44,33.0,9.1,18.1,53.89,88.36,10.31,11.3,213.0,353.56,8.88,11.86,0,3,31,21,127,0.079,29,2,6,51,4,4,14,0,44.0,0
158.62,259.33,72.67,110.8,467.0,731.53,0.14,0.12,184.29,276.54,25.21,41.3,33.94,58.0,223.26,355.46,23.44,37.73,9.1,17.5,53.89,101.33,10.31,11.11,213.0,376.85,8.88,12.0,1,4,54,24,139,0.216,50,10,7,54,8,1,28/,0,79.0,0
158.62,194.79,72.67,86.11,467.0,564.79,0.14,-0.0,184.29,248.57,25.21,35.07,33.94,41.31,223.26,273.76,23.44,33.71,9.1,12.25,53.89,47.62,10.31,8.14,213.0,262.22,8.88,11.67,1,5,61,23,170,0.224,58,4,17/,73,10,1,14,1,73.0,1
158.62,174.17,72.67,93.22,467.0,515.61,0.14,0.12,184.29,197.0,25.21,29.46,33.94,37.07,223.26,223.65,23.44,31.0,9.1,10.27,53.89,59.36,10.31,13.92,213.0,238.03,8.88,15.62,1,3,35,11,96,0.250,33,2,3,41,2,2,20,1,49.0,0
158.62,143.36,72.67,70.82,467.0,409.86,0.14,0.14,184.29,180.44,25.21,26.19,33.94,42.38,223.26,185.58,23.44,28.47,9.1,14.5,53.89,67.46,10.31,12.09,213.0,197.93,8.88,8.3,1,3,40,10,100,0.300,39,2,9,47,1,3,18,1,54.0,0
158.62,266.88,72.67,103.18,467.0,770.94,0.14,0.05,184.29,306.36,25.21,41.18,33.94,57.18,223.26,398.8,23.44,33.0,9.1,18.1,53.89,88.36,10.31,11.3,213.0,353.56,8.88,11.86,0,3,38,19,122,0.156,37,1,3,52,3,0,10,0,44.0,1
158.62,259.33,72.67,110.8,467.0,731.53,0.14,0.12,184.29,276.54,25.21,41.3,33.94,58.0,223.26,355.46,23.44,37.73,9.1,17.5,53.89,101.33,10.31,11.11,213.0,376.85,8.88,12.0,0,4,41,18,131,0.176,38,5,6,66,7,1,18,1,56.0,1
