Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,52,25,148,0.182,49,3,9,52,6,6,6,3,64.0,1,UC Davis,265.25,252.06,127.5,106.29,782.19,695.35,0.09,0.28,328.75,268.13,39.55,33.62,53.67,47.79,339.33,307.69,41.73,30.93,19.22,16.9,111.17,86.92,17.4,12.15,367.93,363.73,14.7,14.3
1,3,38,12,93,0.280,34,9,6,40,2,2,10,2,54.0,0,Binghamton,265.25,259.33,127.5,110.8,782.19,731.53,0.09,0.12,328.75,276.54,39.55,41.3,53.67,58.0,339.33,355.46,41.73,37.73,19.22,17.5,111.17,101.33,17.4,11.11,367.93,376.85,14.7,12.0
1,4,48,17,126,0.246,43,9,15,55,5,4,16,1,69.0,1,Eastern Wash.,265.25,221.38,127.5,106.44,782.19,673.81,0.09,0.12,328.75,223.8,39.55,28.0,53.67,51.42,339.33,340.93,41.73,26.29,19.22,15.73,111.17,47.21,17.4,11.55,367.93,292.1,14.7,9.33
1,5,60,29,164,0.189,57,8,15,49,4,2,24,1,82.0,2,Eastern Ky.,265.25,269.76,127.5,128.65,782.19,785.65,0.09,0.17,328.75,304.21,39.55,29.0,53.67,39.44,339.33,341.19,41.73,29.15,19.22,15.09,111.17,105.27,17.4,11.1,367.93,380.53,14.7,16.89
0,4,37,30,144,0.049,36,3,8,57,1,2,16,3,50.0,6,North Dakota,265.25,269.75,127.5,104.9,782.19,787.15,0.09,0.17,328.75,337.07,39.55,37.3,53.67,49.58,339.33,407.06,41.73,25.14,19.22,25.0,111.17,133.91,17.4,12.67,367.93,420.59,14.7,12.62
0,4,40,26,158,0.089,37,4,5,69,4,0,24,4,56.0,3,New Mexico St.,265.25,191.24,127.5,82.29,782.19,539.76,0.09,0.25,328.75,291.08,39.55,27.5,53.67,31.19,339.33,250.75,41.73,29.7,19.22,13.2,111.17,95.0,17.4,13.92,367.93,315.5,14.7,12.44
0,3,35,17,109,0.165,32,3,3,42,5,2,2,1,41.0,4,UCLA,265.25,279.35,127.5,106.0,782.19,778.18,0.09,0.19,328.75,372.67,39.55,35.91,53.67,50.54,339.33,397.73,41.73,34.18,19.22,22.89,111.17,96.58,17.4,19.75,367.93,395.3,14.7,9.22
0,5,51,27,172,0.140,45,8,7,63,4,6,16,1,73.0,2,UC Irvine,265.25,221.7,127.5,87.6,782.19,587.95,0.09,0.06,328.75,317.15,39.55,50.5,53.67,50.67,339.33,274.11,41.73,42.73,19.22,15.0,111.17,69.67,17.4,16.2,367.93,369.13,14.7,16.0
1,5,69,28,183,0.224,65,5,15,79,3,2,18,1,85.0,1,Weber St.,265.25,250.35,127.5,100.71,782.19,714.53,0.09,0.22,328.75,284.86,39.55,35.3,53.67,39.31,339.33,349.53,41.73,30.23,19.22,25.0,111.17,114.18,17.4,12.8,367.93,388.36,14.7,11.75
0,3,32,14,100,0.180,29,2,5,35,6,0,8,0,38.0,2,Louisville,265.25,244.56,127.5,102.94,782.19,667.5,0.09,0.2,328.75,374.64,39.55,25.47,53.67,47.75,339.33,338.53,41.73,33.8,19.22,15.11,111.17,119.3,17.4,16.0,367.93,344.78,14.7,18.75
