Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,38,16,93,0.237,33,4,10,29,13/,2,10,0,49.0,2,Montana,231.75,224.06,109.19,105.17,658.0,643.06,0.11,0.22,243.79,270.86,32.69,29.31,38.64,37.14,269.87,319.53,36.31,37.64,14.33,14.5,80.0,78.62,14.0,14.5,338.71,316.88,10.5,8.0
0,3,23,28,94,-0.053,21,1,4,22,5,2,12,2,32.0,1,Tulsa,231.75,312.93,109.19,137.8,658.0,961.6,0.11,0.16,243.79,340.31,32.69,28.69,38.64,49.54,269.87,517.23,36.31,31.92,14.33,16.44,80.0,115.0,14.0,18.1,338.71,445.38,10.5,18.5
0,5,61,22,167,0.234,56,5,11,53,4,0,26,0,79.0,0,Texas Tech,231.75,248.3,109.19,100.35,658.0,688.85,0.11,0.09,243.79,311.53,32.69,26.62,38.64,43.67,269.87,344.12,36.31,27.67,14.33,17.5,80.0,118.36,14.0,17.0,338.71,381.44,10.5,11.75
0,3,37,22,121,0.124,33,6,7,42,3,1,6,0,47.0,0,New Mexico,231.75,257.18,109.19,110.41,658.0,710.76,0.11,0.07,243.79,290.5,32.69,26.31,38.64,49.0,269.87,307.5,36.31,33.25,14.33,18.5,80.0,101.67,14.0,14.64,338.71,342.0,10.5,15.14
0,3,35,24,94,0.117,33,2,5,32,3,2,6,0,42.0,0,North Dakota,231.75,269.75,109.19,104.9,658.0,787.15,0.11,0.17,243.79,337.07,32.69,37.3,38.64,49.58,269.87,407.06,36.31,25.14,14.33,25.0,80.0,133.91,14.0,12.67,338.71,420.59,10.5,12.62
1,5,56,31,170,0.147,55,6,8,72,7,1,10,1,68.0,0,Youngstown St.,231.75,216.33,109.19,95.06,658.0,645.61,0.11,0.08,243.79,260.93,32.69,36.25,38.64,38.62,269.87,331.0,36.31,33.0,14.33,11.5,80.0,77.31,14.0,13.92,338.71,353.32,10.5,21.33
1,4,60,23,148,0.250,52,4,10,52,4,2,4,5,68.0,0,Samford,231.75,269.53,109.19,118.47,658.0,768.94,0.11,0.2,243.79,334.69,32.69,40.33,38.64,57.5,269.87,403.86,36.31,37.77,14.33,12.56,80.0,88.25,14.0,16.45,338.71,407.75,10.5,20.12
1,3,39,8,83,0.373,32,8,7,37,4,3,6,0,53.0,0,Delaware St.,231.75,198.4,109.19,107.53,658.0,593.93,0.11,0.06,243.79,229.75,32.69,40.8,38.64,50.73,269.87,261.86,36.31,39.58,14.33,10.86,80.0,60.64,14.0,17.78,338.71,270.96,10.5,16.86
0,5,69,29,169,0.237,61,13,4,73,8,1,14,4,90.0,0,Abilene Christian,231.75,241.67,109.19,112.28,658.0,711.89,0.11,0.09,243.79,288.21,32.69,37.17,38.64,47.85,269.87,339.5,36.31,39.92,14.33,12.0,80.0,116.17,14.0,13.09,338.71,374.2,10.5,8.62
0,3,27,16,114,0.096,24,2,6,58,6,1,8,2,34.0,2,Portland,231.75,256.18,109.19,100.82,658.0,726.53,0.11,0.05,243.79,291.5,32.69,43.82,38.64,68.73,269.87,354.53,36.31,33.54,14.33,13.44,80.0,87.92,14.0,11.64,338.71,365.7,10.5,13.8
