Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
265.06,265.44,116.06,95.61,732.17,697.22,0.22,0.27,293.33,297.93,31.58,33.5,58.17,41.87,337.81,330.81,45.56,41.9,15.5,14.62,133.42,80.07,17.62,11.79,381.59,355.15,10.44,9.82,1,4,46,18,122,0.230,42,4,14,46,9,1,25,1,63.5,3
265.06,229.95,116.06,99.37,732.17,628.42,0.22,0.16,293.33,269.67,31.58,36.55,58.17,65.85,337.81,313.62,45.56,34.36,15.5,14.33,133.42,87.67,17.62,10.92,381.59,319.18,10.44,9.0,1,4,58,19,155,0.252,53,1,10,75,3,1,20,3,70.0,0
265.06,224.75,116.06,88.6,732.17,594.55,0.22,0.23,293.33,324.85,31.58,32.18,58.17,47.29,337.81,359.14,45.56,32.4,15.5,14.0,133.42,96.15,17.62,12.91,381.59,400.0,10.44,15.14,0,5,50,27,170,0.135,46,6,9,69,4,5,18,4,70.0,0
265.06,255.29,116.06,120.0,732.17,718.88,0.22,0.04,293.33,271.6,31.58,45.25,58.17,49.71,337.81,302.31,45.56,30.18,15.5,10.0,133.42,91.58,17.62,16.09,381.59,368.83,10.44,11.33,1,3,38,12,76,0.342,34,6,8,31,4,0,27,1,57.5,1
265.06,293.62,116.06,118.06,732.17,788.88,0.22,0.24,293.33,313.71,31.58,28.77,58.17,34.82,337.81,364.8,45.56,39.44,15.5,15.42,133.42,97.38,17.62,17.0,381.59,392.67,10.44,10.9,1,3,39,11,85,0.329,33,3,4,34,1,1,20,5,53.0,1
265.06,264.31,116.06,126.0,732.17,750.06,0.22,0.18,293.33,269.0,31.58,32.62,58.17,45.62,337.81,352.6,45.56,30.92,15.5,11.9,133.42,83.31,17.62,13.92,381.59,354.23,10.44,15.4,1,3,44,15,90,0.322,41,4,6,36,2,1,17,2,57.5,0
265.06,194.79,116.06,86.11,732.17,564.79,0.22,-0.0,293.33,248.57,31.58,35.07,58.17,41.31,337.81,273.76,45.56,33.71,15.5,12.25,133.42,47.62,17.62,8.14,381.59,262.22,10.44,11.67,1,3,37,16,94,0.223,32,7,4,40,2,0,22,0,55.0,0
265.06,264.31,116.06,126.0,732.17,750.06,0.22,0.18,293.33,269.0,31.58,32.62,58.17,45.62,337.81,352.6,45.56,30.92,15.5,11.9,133.42,83.31,17.62,13.92,381.59,354.23,10.44,15.4,1,3,48,18,100,0.300,47,3,6,48,2,1,26,0,65.0,0
265.06,278.42,116.06,99.95,732.17,797.16,0.22,0.18,293.33,335.2,31.58,33.0,58.17,41.42,337.81,398.78,45.56,32.1,15.5,12.38,133.42,90.08,17.62,11.09,381.59,355.53,10.44,13.86,1,5,56,21,179,0.196,53,6,2,78,3,3,30,2,80.0,0
265.06,267.27,116.06,122.13,732.17,788.47,0.22,0.05,293.33,265.43,31.58,31.15,58.17,47.85,337.81,368.21,45.56,37.5,15.5,17.62,133.42,78.7,17.62,20.22,381.59,353.46,10.44,15.71,1,3,43,15,86,0.326,39,5,8,42,2,2,10,1,55.0,1
