Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
297.31,217.05,100.06,86.79,708.44,625.47,0.31,0.15,400.91,296.08,41.18,32.42,69.55,39.12,299.4,318.82,41.1,32.64,20.11,12.45,96.92,70.46,13.82,10.92,398.17,340.53,13.0,10.0,1,3,44,12,78,0.410,40,5,16,31,0,2,10,1,56.0,1
297.31,238.94,100.06,85.65,708.44,692.76,0.31,0.21,400.91,290.77,41.18,39.09,69.55,52.25,299.4,331.19,41.1,38.6,20.11,14.5,96.92,85.83,13.82,18.1,398.17,341.53,13.0,8.33,1,3,50,15,116,0.302,44,4,6,58,4,1,4,0,57.0,0
297.31,267.27,100.06,122.13,708.44,788.47,0.31,0.05,400.91,265.43,41.18,31.15,69.55,47.85,299.4,368.21,41.1,37.5,20.11,17.62,96.92,78.7,13.82,20.22,398.17,353.46,13.0,15.71,1,3,47,8,87,0.448,41,6,13,33,1,2,8,0,59.0,0
297.31,244.56,100.06,102.94,708.44,667.5,0.31,0.2,400.91,374.64,41.18,25.47,69.55,47.75,299.4,338.53,41.1,33.8,20.11,15.11,96.92,119.3,13.82,16.0,398.17,344.78,13.0,18.75,0,4,47,28,126,0.151,44,4,13,47,8,1,6,3,55.0,0
297.31,283.72,100.06,102.22,708.44,715.94,0.31,0.29,400.91,366.85,41.18,29.14,69.55,47.0,299.4,298.53,41.1,26.4,20.11,15.0,96.92,144.36,13.82,17.64,398.17,403.69,13.0,7.12,0,3,37,11,77,0.338,34,1,9,13,7,0,0,3,38.0,1
297.31,185.21,100.06,87.0,708.44,587.05,0.31,0.14,400.91,237.0,41.18,22.92,69.55,37.29,299.4,290.94,41.1,23.38,20.11,15.0,96.92,54.43,13.82,11.25,398.17,241.11,13.0,15.22,1,3,45,8,86,0.430,42,5,6,30,4,5,8,0,59.0,0
297.31,231.88,100.06,110.94,708.44,668.76,0.31,0.19,400.91,280.46,41.18,35.77,69.55,64.43,299.4,310.67,41.1,30.64,20.11,10.44,96.92,81.92,13.82,8.45,398.17,314.59,13.0,16.3,1,3,37,6,84,0.369,35,4,10,37,3,3,12,1,50.0,3
297.31,277.41,100.06,110.24,708.44,680.82,0.31,0.06,400.91,339.46,41.18,39.82,69.55,52.54,299.4,291.27,41.1,46.88,20.11,13.7,96.92,119.25,13.82,22.0,398.17,400.43,13.0,10.33,1,5,55,21,139,0.245,52,5,14,46,4,5,36,2,83.0,0
297.31,289.33,100.06,119.73,708.44,824.0,0.31,0.24,400.91,314.0,41.18,28.85,69.55,56.67,299.4,378.29,41.1,34.5,20.11,15.56,96.92,113.18,13.82,19.73,398.17,391.25,13.0,15.0,1,4,56,18,122,0.311,49,8,5,40,1,1,18,6,74.0,1
297.31,218.33,100.06,98.0,708.44,571.39,0.31,0.21,400.91,245.4,41.18,41.5,69.55,53.73,299.4,235.88,41.1,40.5,20.11,9.12,96.92,82.17,13.82,17.82,398.17,332.93,13.0,11.57,1,3,45,15,92,0.326,43,1,8,50,3,1,15,1,54.5,0
297.31,232.0,100.06,102.67,708.44,610.33,0.31,0.16,400.91,305.08,41.18,28.67,69.55,44.93,299.4,255.35,41.1,29.3,20.11,14.88,96.92,98.0,13.82,18.82,398.17,348.47,13.0,10.5,1,3,36,10,88,0.295,35,1,3,39,7,2,24,2,51.0,0
