Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
248.44,198.4,108.72,107.53,712.83,593.93,0.18,0.06,242.0,229.75,41.77,40.8,45.86,50.73,338.0,261.86,38.79,39.58,15.2,10.86,77.42,60.64,14.2,17.78,331.26,270.96,14.14,16.86,1,3,41,8,85,0.388,38,9,12,37,5,0,8,0,54.0,0
248.44,216.33,108.72,95.06,712.83,645.61,0.18,0.08,242.0,260.93,41.77,36.25,45.86,38.62,338.0,331.0,38.79,33.0,15.2,11.5,77.42,77.31,14.2,13.92,331.26,353.32,14.14,21.33,0,3,39,20,102,0.186,38,3,5,39,10,0,10,3,47.0,0
248.44,242.88,108.72,108.88,712.83,655.69,0.18,0.09,242.0,261.79,41.77,35.0,45.86,42.64,338.0,278.0,38.79,34.92,15.2,11.67,77.42,89.5,14.2,8.82,331.26,332.2,14.14,12.82,0,5,54,20,153,0.222,52,12,10,62,7,0,20,1,76.0,0
248.44,247.47,108.72,109.53,712.83,674.0,0.18,0.18,242.0,314.86,41.77,40.17,45.86,64.75,338.0,338.75,38.79,43.91,15.2,17.75,77.42,63.88,14.2,16.21,331.26,324.28,14.14,18.5,0,3,37,16,124,0.169,33,2,5,50,6,0,8,0,43.0,0
248.44,239.0,108.72,110.17,712.83,720.89,0.18,0.16,242.0,285.43,41.77,40.92,45.86,68.36,338.0,388.53,38.79,47.3,15.2,16.33,77.42,69.8,14.2,13.11,331.26,305.81,14.14,20.22,1,5,59,27,154,0.208,48,7,4,64,15/,1,14,1,74.0,0
248.44,223.83,108.72,123.22,712.83,679.0,0.18,0.09,242.0,218.35,41.77,33.86,45.86,39.73,338.0,292.06,38.79,33.75,15.2,10.38,77.42,71.29,14.2,11.27,331.26,321.06,14.14,14.6,1,3,33,17,89,0.180,31,7,7,40,1,0,10,0,45.0,0
248.44,309.4,108.72,148.27,712.83,828.93,0.18,0.02,242.0,305.79,41.77,47.3,45.86,78.83,338.0,329.93,38.79,40.45,15.2,20.5,77.42,103.45,14.2,7.73,331.26,420.57,14.14,16.11,0,4,34,18,106,0.151,33,8,8,35,9,0,12,3,48.0,1
248.44,241.32,108.72,112.11,712.83,707.74,0.18,0.18,242.0,240.06,41.77,33.75,45.86,57.07,338.0,316.33,38.79,37.4,15.2,12.3,77.42,84.43,14.2,10.85,331.26,324.39,14.14,8.25,1,4,49,20,138,0.210,42,8,7,58,9,0,10,3,62.0,3
248.44,196.22,108.72,103.5,712.83,536.89,0.18,0.02,242.0,234.57,41.77,29.67,45.86,41.62,338.0,225.0,38.79,35.5,15.2,10.67,77.42,64.0,14.2,10.7,331.26,269.71,14.14,16.82,0,5,51,31,142,0.141,50,5,10,51,6,0,20,2,66.0,2
248.44,266.56,108.72,105.33,712.83,738.28,0.18,0.19,242.0,319.5,41.77,30.33,45.86,33.6,338.0,366.94,38.79,40.89,15.2,15.5,77.42,116.0,14.2,16.7,331.26,368.56,14.14,15.55,1,5,68,23,167,0.269,66,5,11,64,10,1,4,4,76.0,1
248.44,275.47,108.72,121.63,712.83,784.0,0.18,0.15,242.0,328.27,41.77,36.33,45.86,52.0,338.0,352.94,38.79,32.33,15.2,18.0,77.42,113.62,14.2,18.92,331.26,366.03,14.14,12.38,1,5,64,26,171,0.222,64,6,10,75,4,2,24,7,84.0,0
248.44,241.32,108.72,112.11,712.83,707.74,0.18,0.18,242.0,240.06,41.77,33.75,45.86,57.07,338.0,316.33,38.79,37.4,15.2,12.3,77.42,84.43,14.2,10.85,331.26,324.39,14.14,8.25,1,3,43,10,107,0.308,38,4,5,34,4,1,16,1,56.0,0
