Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,48,26,159,0.138,43,9,12,52,9,0,8,0,61.0,3,George Washington,247.47,268.5,109.53,125.0,674.0,769.06,0.18,0.2,314.86,263.4,40.17,36.23,64.75,52.85,338.75,351.4,43.91,44.58,17.75,10.0,63.88,89.69,16.21,15.08,324.28,363.33,18.5,10.4
0,3,33,24,99,0.091,30,2,10,35,9,0,8,0,39.0,1,Tennessee,247.47,198.7,109.53,79.75,674.0,569.75,0.18,0.21,314.86,247.67,40.17,22.38,64.75,33.2,338.75,290.29,43.91,25.25,17.75,11.82,63.88,96.92,16.21,8.08,324.28,279.17,18.5,11.27
1,5,60,19,144,0.285,57,11,11,58,4,4,8,1,79.0,1,Western Mich.,247.47,299.31,109.53,129.19,674.0,842.19,0.18,0.24,314.86,338.31,40.17,37.45,64.75,76.91,338.75,390.73,43.91,33.67,17.75,25.3,63.88,91.0,16.21,8.11,324.28,422.07,18.5,13.71
1,3,46,18,122,0.230,45,6,4,61,2,1,2,0,54.0,2,Winthrop,247.47,248.44,109.53,108.72,674.0,712.83,0.18,0.18,314.86,242.0,40.17,41.77,64.75,45.86,338.75,338.0,43.91,38.79,17.75,15.2,63.88,77.42,16.21,14.2,324.28,331.26,18.5,14.14
1,3,52,17,122,0.287,50,5,8,59,3,1,12,1,64.0,1,USC Upstate,247.47,255.56,109.53,110.31,674.0,784.94,0.18,0.13,314.86,290.85,40.17,29.83,64.75,39.08,338.75,369.67,43.91,34.92,17.75,13.0,63.88,65.62,16.21,13.45,324.28,358.32,18.5,7.88
1,3,42,14,90,0.311,39,2,9,35,2,0,10,1,49.0,2,N.C. Central,247.47,151.39,109.53,77.44,674.0,469.89,0.18,0.02,314.86,193.15,40.17,23.31,64.75,36.0,338.75,227.75,43.91,30.0,17.75,12.89,63.88,54.08,16.21,9.0,324.28,216.78,18.5,17.88
1,3,34,17,88,0.193,32,5,5,43,2,1,4,0,42.0,0,Gardner-Webb,247.47,178.81,109.53,94.76,674.0,545.76,0.18,0.0,314.86,218.62,40.17,27.53,64.75,37.13,338.75,267.56,43.91,29.69,17.75,13.75,63.88,72.43,16.21,9.58,324.28,268.89,18.5,20.3
0,3,38,21,126,0.135,36,2,4,63,7,0,2,3,41.0,0,FGCU,247.47,271.5,109.53,102.56,674.0,732.94,0.18,0.13,314.86,291.0,40.17,33.82,64.75,58.45,338.75,359.64,43.91,32.18,17.75,16.27,63.88,84.92,16.21,9.0,324.28,360.3,18.5,11.33
0,4,49,26,133,0.173,45,6,7,49,10,0,4,0,57.0,0,Davidson,247.47,217.17,109.53,91.61,674.0,625.06,0.18,0.11,314.86,215.65,40.17,39.83,64.75,42.0,338.75,284.82,43.91,38.46,17.75,15.42,63.88,76.58,16.21,14.88,324.28,295.97,18.5,18.86
1,5,56,24,133,0.241,53,3,8,50,17/,1,14,3,67.0,5,Georgia,247.47,252.89,109.53,102.89,674.0,653.72,0.18,0.1,314.86,305.43,40.17,36.85,64.75,63.42,338.75,295.0,43.91,41.0,17.75,12.3,63.88,93.67,16.21,11.8,324.28,357.25,18.5,9.56
1,3,39,24,105,0.143,36,8,4,47,6,1,10,4,53.0,1,Georgia St.,247.47,205.85,109.53,95.05,674.0,615.35,0.18,0.2,314.86,213.5,40.17,34.14,64.75,42.8,338.75,295.06,43.91,33.2,17.75,13.77,63.88,62.13,16.21,15.69,324.28,275.79,18.5,13.5
1,4,61,25,157,0.229,55,6,12,66,2,2,8,4,73.0,1,Davidson,247.47,217.17,109.53,91.61,674.0,625.06,0.18,0.11,314.86,215.65,40.17,39.83,64.75,42.0,338.75,284.82,43.91,38.46,17.75,15.42,63.88,76.58,16.21,14.88,324.28,295.97,18.5,18.86
1,3,43,13,84,0.357,40,6,6,41,1,0,6,1,52.0,0,South Carolina St.,247.47,193.29,109.53,108.21,674.0,571.79,0.18,0.05,314.86,227.82,40.17,40.6,64.75,46.75,338.75,243.77,43.91,35.69,17.75,11.44,63.88,59.73,16.21,15.0,324.28,272.58,18.5,12.33
0,4,48,30,122,0.148,48,3,6,39,5,5,6,1,59.0,1,Furman,247.47,257.94,109.53,107.76,674.0,721.59,0.18,0.15,314.86,274.87,40.17,38.73,64.75,40.17,338.75,362.47,43.91,40.09,17.75,17.67,63.88,61.43,16.21,15.91,324.28,337.5,18.5,13.78
1,3,32,15,80,0.212,30,12,9,34,4,0,16,0,52.0,0,Mercer,247.47,229.68,109.53,90.89,674.0,646.74,0.18,0.15,314.86,291.64,40.17,34.14,64.75,49.25,338.75,287.28,43.91,45.45,17.75,16.62,63.88,77.25,16.21,10.5,324.28,319.91,18.5,17.5
