Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
240.22,219.44,104.61,90.06,709.17,613.33,0.11,0.18,271.87,243.87,33.0,29.43,39.86,50.36,356.44,265.47,35.73,34.67,9.33,12.33,111.64,71.44,16.6,15.73,338.62,317.59,9.44,8.56,0,3,32,18,110,0.127,30,2,4,51,9,0,8,0,38.0,0
240.22,237.68,104.61,94.42,709.17,625.11,0.11,0.26,271.87,262.06,33.0,24.85,39.86,46.93,356.44,289.35,35.73,23.0,9.33,15.78,111.64,109.55,16.6,11.22,338.62,328.44,9.44,7.4,0,3,28,16,98,0.122,28,3,6,49,3,1,12,4,38.0,1
240.22,266.11,104.61,92.06,709.17,638.44,0.11,0.36,271.87,345.85,33.0,40.82,39.86,70.42,356.44,314.07,35.73,36.7,9.33,13.89,111.64,148.73,16.6,27.33,338.62,386.38,9.44,13.5,0,3,34,25,103,0.087,33,3,6,37,7,1,6,7,41.0,0
240.22,241.84,104.61,104.79,709.17,687.05,0.11,0.08,271.87,268.62,33.0,43.2,39.86,47.67,356.44,350.65,35.73,37.09,9.33,18.6,111.64,75.43,16.6,11.67,338.62,337.71,9.44,17.11,0,4,45,29,165,0.097,42,1,8,70,7,1,14,2,54.0,1
240.22,312.93,104.61,137.8,709.17,961.6,0.11,0.16,271.87,340.31,33.0,28.69,39.86,49.54,356.44,517.23,35.73,31.92,9.33,16.44,111.64,115.0,16.6,18.1,338.62,445.38,9.44,18.5,0,4,55,26,163,0.178,54,3,4,81,8,2,16,0,68.0,2
240.22,305.33,104.61,133.67,709.17,887.93,0.11,0.2,271.87,333.85,33.0,32.0,39.86,73.3,356.44,420.14,35.73,27.62,9.33,18.22,111.64,88.5,16.6,15.3,338.62,401.93,9.44,12.8,1,5,61,26,166,0.211,59,4,4,81,2,1,22,2,77.0,0
240.22,196.83,104.61,90.17,709.17,600.67,0.11,0.14,271.87,215.4,33.0,25.54,39.86,38.43,356.44,278.76,35.73,24.93,9.33,11.42,111.64,55.67,16.6,12.6,338.62,255.65,9.44,19.17,1,4,68,23,171,0.263,60,8,2,68,2,1,14,1,84.0,2
240.22,183.95,104.61,67.95,709.17,481.89,0.11,0.17,271.87,250.0,33.0,32.91,39.86,36.23,356.44,236.69,35.73,30.54,9.33,12.44,111.64,64.83,16.6,9.64,338.62,272.38,9.44,13.0,0,3,45,17,123,0.228,43,4,7,44,3,0,6,2,52.0,0
240.22,249.05,104.61,108.84,709.17,657.0,0.11,0.25,271.87,280.12,33.0,32.86,39.86,50.33,356.44,273.5,35.73,33.31,9.33,10.09,111.64,118.33,16.6,12.75,338.62,334.06,9.44,23.83,0,4,42,26,155,0.103,42,3,1,64,3,1,16,2,54.0,1
240.22,276.65,104.61,109.65,709.17,810.18,0.11,0.15,271.87,316.5,33.0,28.33,39.86,46.15,356.44,394.12,35.73,30.18,9.33,30.1,111.64,90.36,16.6,21.0,338.62,389.4,9.44,16.0,1,3,44,15,113,0.257,37,2,7,45,3,2,12,1,54.0,0
240.22,238.33,104.61,101.11,709.17,671.0,0.11,0.16,271.87,248.56,33.0,38.75,39.86,35.5,356.44,341.93,35.73,37.77,9.33,16.2,111.64,81.5,16.6,10.67,338.62,342.97,9.44,17.27,1,3,54,11,101,0.426,50,3,3,47,3,0,6,0,60.0,0
240.22,319.57,104.61,152.21,709.17,921.71,0.11,0.11,271.87,384.36,33.0,33.09,39.86,52.45,356.44,412.92,35.73,39.56,9.33,15.0,111.64,116.67,16.6,16.75,338.62,420.62,9.44,9.0,1,3,45,11,130,0.262,42,2,6,67,5,2,10,2,54.0,2
240.22,294.81,104.61,117.5,709.17,885.75,0.11,0.15,271.87,368.5,33.0,41.1,39.86,49.83,356.44,499.0,35.73,40.8,9.33,14.9,111.64,118.36,16.6,14.3,338.62,456.0,9.44,9.5,0,5,56,25,164,0.189,52,8,3,84,9,1,14,4,72.0,0
240.22,240.76,104.61,105.0,709.17,724.0,0.11,0.17,271.87,298.31,33.0,34.7,39.86,39.17,356.44,397.5,35.73,37.11,9.33,8.44,111.64,114.7,16.6,11.5,338.62,391.5,9.44,5.8,0,5,61,33,185,0.151,58,3,6,84,2,0,20,0,74.0,0
240.22,225.26,104.61,91.58,709.17,617.58,0.11,0.24,271.87,269.27,33.0,35.55,39.86,42.36,356.44,341.13,35.73,34.42,9.33,15.78,111.64,108.92,16.6,11.45,338.62,321.56,9.44,9.86,0,3,33,15,110,0.164,33,5,3,48,7,0,10,2,43.0,0
240.22,237.0,104.61,89.25,709.17,635.9,0.11,0.24,271.87,279.75,33.0,30.08,39.86,42.53,356.44,288.32,35.73,34.4,9.33,13.2,111.64,110.0,16.6,17.1,338.62,324.33,9.44,11.2,1,4,59,21,171,0.222,54,2,7,88,7,0,18,2,70.0,2
240.22,285.18,104.61,115.94,709.17,776.06,0.11,0.1,271.87,352.38,33.0,24.46,39.86,43.64,356.44,373.93,35.73,33.9,9.33,13.89,111.64,103.83,16.6,13.64,338.62,394.27,9.44,7.67,1,5,56,27,174,0.167,53,10,8,82,3,1,25,2,79.5,1
240.22,295.19,104.61,127.5,709.17,827.81,0.11,0.08,271.87,319.36,33.0,40.82,39.86,58.64,356.44,401.07,35.73,34.33,9.33,8.0,111.64,131.7,16.6,13.4,338.62,393.5,9.44,9.78,0,4,49,16,145,0.228,45,7,6,52,3,1,16,7,65.0,2
240.22,216.33,104.61,95.06,709.17,645.61,0.11,0.08,271.87,260.93,33.0,36.25,39.86,38.62,356.44,331.0,35.73,33.0,9.33,11.5,111.64,77.31,16.6,13.92,338.62,353.32,9.44,21.33,1,4,60,23,167,0.222,59,6,10,87,2,0,20,1,76.0,2
240.22,283.38,104.61,117.06,709.17,752.19,0.11,0.15,271.87,330.23,33.0,42.0,39.86,50.4,356.44,322.93,35.73,38.4,9.33,15.0,111.64,99.5,16.6,12.64,338.62,378.27,9.44,9.29,0,5,60,24,173,0.208,58,5,13,53,2,1,30,2,81.0,0
240.22,240.76,104.61,105.0,709.17,724.0,0.11,0.17,271.87,298.31,33.0,34.7,39.86,39.17,356.44,397.5,35.73,37.11,9.33,8.44,111.64,114.7,16.6,11.5,338.62,391.5,9.44,5.8,0,4,48,28,145,0.138,47,5,10,66,7,0,20,4,63.0,3
240.22,294.81,104.61,117.5,709.17,885.75,0.11,0.15,271.87,368.5,33.0,41.1,39.86,49.83,356.44,499.0,35.73,40.8,9.33,14.9,111.64,118.36,16.6,14.3,338.62,456.0,9.44,9.5,0,5,59,31,204,0.137,58,3,7,94,5,1,12,4,69.0,0
240.22,237.0,104.61,89.25,709.17,635.9,0.11,0.24,271.87,279.75,33.0,30.08,39.86,42.53,356.44,288.32,35.73,34.4,9.33,13.2,111.64,110.0,16.6,17.1,338.62,324.33,9.44,11.2,0,4,55,25,160,0.188,52,6,5,70,3,0,9,2,65.5,1
