BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,222.1,204.65,96.75,87.9,651.45,574.6,0.11,0.1,293.0,238.19,38.27,48.73,47.08,50.56,347.25,269.72,34.77,36.54,9.9,13.2,114.83,60.38,9.6,8.57,353.19,291.33,11.0,26.43,1,0,4,54,16,131,0.290,49,8,6,59,5,2,16,2,72.0
1,222.1,215.15,96.75,95.6,651.45,646.25,0.11,0.16,293.0,283.5,38.27,37.85,47.08,34.31,347.25,321.67,34.77,35.0,9.9,15.3,114.83,72.0,9.6,9.73,353.19,298.89,11.0,10.88,1,0,5,50,21,138,0.210,46,9,5,62,7,1,16,2,68.0
0,222.1,259.16,96.75,100.79,651.45,683.58,0.11,0.1,293.0,329.43,38.27,34.29,47.08,42.53,347.25,315.65,34.77,47.09,9.9,11.75,114.83,86.71,9.6,12.43,353.19,341.78,11.0,11.0,0,0,3,35,21,110,0.127,31,1,8,47,6,1,8,0,41.0
0,222.1,284.59,96.75,114.06,651.45,774.76,0.11,0.18,293.0,460.3,38.27,46.0,47.08,40.57,347.25,348.56,34.77,40.0,9.9,19.11,114.83,113.83,9.6,16.4,353.19,413.27,11.0,14.17,0,0,5,54,25,144,0.201,51,8,6,50,7,1,20,1,73.0
0,222.1,184.83,96.75,76.26,651.45,502.13,0.11,0.17,293.0,248.94,38.27,23.31,47.08,38.29,347.25,239.8,34.77,31.42,9.9,11.2,114.83,93.79,9.6,12.2,353.19,245.11,11.0,16.0,0,0,3,28,23,98,0.051,27,1,4,34,4,1,14,2,37.0
0,222.1,198.1,96.75,79.95,651.45,548.48,0.11,0.18,293.0,245.75,38.27,35.17,47.08,51.62,347.25,246.95,34.77,28.69,9.9,14.2,114.83,80.25,9.6,15.73,353.19,289.19,11.0,11.0,0,0,4,48,18,132,0.227,45,5,4,48,11,1,16,1,62.0
0,222.1,209.81,96.75,84.43,651.45,602.1,0.11,0.25,293.0,269.87,38.27,34.67,47.08,53.36,347.25,323.71,34.77,27.31,9.9,10.2,114.83,139.8,9.6,14.2,353.19,312.39,11.0,10.11,0,0,4,47,23,167,0.144,42,7,4,64,7,0,14,1,61.0
0,222.1,249.8,96.75,93.75,651.45,643.85,0.11,0.23,293.0,315.73,38.27,33.69,47.08,50.67,347.25,285.05,34.77,27.2,9.9,15.27,114.83,105.17,9.6,14.73,353.19,346.28,11.0,7.88,0,0,4,46,23,167,0.138,43,4,5,65,9,1,24,0,63.0
0,222.1,254.88,96.75,102.71,651.45,777.65,0.11,0.16,293.0,285.64,38.27,34.64,47.08,61.69,347.25,434.36,34.77,29.77,9.9,18.5,114.83,86.18,9.6,17.3,353.19,383.79,11.0,9.44,0,0,5,57,17,182,0.220,50,5,11,87,7,0,12,0,68.0
1,222.1,288.8,96.75,124.73,651.45,876.33,0.11,0.13,293.0,338.83,38.27,26.33,47.08,39.85,347.25,466.54,34.77,28.77,9.9,10.4,114.83,125.5,9.6,15.3,353.19,384.25,11.0,14.5,1,0,5,61,23,187,0.203,57,3,11,84,2,0,36,1,82.0
0,222.1,273.75,96.75,110.75,651.45,759.94,0.11,0.16,293.0,285.79,38.27,29.85,47.08,52.62,347.25,345.47,34.77,30.38,9.9,16.09,114.83,84.83,9.6,15.36,353.19,389.57,11.0,12.25,0,0,4,42,21,147,0.143,39,3,11,63,13,1,12,1,52.0
