Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,5,71/,45/,215/,0.121,68/,8,15/,91,4,2,6,4,84.0/,2,N.C. Central,225.33,153.2,115.1,81.85,626.71,472.15,0.06,0.07,230.11,191.67,42.56,24.29,41.83,29.57,289.78,229.5,43.41,30.17,24.4,12.82,78.54,62.79,12.9,10.91,324.61,234.38,11.54,8.64
0,0,4,35,28,135,0.052,28,10,5,61,14/,1,8,1,50.0,2,N.C. A&T,225.33,185.65,115.1,101.06,626.71,526.24,0.06,0.09,230.11,203.21,42.56,44.5,41.83,51.14,289.78,221.44,43.41,29.79,24.4,12.64,78.54,61.0,12.9,9.78,324.61,313.5,11.54,12.86
1,0,4,44,19,116,0.216,40,6,6,60,7,0,14,2,57.0,0,Gardner-Webb,225.33,183.6,115.1,100.55,626.71,560.6,0.06,0.11,230.11,188.61,42.56,29.8,41.83,38.82,289.78,242.26,43.41,38.38,24.4,15.08,78.54,91.42,12.9,10.25,324.61,285.21,11.54,10.0
1,0,3,41,13,83,0.337,36,2,7,39,1,5,12,0,54.0,0,South Carolina St.,225.33,148.5,115.1,87.44,626.71,441.25,0.06,0.05,230.11,163.0,42.56,30.14,41.83,39.79,289.78,194.14,43.41,35.86,24.4,13.8,78.54,36.15,12.9,8.92,324.61,211.4,11.54,9.36
0,0,3,22,22,80,0,21,4,6,21,7,0,2,2,27.0,2,Georgia Tech,225.33,259.16,115.1,100.79,626.71,683.58,0.06,0.1,230.11,329.43,42.56,34.29,41.83,42.53,289.78,315.65,43.41,47.09,24.4,11.75,78.54,86.71,12.9,12.43,324.61,341.78,11.54,11.0
0,0,3,37,18,111,0.171,35,5,14,54,8,2,4,1,46.0,2,Wofford,225.33,214.0,115.1,99.89,626.71,625.37,0.06,0.06,230.11,250.73,42.56,42.36,41.83,62.92,289.78,342.07,43.41,43.91,24.4,12.7,78.54,68.13,12.9,16.0,324.61,323.12,11.54,11.0
0,0,3,30,20,97,0.103,28,4,4,37,12,0,8,1,38.0,2,Tulane,225.33,278.1,115.1,118.1,626.71,774.9,0.06,0.19,230.11,295.44,42.56,39.29,41.83,45.38,289.78,355.11,43.41,37.77,24.4,11.09,78.54,141.67,12.9,16.31,324.61,393.56,11.54,12.1
0,0,3,32,23,95,0.095,29,2,6,28,6,0,12,1,40.0,0,UAB,225.33,213.11,115.1,92.67,626.71,579.78,0.06,0.18,230.11,257.07,42.56,33.0,41.83,41.47,289.78,280.27,43.41,31.07,24.4,18.56,78.54,82.09,12.9,20.5,324.61,325.57,11.54,10.43
0,0,4,31,27,91,0.044,28,1,1,16,12,2,8,0,38.0,0,Pacific,225.33,311.57,115.1,135.71,626.71,822.71,0.06,0.11,230.11,345.33,42.56,44.6,41.83,66.1,289.78,419.27,43.41,38.0,24.4,13.44,78.54,102.3,12.9,13.4,324.61,453.38,11.54,13.14
0,0,3,21,21,84,0,20,2,2,29,6,1,6,1,27.0,0,San Jose St.,225.33,230.18,115.1,101.76,626.71,632.35,0.06,0.23,230.11,226.06,42.56,36.77,41.83,43.67,289.78,276.69,43.41,44.0,24.4,9.9,78.54,81.54,12.9,8.38,324.61,313.75,11.54,17.43
