Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,16,17,72,-0.014,13,2,4,19,8,1,4,3,21.0,1,Arkansas St.,213.47,251.84,105.27,111.42,663.6,695.05,0.01,0.19,210.64,282.38,32.93,31.87,38.07,47.07,304.21,324.76,41.08,29.8,13.6,20.67,65.45,79.62,9.9,9.82,297.07,354.62,7.62,10.9
0,0,3,21,15,83,0.072,20,2,6,28,10,1,2,3,25.0,2,SFA,213.47,231.25,105.27,94.25,663.6,664.25,0.01,0.2,210.64,285.8,32.93,37.15,38.07,48.54,304.21,371.88,41.08,47.0,13.6,15.22,65.45,118.25,9.9,11.9,297.07,350.26,7.62,13.9
0,0,3,17,15,76,0.026,16,1,5,32,12,1,4,5,21.0,0,Memphis,213.47,231.44,105.27,107.11,663.6,658.11,0.01,-0.06,210.64,244.69,32.93,31.5,38.07,41.56,304.21,315.12,41.08,38.25,13.6,15.25,65.45,82.31,9.9,23.18,297.07,329.0,7.62,16.33
0,0,3,14,17,80,-0.037,12,4,3,20,6,2,2,4,21.0,1,Long Beach St.,213.47,240.78,105.27,94.17,663.6,650.28,0.01,0.09,210.64,269.07,32.93,31.85,38.07,46.67,304.21,325.73,41.08,26.0,13.6,18.11,65.45,89.85,9.9,19.27,297.07,343.44,7.62,17.91
0,0,3,24,14,81,0.123,22,4,4,29,14/,0,14,3,35.0,2,Utah Valley,213.47,284.16,105.27,124.21,663.6,812.89,0.01,0.08,210.64,362.64,32.93,42.31,38.07,41.19,304.21,381.29,41.08,42.14,13.6,12.2,65.45,121.44,9.9,13.15,297.07,391.25,7.62,8.58
0,0,3,19,15,74,0.054,19,1,7,26,11,1,2,4,22.0,1,Oregon,213.47,381.0,105.27,131.43,663.6,1005.57,0.01,0.18,210.64,385.62,32.93,42.36,38.07,55.83,304.21,467.38,41.08,36.67,13.6,18.11,65.45,121.55,9.9,19.3,297.07,510.12,7.62,12.43
0,0,3,29,19,105,0.095,25,2,5,53,7,0,8,0,35.0,0,South Dakota,213.47,272.5,105.27,107.94,663.6,812.31,0.01,0.15,210.64,288.57,32.93,50.33,38.07,51.0,304.21,399.0,41.08,39.6,13.6,12.22,65.45,95.8,9.9,14.9,297.07,385.86,7.62,13.12
0,0,3,22,19,94,0.032,18,2,3,29,9,1,2,0,26.0,1,Little Rock,213.47,319.67,105.27,126.6,663.6,895.4,0.01,0.09,210.64,324.64,32.93,39.09,38.07,54.67,304.21,417.71,41.08,40.4,13.6,22.91,65.45,109.45,9.9,15.0,297.07,434.21,7.62,13.0
0,0,3,13,21,77,-0.104,13,4,6,20,8,0,4,0,19.0,1,Central Ark.,213.47,256.56,105.27,105.56,663.6,677.78,0.01,0.17,210.64,333.15,32.93,32.79,38.07,44.12,304.21,302.12,41.08,41.7,13.6,14.31,65.45,74.79,9.9,12.0,297.07,340.38,7.62,13.78
0,0,3,28,11,92,0.185,26,3,6,32,12,0,6,0,34.0,1,Alcorn,213.47,151.23,105.27,80.18,663.6,444.68,0.01,0.1,210.64,169.72,32.93,39.27,38.07,42.38,304.21,206.37,41.08,27.89,13.6,11.85,65.45,52.08,9.9,5.11,297.07,219.12,7.62,17.73
0,0,3,31,20,117,0.094,31,2,7,49,3,1,6,0,37.0,3,Alabama A&M,213.47,232.55,105.27,98.85,663.6,621.8,0.01,0.12,210.64,253.71,32.93,48.75,38.07,43.31,304.21,288.61,41.08,40.56,13.6,16.33,65.45,79.67,9.9,18.29,297.07,311.05,7.62,13.7
0,0,4,39,22,121,0.140,38,6,13,39,6,1,16,2,54.0,1,Jackson St.,213.47,240.33,105.27,133.61,663.6,697.83,0.01,0.1,210.64,247.81,32.93,43.33,38.07,40.07,304.21,271.61,41.08,31.28,13.6,32.67,65.45,77.23,9.9,14.18,297.07,331.88,7.62,17.79
1,0,3,37,21,116,0.138,32,8,8,42,2,2,8,3,51.0,0,Mississippi Val.,213.47,170.56,105.27,107.94,663.6,573.78,0.01,0.04,210.64,167.88,32.93,34.38,38.07,30.94,304.21,290.25,41.08,31.4,13.6,14.0,65.45,35.73,9.9,13.0,297.07,216.5,7.62,15.69
