BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
3,261.67,236.78,103.11,104.17,727.44,623.39,0.29,0.18,288.4,243.38,32.46,34.08,42.69,42.2,354.69,261.0,30.23,34.23,23.2,23.67,119.2,81.31,15.11,9.7,350.59,340.41,11.57,21.0,1,0,5,47,26,134,0.157,44,9,10,51,5,2,12,0,64.0
3,261.67,232.6,103.11,85.1,727.44,600.25,0.29,0.18,288.4,240.0,32.46,30.29,42.69,47.93,354.69,269.94,30.23,24.65,23.2,10.7,119.2,85.47,15.11,16.82,350.59,306.53,11.57,19.3,0,0,4,52,17,173,0.202,47,6,10,71,2,1,10,4,64.0
0,261.67,241.29,103.11,103.53,727.44,697.82,0.29,0.11,288.4,272.93,32.46,30.83,42.69,46.86,354.69,346.73,30.23,29.0,23.2,13.25,119.2,57.57,15.11,10.38,350.59,314.62,11.57,9.22,1,0,3,48,11,96,0.385,43,6,4,47,3,0,6,3,57.0
1,261.67,197.9,103.11,102.71,727.44,589.29,0.29,0.01,288.4,204.16,32.46,32.0,42.69,32.2,354.69,268.63,30.23,28.89,23.2,16.27,119.2,77.21,15.11,10.8,350.59,280.18,11.57,14.07,1,0,3,44,6,81,0.469,39,6,5,36,2,1,8,1,55.0
1,261.67,288.8,103.11,124.73,727.44,876.33,0.29,0.13,288.4,338.83,32.46,26.33,42.69,39.85,354.69,466.54,30.23,28.77,23.2,10.4,119.2,125.5,15.11,15.3,350.59,384.25,11.57,14.5,1,0,4,62,17,147,0.306,60,1,5,67,6,2,8,2,69.0
1,261.67,245.32,103.11,106.26,727.44,704.42,0.29,0.23,288.4,259.18,32.46,23.43,42.69,23.67,354.69,348.35,30.23,20.38,23.2,11.91,119.2,103.62,15.11,15.45,350.59,340.79,11.57,16.67,0,0,4,43,27,168,0.095,40,2,1,78,4,8,14,2,60.0
1,261.67,332.69,103.11,127.75,727.44,897.31,0.29,0.28,288.4,417.17,32.46,37.0,42.69,46.67,354.69,457.57,30.23,34.82,23.2,22.0,119.2,92.4,15.11,18.0,350.59,453.79,11.57,9.78,0,0,4,46,20,125,0.208,43,4,7,50,5,3,10,2,58.0
0,261.67,251.75,103.11,124.0,727.44,770.75,0.29,0.09,288.4,265.14,32.46,36.75,42.69,39.75,354.69,369.47,30.23,32.36,23.2,18.1,119.2,88.67,15.11,18.33,350.59,345.47,11.57,10.75,1,0,3,43,17,112,0.232,38,4,5,62,2,2,10,0,54.0
0,261.67,290.25,103.11,122.38,727.44,806.0,0.29,0.13,288.4,290.87,32.46,27.85,42.69,45.31,354.69,359.2,30.23,32.55,23.2,30.89,119.2,106.82,15.11,16.6,350.59,391.43,11.57,9.67,0,0,5,64,20,183,0.240,60,2,5,77,8,4,20,4,80.0
0,261.67,253.75,103.11,119.0,727.44,826.56,0.29,0.02,288.4,252.47,32.46,28.83,42.69,42.0,354.69,417.47,30.23,30.38,23.2,11.6,119.2,87.38,15.11,11.17,350.59,339.33,11.57,12.44,1,0,3,34,10,106,0.226,32,4,2,53,1,3,16,3,49.0
2,261.67,244.0,103.11,112.5,727.44,725.5,0.29,0.19,288.4,258.79,32.46,26.21,42.69,41.5,354.69,336.2,30.23,29.5,23.2,11.2,119.2,84.92,15.11,12.58,350.59,326.17,11.57,12.29,1,0,5,55,21,169,0.201,47,7,2,86,4,2,14,4,71.0
