Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,48,26,121,0.182,44,4,6,56,4,0,10,3,57.0,3,LSU,248.37,273.75,100.74,110.75,666.16,759.94,0.21,0.16,278.56,285.79,29.75,29.85,45.64,52.62,298.39,345.47,22.4,30.38,8.55,16.09,97.07,84.83,13.92,15.36,324.97,389.57,10.23,12.25
1,0,4,63,13,157,0.318,61,6,8,68,8,1,19,2,79.5,1,Marquette,248.37,265.89,100.74,91.17,666.16,679.89,0.21,0.11,278.56,281.12,29.75,46.91,45.64,46.79,298.39,329.0,22.4,39.9,8.55,11.86,97.07,110.7,13.92,18.3,324.97,424.18,10.23,11.29
1,0,3,47,13,109,0.312,43,4,4,44,2,1,8,2,56.0,2,Texas St.,248.37,249.8,100.74,93.75,666.16,643.85,0.21,0.23,278.56,315.73,29.75,33.69,45.64,50.67,298.39,285.05,22.4,27.2,8.55,15.27,97.07,105.17,13.92,14.73,324.97,346.28,10.23,7.88
1,0,4,58,25,154,0.214,53,6,11,72,2,1,8,1,69.0,3,North Texas,248.37,302.53,100.74,115.47,666.16,813.29,0.21,0.15,278.56,316.87,29.75,33.36,45.64,54.46,298.39,377.07,22.4,29.5,8.55,18.56,97.07,102.25,13.92,12.69,324.97,399.41,10.23,7.45
0,0,5,69,23,193,0.238,67,8,4,96/,4,0,20,1,87.0,0,UCLA,248.37,243.44,100.74,96.94,666.16,718.0,0.21,0.2,278.56,246.73,29.75,30.38,45.64,50.92,298.39,357.0,22.4,34.33,8.55,16.4,97.07,78.46,13.92,11.44,324.97,354.57,10.23,7.78
0,0,4,54,23,122,0.254,51,4,13,34,5,1,18,3,68.0,0,San Diego,248.37,220.7,100.74,93.6,666.16,576.1,0.21,0.22,278.56,257.12,29.75,31.0,45.64,41.29,298.39,234.74,22.4,25.87,8.55,19.2,97.07,92.46,13.92,13.73,324.97,308.22,10.23,5.62
1,0,4,66,20,157,0.293,65,5,7,60,5,0,9,4,75.5,0,Wisconsin,248.37,279.53,100.74,98.76,666.16,731.53,0.21,0.22,278.56,348.23,29.75,34.42,45.64,49.23,298.39,372.36,22.4,32.08,8.55,13.56,97.07,144.8,13.92,15.89,324.97,400.73,10.23,8.62
0,0,5,67,36,174,0.178,62,3,8,65,2,0,18,3,79.0,0,UTRGV,248.37,232.32,100.74,94.79,666.16,679.53,0.21,0.08,278.56,276.07,29.75,32.14,45.64,37.53,298.39,393.07,22.4,34.0,8.55,14.57,97.07,103.67,13.92,14.44,324.97,349.25,10.23,25.75
1,0,4,52,21,167,0.186,50,1,6,70,2,0,16,7,61.0,0,Rice,248.37,305.19,100.74,114.12,666.16,841.44,0.21,0.22,278.56,352.23,29.75,36.18,45.64,42.77,298.39,413.13,22.4,30.33,8.55,18.0,97.07,107.64,13.92,16.09,324.97,403.53,10.23,12.5
1,0,5,71,20,168,0.304,69,3,11,71,6,0,32,7,90.0,3,UTSA,248.37,198.1,100.74,79.95,666.16,548.48,0.21,0.18,278.56,245.75,29.75,35.17,45.64,51.62,298.39,246.95,22.4,28.69,8.55,14.2,97.07,80.25,13.92,15.73,324.97,289.19,10.23,11.0
