BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,201.48,267.53,88.24,104.47,658.62,712.0,0.2,0.07,231.06,339.29,29.4,49.8,43.62,51.5,337.1,330.71,27.2,32.2,15.36,24.33,84.77,111.0,11.09,22.0,299.56,400.66,15.83,7.89,0,0,3,27,21,105,0.057,26,3,4,51,4,0,8,0,34.0
0,201.48,254.88,88.24,102.71,658.62,777.65,0.2,0.16,231.06,285.64,29.4,34.64,43.62,61.69,337.1,434.36,27.2,29.77,15.36,18.5,84.77,86.18,11.09,17.3,299.56,383.79,15.83,9.44,0,0,3,35,18,133,0.128,32,2,7,54,2,1,4,1,40.0
0,201.48,214.0,88.24,99.89,658.62,625.37,0.2,0.06,231.06,250.73,29.4,42.36,43.62,62.92,337.1,342.07,27.2,43.91,15.36,12.7,84.77,68.13,11.09,16.0,299.56,323.12,15.83,11.0,0,0,3,33,23,133,0.075,31,7,7,51,2,3,6,2,46.0
1,201.48,223.17,88.24,103.78,658.62,662.67,0.2,-0.01,231.06,252.27,29.4,25.64,43.62,35.0,337.1,331.12,27.2,27.07,15.36,9.78,84.77,134.8,11.09,13.78,299.56,302.24,15.83,9.0,0,0,4,48,30,187,0.096,46,6,5,85,3,2,18,1,65.0
0,201.48,227.65,88.24,108.18,658.62,721.12,0.2,0.07,231.06,259.93,29.4,26.29,43.62,32.73,337.1,377.0,27.2,33.08,15.36,14.78,84.77,73.54,11.09,14.55,299.56,323.27,15.83,9.73,1,0,3,45,10,112,0.312,44,5,9,53,1,0,12,2,56.0
1,201.48,210.61,88.24,92.72,658.62,617.83,0.2,0.15,231.06,239.0,29.4,31.92,43.62,43.0,337.1,291.65,27.2,33.85,15.36,11.5,84.77,67.0,11.09,10.5,299.56,299.38,15.83,13.0,0,0,5,48,26,179,0.123,45,8,10,74,8,0,12,4,62.0
0,201.48,299.25,88.24,119.56,658.62,811.25,0.2,0.21,231.06,369.0,29.4,61.45,43.62,83.08,337.1,391.57,27.2,59.9,15.36,16.4,84.77,105.64,11.09,16.45,299.56,413.93,15.83,11.4,1,0,4,40,20,157,0.127,35,5,9,77,11,5,16,2,58.0
1,201.48,327.44,88.24,123.25,658.62,837.75,0.2,0.24,231.06,353.64,29.4,51.09,43.62,70.83,337.1,392.93,27.2,43.27,15.36,17.89,84.77,152.0,11.09,18.89,299.56,480.14,15.83,9.5,0,0,3,27,16,98,0.112,25,6,2,39,8,0,8,1,37.0
1,201.48,220.89,88.24,90.28,658.62,626.44,0.2,0.12,231.06,265.36,29.4,31.36,43.62,43.67,337.1,305.38,27.2,36.92,15.36,14.78,84.77,74.07,11.09,12.1,299.56,316.66,15.83,7.55,0,0,3,40,16,120,0.200,40,4,4,60,6,2,12,0,52.0
1,201.48,226.26,88.24,102.42,658.62,706.58,0.2,0.13,231.06,270.27,29.4,20.33,43.62,33.56,337.1,377.18,27.2,23.85,15.36,14.56,84.77,132.36,11.09,17.0,299.56,321.35,15.83,9.86,1,0,5,60,25,207,0.169,56,5,10,90,4,1,13,4,72.5
0,201.48,241.29,88.24,103.53,658.62,697.82,0.2,0.11,231.06,272.93,29.4,30.83,43.62,46.86,337.1,346.73,27.2,29.0,15.36,13.25,84.77,57.57,11.09,10.38,299.56,314.62,15.83,9.22,1,0,4,68,24,205,0.215,64,7,8,96,6,3,14,1,85.0
0,201.48,253.75,88.24,119.0,658.62,826.56,0.2,0.02,231.06,252.47,29.4,28.83,43.62,42.0,337.1,417.47,27.2,30.38,15.36,11.6,84.77,87.38,11.09,11.17,299.56,339.33,15.83,12.44,1,0,3,38,14,133,0.180,34,5,5,75,2,1,4,3,46.0
2,201.48,184.72,88.24,89.44,658.62,556.11,0.2,0.1,231.06,206.6,29.4,33.43,43.62,50.86,337.1,262.81,27.2,40.69,15.36,14.55,84.77,62.17,11.09,11.91,299.56,270.38,15.83,19.88,1,0,3,30,11,86,0.221,27,5,15,46,2,3,16,0,46.0
0,201.48,293.53,88.24,119.07,658.62,785.47,0.2,0.15,231.06,314.23,29.4,35.08,43.62,53.25,337.1,382.46,27.2,33.42,15.36,21.67,84.77,111.11,11.09,18.3,299.56,424.54,15.83,15.0,1,0,3,41,13,127,0.220,38,5,7,55,0,4,8,0,54.0
2,201.48,212.89,88.24,87.67,658.62,600.0,0.2,0.13,231.06,236.8,29.4,40.09,43.62,44.36,337.1,258.29,27.2,40.45,15.36,11.44,84.77,63.14,11.09,8.0,299.56,283.41,15.83,15.25,1,0,5,58,29,161,0.180,52,8,7,63,5,5,6,0,74.0
3,201.48,262.82,88.24,107.06,658.62,739.65,0.2,0.24,231.06,273.27,29.4,33.67,43.62,44.07,337.1,346.62,27.2,30.64,15.36,17.45,84.77,79.5,11.09,11.82,299.56,346.31,15.83,12.22,0,0,4,50,27,204,0.113,48,4,9,105,5,3,8,3,61.0
0,201.48,248.12,88.24,106.24,658.62,761.0,0.2,0.13,231.06,283.36,29.4,28.36,43.62,42.38,337.1,380.94,27.2,34.17,15.36,20.42,84.77,66.42,11.09,10.46,299.56,328.66,15.83,15.33,1,0,3,42,8,103,0.330,39,5,11,53,2,1,12,1,54.0
0,201.48,208.43,88.24,87.29,658.62,594.38,0.2,0.07,231.06,316.38,29.4,39.75,43.62,60.29,337.1,282.0,27.2,44.4,15.36,14.69,84.77,82.15,11.09,8.85,299.56,293.63,15.83,10.67,1,0,3,39,11,106,0.264,38,9,7,61,3,1,12,2,55.0
0,201.48,251.94,88.24,116.75,658.62,723.56,0.2,0.13,231.06,253.93,29.4,24.86,43.62,38.13,337.1,326.67,27.2,32.25,15.36,13.5,84.77,93.0,11.09,11.5,299.56,331.93,15.83,7.67,1,0,4,55,15,136,0.294,47,5,8,69,3,0,24,0,72.0
1,201.48,297.94,88.24,118.35,658.62,850.76,0.2,0.2,231.06,339.64,29.4,39.83,43.62,51.64,337.1,419.69,27.2,37.92,15.36,15.9,84.77,89.0,11.09,13.4,299.56,392.53,15.83,12.38,1,0,4,53,23,190,0.158,50,6,4,105,5,1,12,1,66.0
2,201.48,213.5,88.24,95.11,658.62,655.06,0.2,0.14,231.06,275.85,29.4,30.33,43.62,42.2,337.1,336.56,27.2,33.73,15.36,16.64,84.77,55.43,11.09,8.0,299.56,298.62,15.83,12.36,1,0,4,46,19,138,0.196,43,7,14,69,2,4,8,1,61.0
