BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,168.05,188.39,66.95,95.39,488.55,601.11,0.15,0.02,203.12,197.44,31.58,25.0,38.08,30.31,246.37,279.65,26.33,36.0,11.1,9.64,71.14,64.64,13.5,9.23,234.25,270.28,19.11,10.1,1,0,4,56,22,151,0.225,49,11,13,67,7,3,10,2,75.0
1,168.05,181.11,66.95,95.33,488.55,541.39,0.15,0.09,203.12,202.53,31.58,26.14,38.08,35.47,246.37,230.47,26.33,31.15,11.1,11.75,71.14,63.69,13.5,7.62,234.25,243.18,19.11,20.75,1,0,3,38,11,95,0.284,32,4,8,48,4,0,12,2,48.0
0,168.05,243.56,66.95,106.94,488.55,672.25,0.15,0.09,203.12,330.18,31.58,38.45,38.08,52.0,246.37,339.31,26.33,47.3,11.1,13.78,71.14,80.0,13.5,11.5,234.25,348.86,19.11,11.83,0,0,4,56,26,180,0.167,50,10,5,86,11,1,14,2,74.0
3,168.05,255.93,66.95,102.8,488.55,745.8,0.15,0.13,203.12,257.64,31.58,35.45,38.08,41.42,246.37,350.14,26.33,42.82,11.1,12.12,71.14,75.0,13.5,10.78,234.25,341.14,19.11,10.82,1,0,4,69,17,152,0.342,65,6,9,70,5,0,18,2,84.0
4,168.05,206.88,66.95,79.56,488.55,543.94,0.15,0.18,203.12,220.79,31.58,31.7,38.08,35.46,246.37,227.47,26.33,28.83,11.1,11.7,71.14,67.17,13.5,9.45,234.25,276.47,19.11,11.83,0,0,5,70,22,168,0.286,65,6,11,57,6,0,14,2,83.0
1,168.05,176.85,66.95,79.25,488.55,521.1,0.15,0.19,203.12,206.44,31.58,29.83,38.08,37.0,246.37,251.83,26.33,30.17,11.1,15.0,71.14,64.0,13.5,10.33,234.25,281.88,19.11,17.71,1,0,4,57,22,150,0.233,53,8,10,65,5,3,16,1,76.0
5,168.05,269.24,66.95,129.0,488.55,821.35,0.15,0.06,203.12,307.5,31.58,34.58,38.08,36.46,246.37,383.12,26.33,31.17,11.1,15.0,71.14,93.83,13.5,15.31,234.25,357.5,19.11,13.38,1,0,5,65,16,197,0.249,63,2,11,80,3,1,14,4,75.0
4,168.05,247.19,66.95,100.0,488.55,731.56,0.15,0.1,203.12,242.87,31.58,28.77,38.08,34.79,246.37,358.73,26.33,26.07,11.1,16.77,71.14,72.77,13.5,14.15,234.25,334.67,19.11,15.5,1,0,4,57,23,149,0.228,49,7,7,79,5,5,8,0,73.0
5,168.05,218.11,66.95,107.47,488.55,660.42,0.15,0.22,203.12,227.88,31.58,32.46,38.08,37.6,246.37,332.0,26.33,34.08,11.1,15.64,71.14,85.21,13.5,13.36,234.25,313.79,19.11,21.33,0,0,4,49,20,147,0.197,44,4,8,62,3,1,8,3,58.0
1,168.05,296.17,66.95,138.89,488.55,853.06,0.15,0.17,203.12,312.44,31.58,41.08,38.08,52.5,246.37,389.88,26.33,42.36,11.1,19.25,71.14,104.08,13.5,16.27,234.25,388.38,19.11,21.67,1,0,4,59,15,156,0.282,58,4,3,71,2,3,31/,5,81.5
1,168.05,151.0,66.95,66.14,488.55,431.48,0.15,0.14,203.12,230.15,31.58,29.4,38.08,29.5,246.37,217.72,26.33,22.5,11.1,10.38,71.14,54.12,13.5,7.73,234.25,213.68,19.11,9.11,0,0,3,35,17,118,0.153,34,2,3,47,4,1,4,1,40.0
4,168.05,194.17,66.95,73.06,488.55,528.11,0.15,0.13,203.12,234.93,31.58,29.1,38.08,32.62,246.37,265.75,26.33,23.73,11.1,10.64,71.14,49.47,13.5,10.2,234.25,251.41,19.11,10.71,0,0,3,28,14,88,0.159,28,1,4,33,5,1,2,3,31.0
6,168.05,145.41,66.95,65.09,488.55,405.59,0.15,0.03,203.12,213.21,31.58,28.42,38.08,45.69,246.37,210.06,26.33,36.09,11.1,13.12,71.14,76.27,13.5,14.27,234.25,270.97,19.11,13.11,1,0,5,57,26,182,0.170,53,5,10,87,11,2,16,1,72.0
2,168.05,149.39,66.95,67.83,488.55,434.87,0.15,0.12,203.12,189.76,31.58,24.67,38.08,34.06,246.37,206.05,26.33,30.85,11.1,8.25,71.14,68.87,13.5,8.83,234.25,221.08,19.11,12.75,0,0,5,43,34,152,0.059,41,3,5,55,4,1,18,2,56.0
4,168.05,190.24,66.95,83.35,488.55,541.06,0.15,0.13,203.12,200.33,31.58,24.27,38.08,37.73,246.37,237.44,26.33,26.69,11.1,12.11,71.14,71.58,13.5,13.9,234.25,258.53,19.11,9.67,0,0,4,43,17,117,0.222,38,3,5,44,9,1,12,4,53.0
4,168.05,166.37,66.95,83.95,488.55,498.63,0.15,0.15,203.12,196.6,31.58,35.5,38.08,41.67,246.37,221.83,26.33,26.92,11.1,19.0,71.14,70.86,13.5,15.0,234.25,246.06,19.11,14.75,0,0,5,54,26,180,0.156,49,5,6,79,7,0,14,2,66.0
3,168.05,149.76,66.95,66.9,488.55,439.0,0.15,0.07,203.12,165.56,31.58,20.47,38.08,30.94,246.37,205.79,26.33,26.25,11.1,13.18,71.14,76.08,13.5,6.29,234.25,215.34,19.11,9.89,0,0,4,56,24,168,0.190,55,6,6,70,9,1,8,0,67.0
1,168.05,151.0,66.95,66.14,488.55,431.48,0.15,0.14,203.12,230.15,31.58,29.4,38.08,29.5,246.37,217.72,26.33,22.5,11.1,10.38,71.14,54.12,13.5,7.73,234.25,213.68,19.11,9.11,0,0,3,22,17,84,0.060,20,4,5,20,8,1,0,3,27.0
4,168.05,145.41,66.95,65.09,488.55,405.59,0.15,0.03,203.12,213.21,31.58,28.42,38.08,45.69,246.37,210.06,26.33,36.09,11.1,13.12,71.14,76.27,13.5,14.27,234.25,270.97,19.11,13.11,1,0,4,51,15,137,0.263,50,6,8,62,3,2,24,2,71.0
2,168.05,194.17,66.95,73.06,488.55,528.11,0.15,0.13,203.12,234.93,31.58,29.1,38.08,32.62,246.37,265.75,26.33,23.73,11.1,10.64,71.14,49.47,13.5,10.2,234.25,251.41,19.11,10.71,0,0,3,27,13,107,0.131,26,1,4,40,3,2,6,2,33.0
0,168.05,149.76,66.95,66.9,488.55,439.0,0.15,0.07,203.12,165.56,31.58,20.47,38.08,30.94,246.37,205.79,26.33,26.25,11.1,13.18,71.14,76.08,13.5,6.29,234.25,215.34,19.11,9.89,0,0,5,54,27,182,0.148,51,7,6,83,7,3,14,0,71.0
2,168.05,166.37,66.95,83.95,488.55,498.63,0.15,0.15,203.12,196.6,31.58,35.5,38.08,41.67,246.37,221.83,26.33,26.92,11.1,19.0,71.14,70.86,13.5,15.0,234.25,246.06,19.11,14.75,1,0,5,57,24,197,0.168,54,5,7,77,6,2,22,4,75.0
3,168.05,190.24,66.95,83.35,488.55,541.06,0.15,0.13,203.12,200.33,31.58,24.27,38.08,37.73,246.37,237.44,26.33,26.69,11.1,12.11,71.14,71.58,13.5,13.9,234.25,258.53,19.11,9.67,1,0,5,62,19,186,0.231,55,7,6,85,6,2,18,0,80.0
6,168.05,149.39,66.95,67.83,488.55,434.87,0.15,0.12,203.12,189.76,31.58,24.67,38.08,34.06,246.37,206.05,26.33,30.85,11.1,8.25,71.14,68.87,13.5,8.83,234.25,221.08,19.11,12.75,0,0,4,55,20,164,0.213,51,4,3,72,4,1,14,2,67.0
