Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,3,40,16,103,0.233,38,6,7,41,2,1,14,4,54.0,0,NJIT,176.85,206.33,79.25,119.5,521.1,663.61,0.19,0.07,206.44,205.0,29.83,31.86,37.0,47.29,251.83,279.22,30.17,32.47,15.0,13.6,64.0,75.08,10.33,10.77,281.88,281.41,17.71,16.22
1,0,4,60,27,165,0.200,55,6,8,84,4,2,20,1,78.0,0,Saint Peter's,176.85,200.05,79.25,91.68,521.1,611.73,0.19,0.05,206.44,257.25,29.83,34.4,37.0,43.61,251.83,312.89,30.17,43.85,15.0,14.7,64.0,65.86,10.33,15.73,281.88,276.25,17.71,6.33
0,0,4,43,26,167,0.102,39,2,9,79,7,4,18,1,58.0,0,Youngstown St.,176.85,227.65,79.25,108.18,521.1,721.12,0.19,0.07,206.44,259.93,29.83,26.29,37.0,32.73,251.83,377.0,30.17,33.08,15.0,14.78,64.0,73.54,10.33,14.55,281.88,323.27,17.71,9.73
1,0,3,36,11,81,0.309,34,6,7,40,2,1,16,1,51.0,0,Delaware St.,176.85,210.87,79.25,111.27,521.1,604.07,0.19,-0.02,206.44,257.91,29.83,44.45,37.0,59.73,251.83,291.92,30.17,50.0,15.0,10.89,64.0,59.27,10.33,10.3,281.88,339.67,17.71,8.62
0,0,3,33,14,99,0.192,31,4,4,31,5,0,12,1,43.0,4,Cal St. Fullerton,176.85,153.35,79.25,70.26,521.1,458.65,0.19,0.08,206.44,183.56,29.83,22.22,37.0,24.89,251.83,217.71,30.17,28.38,15.0,7.73,64.0,52.88,10.33,15.1,281.88,211.14,17.71,11.0
1,0,4,54,19,156,0.224,48,0,11,69,9,4,24,2,70.0,2,NJIT,176.85,206.33,79.25,119.5,521.1,663.61,0.19,0.07,206.44,205.0,29.83,31.86,37.0,47.29,251.83,279.22,30.17,32.47,15.0,13.6,64.0,75.08,10.33,10.77,281.88,281.41,17.71,16.22
1,0,3,49,8,103,0.398,45,8,7,50,1,0,4,0,59.0,1,Niagara,176.85,255.93,79.25,102.8,521.1,745.8,0.19,0.13,206.44,257.64,29.83,35.45,37.0,41.42,251.83,350.14,30.17,42.82,15.0,12.12,64.0,75.0,10.33,10.78,281.88,341.14,17.71,10.82
0,0,3,36,11,104,0.240,35,3,9,39,1,1,10,2,45.0,3,Hartford,176.85,206.88,79.25,79.56,521.1,543.94,0.19,0.18,206.44,220.79,29.83,31.7,37.0,35.46,251.83,227.47,30.17,28.83,15.0,11.7,64.0,67.17,10.33,9.45,281.88,276.47,17.71,11.83
0,0,4,41,17,127,0.189,40,5,12,58,8,1,18,3,56.0,1,Brown,176.85,168.05,79.25,66.95,521.1,488.55,0.19,0.15,206.44,203.12,29.83,31.58,37.0,38.08,251.83,246.37,30.17,26.33,15.0,11.1,64.0,71.14,10.33,13.5,281.88,234.25,17.71,19.11
0,0,5,58,26,167,0.192,56,5,9,67,7,2,10,1,70.0,4,Toledo,176.85,213.5,79.25,95.11,521.1,655.06,0.19,0.14,206.44,275.85,29.83,30.33,37.0,42.2,251.83,336.56,30.17,33.73,15.0,16.64,64.0,55.43,10.33,8.0,281.88,298.62,17.71,12.36
