BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,293.53,255.93,119.07,102.8,785.47,745.8,0.15,0.13,314.23,257.64,35.08,35.45,53.25,41.42,382.46,350.14,33.42,42.82,21.67,12.12,111.11,75.0,18.3,10.78,424.54,341.14,15.0,10.82,1,0,3,50,13,112,0.330,50,7,5,49,3,1,2,2,59.0
1,293.53,274.47,119.07,105.6,785.47,742.87,0.15,0.17,314.23,276.71,35.08,28.08,53.25,42.15,382.46,337.79,33.42,30.15,21.67,10.62,111.11,83.64,18.3,11.82,424.54,357.07,15.0,12.14,1,0,4,60,25,158,0.222,55,8,16,62,1,8,4,2,78.0
0,293.53,251.75,119.07,124.0,785.47,770.75,0.15,0.09,314.23,265.14,35.08,36.75,53.25,39.75,382.46,369.47,33.42,32.36,21.67,18.1,111.11,88.67,18.3,18.33,424.54,345.47,15.0,10.75,1,0,4,58,25,130,0.254,50,6,14,48,6,5,12,0,75.0
2,293.53,149.39,119.07,67.83,785.47,434.87,0.15,0.12,314.23,189.76,35.08,24.67,53.25,34.06,382.46,206.05,33.42,30.85,21.67,8.25,111.11,68.87,18.3,8.83,424.54,221.08,15.0,12.75,0,0,5,39,19,141,0.142,33,9,11,61,4,3,24,2,63.0
2,293.53,184.85,119.07,88.0,785.47,552.85,0.15,0.09,314.23,180.37,35.08,28.53,53.25,37.44,382.46,243.21,33.42,38.8,21.67,12.44,111.11,53.53,18.3,6.5,424.54,260.86,15.0,14.86,1,0,3,36,14,75,0.293,35,13,6,30,1,1,14,3,57.0
1,293.53,211.0,119.07,98.25,785.47,571.25,0.15,0.13,314.23,232.12,35.08,38.33,53.25,39.87,382.46,251.11,33.42,34.21,21.67,15.78,111.11,99.31,18.3,13.2,424.54,321.62,15.0,13.0,0,0,4,45,20,119,0.210,43,9,6,44,11,0,24,8,66.0
0,293.53,222.11,119.07,90.22,785.47,615.17,0.15,0.19,314.23,269.29,35.08,26.93,53.25,50.69,382.46,286.81,33.42,33.91,21.67,9.6,111.11,86.67,18.3,10.0,424.54,311.94,15.0,8.3,0,0,3,32,19,95,0.137,32,1,8,34,5,0,14,3,40.0
2,293.53,213.28,119.07,97.56,785.47,616.56,0.15,0.12,314.23,238.8,35.08,26.86,53.25,43.93,382.46,290.75,33.42,28.21,21.67,10.4,111.11,107.54,18.3,14.82,424.54,313.62,15.0,11.1,1,0,5,64,26,177,0.215,61,8,11,84,8,2,8,6,78.0
0,293.53,270.0,119.07,103.76,785.47,734.29,0.15,0.28,314.23,304.93,35.08,35.08,53.25,50.87,382.46,354.47,33.42,33.92,21.67,14.58,111.11,95.36,18.3,12.91,424.54,365.84,15.0,10.12,1,0,3,43,12,86,0.360,41,6,5,31,3,0,16,1,57.0
1,293.53,246.84,119.07,94.79,785.47,651.95,0.15,0.27,314.23,339.0,35.08,28.0,53.25,48.2,382.46,287.28,33.42,24.54,21.67,19.2,111.11,123.08,18.3,20.33,424.54,353.68,15.0,9.29,0,0,3,28,20,89,0.090,27,1,1,30,5,0,6,3,32.0
0,293.53,198.4,119.07,92.55,785.47,560.25,0.15,0.13,314.23,257.71,35.08,27.64,53.25,56.6,382.46,259.0,33.42,31.25,21.67,11.6,111.11,70.42,18.3,11.18,424.54,287.85,15.0,9.29,1,0,4,65,21,170,0.259,60,1,6,83,2,1,8,6,71.0
2,293.53,201.48,119.07,88.24,785.47,658.62,0.15,0.2,314.23,231.06,35.08,29.4,53.25,43.62,382.46,337.1,33.42,27.2,21.67,15.36,111.11,84.77,18.3,11.09,424.54,299.56,15.0,15.83,0,0,3,39,19,116,0.172,37,0,6,62,5,0,6,1,42.0
0,293.53,208.43,119.07,87.29,785.47,594.38,0.15,0.07,314.23,316.38,35.08,39.75,53.25,60.29,382.46,282.0,33.42,44.4,21.67,14.69,111.11,82.15,18.3,8.85,424.54,293.63,15.0,10.67,1,0,5,65,25,170,0.235,57,5,5,78,5,4,6,0,77.0
