BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
2,226.33,240.33,108.47,106.93,728.47,677.53,0.04,0.17,242.62,277.83,36.5,30.85,44.17,56.29,388.31,293.57,28.23,39.36,13.78,12.17,74.17,59.15,10.88,13.54,309.21,324.04,15.89,14.1,1,0,3,33,7,78,0.333,30,6,8,34,4,1,8,0,44.0
1,226.33,215.94,108.47,92.33,728.47,665.0,0.04,0.12,242.62,254.86,36.5,38.7,44.17,41.85,388.31,318.53,28.23,35.73,13.78,14.7,74.17,57.15,10.88,17.7,309.21,299.53,15.89,8.11,0,0,3,42,12,121,0.248,37,4,6,54,7,2,6,0,51.0
0,226.33,232.5,108.47,103.44,728.47,686.5,0.04,0.21,242.62,276.79,36.5,38.69,44.17,56.38,388.31,333.25,28.23,41.0,13.78,11.25,74.17,83.15,10.88,10.92,309.21,315.5,15.89,13.4,1,0,3,43,14,138,0.210,38,5,2,76,2,1,6,0,52.0
1,226.33,131.0,108.47,75.94,728.47,390.33,0.04,0.04,242.62,183.83,36.5,29.86,44.17,37.2,388.31,159.88,28.23,31.19,13.78,12.22,74.17,48.15,10.88,10.0,309.21,188.18,15.89,13.45,1,0,3,30,12,80,0.225,26,13,8,37,3,2,2,0,46.0
0,226.33,148.5,108.47,87.44,728.47,441.25,0.04,0.05,242.62,163.0,36.5,30.14,44.17,39.79,388.31,194.14,28.23,35.86,13.78,13.8,74.17,36.15,10.88,8.92,309.21,211.4,15.89,9.36,1,0,4,51,24,140,0.193,47,8,11,57,3,2,16,0,69.0
3,226.33,244.06,108.47,116.06,728.47,703.0,0.04,0.15,242.62,276.23,36.5,37.58,44.17,63.83,388.31,332.0,28.23,36.85,13.78,17.56,74.17,83.5,10.88,16.33,309.21,352.25,15.89,12.8,1,0,5,60,15,175,0.257,56,3,8,80,7,1,8,1,68.0
1,226.33,159.85,108.47,64.0,728.47,458.05,0.04,0.2,242.62,187.0,36.5,28.46,44.17,32.86,388.31,227.28,28.23,25.73,13.78,12.2,74.17,65.0,10.88,13.5,309.21,212.97,15.89,17.0,0,0,4,50,24,170,0.153,45,1,10,76,2,0,8,0,55.0
4,226.33,328.76,108.47,122.12,728.47,876.71,0.04,0.13,242.62,376.43,36.5,33.31,44.17,35.6,388.31,405.0,28.23,44.1,13.78,16.8,74.17,99.75,10.88,17.09,309.21,424.28,15.89,12.22,0,0,4,49,25,184,0.130,47,3,6,99,3,1,8,1,57.0
0,226.33,180.85,108.47,77.25,728.47,527.15,0.04,0.12,242.62,280.5,36.5,30.0,44.17,41.07,388.31,282.5,28.23,34.91,13.78,20.8,74.17,63.42,10.88,4.8,309.21,270.32,15.89,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,226.33,220.07,108.47,111.2,728.47,648.53,0.04,0.13,242.62,259.08,36.5,44.8,44.17,53.9,388.31,298.57,28.23,44.18,13.78,14.14,74.17,86.7,10.88,10.27,309.21,329.35,15.89,6.33,0,0,5,54,30,176,0.136,53,4,11,67,4,2,22,0,71.0
