BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,166.13,206.47,70.96,104.65,485.35,631.18,0.18,0.1,271.23,202.38,40.17,29.75,55.43,57.43,249.35,280.19,36.54,35.18,10.64,11.6,60.07,63.33,9.91,12.0,268.92,290.87,28.57,8.22,1,0,3,32,8,72,0.333,28,7,12,35,8,2,2,1,42.0
1,166.13,234.74,70.96,108.16,485.35,614.0,0.18,0.27,271.23,260.44,40.17,40.08,55.43,51.5,249.35,242.61,36.54,42.83,10.64,25.8,60.07,99.15,9.91,15.54,268.92,326.86,28.57,7.18,0,0,4,44,22,117,0.188,41,3,12,55,13,2,6,2,52.0
0,166.13,267.95,70.96,104.53,485.35,710.21,0.18,0.19,271.23,293.44,40.17,27.08,55.43,44.0,249.35,308.5,36.54,29.91,10.64,14.33,60.07,98.77,9.91,11.08,268.92,347.61,28.57,4.78,0,0,3,25,17,89,0.090,24,3,8,27,2,0,4,0,30.0
2,166.13,180.85,70.96,77.25,485.35,527.15,0.18,0.12,271.23,280.5,40.17,30.0,55.43,41.07,249.35,282.5,36.54,34.91,10.64,20.8,60.07,63.42,9.91,4.8,268.92,270.32,28.57,14.09,1,0,4,56,18,132,0.288,53,12,14,57,3,2,4,0,72.0
2,166.13,254.12,70.96,117.94,485.35,771.75,0.18,-0.02,271.23,294.54,40.17,27.23,55.43,51.31,249.35,386.64,36.54,26.2,10.64,15.11,60.07,109.4,9.91,21.2,268.92,364.5,28.57,20.5,1,0,4,47,22,157,0.159,44,12,9,78,4,1,14,2,67.0
9/,166.13,236.5,70.96,118.22,485.35,703.33,0.18,0.09,271.23,285.79,40.17,38.25,55.43,57.0,249.35,385.57,36.54,40.64,10.64,15.3,60.07,86.0,9.91,13.2,268.92,336.56,28.57,13.8,0,0,4,52,24,147,0.190,48,3,7,70,4,0,8,0,59.0
7,166.13,272.38,70.96,112.44,485.35,710.81,0.18,0.21,271.23,272.6,40.17,45.55,55.43,69.67,249.35,329.36,36.54,59.62,10.64,26.67,60.07,102.5,9.91,18.22,268.92,400.82,28.57,21.5,0,0,3,30,10,71,0.282,27,4,13,24,7,0,10,2,39.0
5,166.13,232.88,70.96,98.88,485.35,702.12,0.18,0.2,271.23,311.5,40.17,27.43,55.43,56.46,249.35,334.06,36.54,30.27,10.64,10.7,60.07,118.5,9.91,18.4,268.92,322.56,28.57,9.78,0,0,3,25,16,86,0.105,23,2,10,38,6,0,10,0,32.0
5,166.13,240.33,70.96,106.93,485.35,677.53,0.18,0.17,271.23,277.83,40.17,30.85,55.43,56.29,249.35,293.57,36.54,39.36,10.64,12.17,60.07,59.15,9.91,13.54,268.92,324.04,28.57,14.1,0,0,4,56,27,159,0.182,53,3,10,76,6,1,8,2,64.0
5,166.13,228.45,70.96,93.6,485.35,590.9,0.18,0.23,271.23,286.47,40.17,32.92,55.43,50.56,249.35,264.78,36.54,24.47,10.64,15.08,60.07,98.5,9.91,14.73,268.92,320.5,28.57,13.4,0,0,3,30,13,93,0.183,30,1,6,37,2,0,4,3,33.0
