BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
4,265.15,219.9,96.8,84.5,672.55,623.8,0.15,0.2,292.65,275.33,35.0,32.64,51.8,56.21,305.89,328.47,47.22,29.23,13.27,12.44,100.85,74.23,19.11,9.18,387.91,320.56,15.18,12.56,1,0,5,58,20,152,0.250,54,5,5,75,11,3,12,2,72.0
1,265.15,188.21,96.8,81.26,672.55,527.11,0.15,0.15,292.65,222.47,35.0,37.33,51.8,47.06,305.89,241.39,47.22,35.93,13.27,11.38,100.85,69.75,19.11,13.55,387.91,283.34,15.18,9.75,1,0,3,45,15,109,0.275,42,7,9,38,2,0,12,1,58.0
1,265.15,199.7,96.8,83.4,672.55,546.05,0.15,0.14,292.65,316.33,35.0,33.18,51.8,50.75,305.89,274.29,47.22,22.79,13.27,10.2,100.85,68.44,19.11,21.6,387.91,278.25,15.18,8.22,1,0,5,58,28,165,0.182,58,6,11,63,8,1,12,0,71.0
3,265.15,284.27,96.8,121.67,672.55,719.13,0.15,0.11,292.65,331.75,35.0,41.58,51.8,53.21,305.89,296.14,47.22,45.2,13.27,16.1,100.85,123.64,19.11,15.6,387.91,400.29,15.18,6.44,1,0,4,58,19,143,0.273,55,6,12,54,5,2,18,1,75.0
2,265.15,232.47,96.8,85.42,672.55,600.95,0.15,-0.01,292.65,276.6,35.0,29.58,51.8,35.73,305.89,281.71,47.22,32.42,13.27,16.0,100.85,120.0,19.11,13.6,387.91,372.8,15.18,11.44,1,0,5,63,19,159,0.277,61,11,10,49,4,1,10,1,80.0
5,265.15,309.0,96.8,122.69,672.55,852.31,0.15,0.16,292.65,421.91,35.0,37.09,51.8,62.38,305.89,419.0,47.22,35.18,13.27,20.89,100.85,120.5,19.11,25.89,387.91,409.5,15.18,8.75,1,0,5,68,20,159,0.302,67,7,9,73,6,3,10,2,83.0
2,265.15,238.61,96.8,93.17,672.55,634.5,0.15,0.16,292.65,269.93,35.0,34.1,51.8,52.42,305.89,267.29,47.22,25.92,13.27,12.0,100.85,103.31,19.11,12.5,387.91,339.22,15.18,12.0,0,0,3,35,16,99,0.192,33,6,6,34,3,0,8,0,45.0
2,265.15,290.25,96.8,122.38,672.55,806.0,0.15,0.13,292.65,290.87,35.0,27.85,51.8,45.31,305.89,359.2,47.22,32.55,13.27,30.89,100.85,106.82,19.11,16.6,387.91,391.43,15.18,9.67,0,0,5,66,25,166,0.247,65,7,5,64,6,2,12,1,81.0
0,265.15,205.94,96.8,102.89,672.55,608.78,0.15,0.16,292.65,229.07,35.0,27.73,51.8,36.0,305.89,283.56,47.22,26.64,13.27,13.75,100.85,68.08,19.11,10.85,387.91,266.5,15.18,12.3,1,0,3,47,13,108,0.315,41,6,5,50,2,2,4,1,57.0
0,265.15,214.26,96.8,94.42,672.55,600.84,0.15,0.12,292.65,240.62,35.0,29.83,51.8,35.85,305.89,280.29,47.22,32.67,13.27,16.56,100.85,77.0,19.11,12.43,387.91,284.28,15.18,7.88,1,0,4,67,21,142,0.324,60,5,9,47,2,1,10,1,78.0
3,265.15,272.38,96.8,112.44,672.55,710.81,0.15,0.21,292.65,272.6,35.0,45.55,51.8,69.67,305.89,329.36,47.22,59.62,13.27,26.67,100.85,102.5,19.11,18.22,387.91,400.82,15.18,21.5,0,0,4,55,21,137,0.248,52,1,13,45,3,1,15,1,64.5
1,265.15,205.95,96.8,91.26,672.55,591.84,0.15,0.11,292.65,227.12,35.0,25.13,51.8,32.47,305.89,271.61,47.22,33.67,13.27,10.9,100.85,68.29,19.11,13.82,387.91,270.94,15.18,17.14,1,0,3,53,10,103,0.417,52,5,10,46,0,0,6,0,61.0
2,265.15,274.31,96.8,122.38,672.55,807.25,0.15,0.13,292.65,273.93,35.0,31.2,51.8,41.09,305.89,385.33,47.22,24.46,13.27,11.56,100.85,112.27,19.11,12.91,387.91,387.32,15.18,12.0,1,0,3,54,12,106,0.396,51,4,4,53,3,1,8,4,63.0
1,265.15,225.38,96.8,105.48,672.55,671.95,0.15,0.11,292.65,232.74,35.0,36.92,51.8,49.71,305.89,327.74,47.22,35.25,13.27,14.82,100.85,82.87,19.11,13.69,387.91,299.88,15.18,19.5,1,0,3,40,14,98,0.265,36,6,4,62,0,1,14,2,54.0
2,265.15,280.5,96.8,114.38,672.55,816.62,0.15,0.18,292.65,283.53,35.0,26.23,51.8,43.93,305.89,382.67,47.22,30.33,13.27,14.11,100.85,84.23,19.11,12.25,387.91,366.9,15.18,10.36,1,0,3,49,22,144,0.188,47,3,3,74,1,3,20,4,65.0
4,265.15,288.31,96.8,137.31,672.55,814.12,0.15,0.08,292.65,310.71,35.0,26.64,51.8,67.75,305.89,386.71,47.22,28.54,13.27,11.75,100.85,103.09,19.11,17.73,387.91,379.6,15.18,16.11,1,0,4,47,22,133,0.188,43,6,7,58,3,2,26,1,68.0
2,265.15,254.88,96.8,102.71,672.55,777.65,0.15,0.16,292.65,285.64,35.0,34.64,51.8,61.69,305.89,434.36,47.22,29.77,13.27,18.5,100.85,86.18,19.11,17.3,387.91,383.79,15.18,9.44,1,0,4,49,21,129,0.217,47,2,13,58,2,2,16,1,61.0
3,265.15,265.95,96.8,105.32,672.55,741.42,0.15,0.13,292.65,316.27,35.0,27.57,51.8,47.8,305.89,356.71,47.22,27.77,13.27,12.2,100.85,76.0,19.11,14.08,387.91,380.81,15.18,11.56,1,0,5,80/,17,181,0.348,75/,2,18,76,4,5,10,4,92.0
1,265.15,232.6,96.8,85.1,672.55,600.25,0.15,0.18,292.65,240.0,35.0,30.29,51.8,47.93,305.89,269.94,47.22,24.65,13.27,10.7,100.85,85.47,19.11,16.82,387.91,306.53,15.18,19.3,1,0,5,60,21,157,0.248,59,11,8,64,4,5,14,4,83.0
2,265.15,248.5,96.8,97.45,672.55,706.25,0.15,0.22,292.65,275.18,35.0,38.83,51.8,38.08,305.89,367.94,47.22,30.44,13.27,17.89,100.85,96.0,19.11,15.64,387.91,365.94,15.18,12.82,1,0,3,51,8,91,0.473,47,5,6,36,1,0,12,1,62.0
8/,265.15,263.28,96.8,99.83,672.55,743.06,0.15,0.09,292.65,281.62,35.0,27.42,51.8,39.0,305.89,377.12,47.22,29.82,13.27,16.44,100.85,109.62,19.11,10.5,387.91,370.53,15.18,22.0,0,0,5,61,34,174,0.155,58,4,7,74,6,1,18,2,75.0
1,265.15,231.44,96.8,107.11,672.55,658.11,0.15,-0.06,292.65,244.69,35.0,31.5,51.8,41.56,305.89,315.12,47.22,38.25,13.27,15.25,100.85,82.31,19.11,23.18,387.91,329.0,15.18,16.33,1,0,4,54,19,132,0.265,52,5,9,51,5,1,25,2,72.5
3,265.15,278.1,96.8,118.1,672.55,774.9,0.15,0.19,292.65,295.44,35.0,39.29,51.8,45.38,305.89,355.11,47.22,37.77,13.27,11.09,100.85,141.67,19.11,16.31,387.91,393.56,15.18,12.1,0,0,4,52,28,150,0.160,49,2,8,69,4,0,12,0,60.0
1,265.15,265.95,96.8,105.32,672.55,741.42,0.15,0.13,292.65,316.27,35.0,27.57,51.8,47.8,305.89,356.71,47.22,27.77,13.27,12.2,100.85,76.0,19.11,14.08,387.91,380.81,15.18,11.56,1,0,3,53,10,89,0.483,50,1,4,47,2,2,6,3,59.0
1,265.15,254.88,96.8,102.71,672.55,777.65,0.15,0.16,292.65,285.64,35.0,34.64,51.8,61.69,305.89,434.36,47.22,29.77,13.27,18.5,100.85,86.18,19.11,17.3,387.91,383.79,15.18,9.44,1,0,3,54,17,106,0.349,50,3,4,46,0,2,6,2,62.0
1,265.15,263.28,96.8,99.83,672.55,743.06,0.15,0.09,292.65,281.62,35.0,27.42,51.8,39.0,305.89,377.12,47.22,29.82,13.27,16.44,100.85,109.62,19.11,10.5,387.91,370.53,15.18,22.0,0,0,5,65,30,201,0.174,61,9,8,92,2,5,10,1,84.0
1,265.15,248.5,96.8,97.45,672.55,706.25,0.15,0.22,292.65,275.18,35.0,38.83,51.8,38.08,305.89,367.94,47.22,30.44,13.27,17.89,100.85,96.0,19.11,15.64,387.91,365.94,15.18,12.82,1,0,3,46,11,97,0.361,43,10,6,42,1,2,8,1,62.0
1,265.15,278.1,96.8,118.1,672.55,774.9,0.15,0.19,292.65,295.44,35.0,39.29,51.8,45.38,305.89,355.11,47.22,37.77,13.27,11.09,100.85,141.67,19.11,16.31,387.91,393.56,15.18,12.1,1,0,5,64,21,169,0.254,58,10,9,72,4,0,10,2,79.0
0,265.15,231.44,96.8,107.11,672.55,658.11,0.15,-0.06,292.65,244.69,35.0,31.5,51.8,41.56,305.89,315.12,47.22,38.25,13.27,15.25,100.85,82.31,19.11,23.18,387.91,329.0,15.18,16.33,1,0,3,51,8,103,0.417,47,5,6,42,1,0,10,2,61.0
0,265.15,205.95,96.8,91.26,672.55,591.84,0.15,0.11,292.65,227.12,35.0,25.13,51.8,32.47,305.89,271.61,47.22,33.67,13.27,10.9,100.85,68.29,19.11,13.82,387.91,270.94,15.18,17.14,1,0,3,50,13,98,0.378,45,9,10,40,4,2,4,2,63.0
1,265.15,259.39,96.8,97.83,672.55,731.67,0.15,0.21,292.65,272.62,35.0,32.09,51.8,53.82,305.89,396.27,47.22,25.69,13.27,10.91,100.85,95.58,19.11,10.57,387.91,357.22,15.18,8.5,1,0,3,56,8,105,0.457,53,0,7,33,1,0,12,2,62.0
1,265.15,265.89,96.8,91.17,672.55,679.89,0.15,0.11,292.65,281.12,35.0,46.91,51.8,46.79,305.89,329.0,47.22,39.9,13.27,11.86,100.85,110.7,19.11,18.3,387.91,424.18,15.18,11.29,0,0,3,34,23,100,0.110,32,1,4,44,8,1,10,1,41.0
