Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,4,43,21,120,0.183,39,4,6,46,2,3,18,3,59.0,0,Oral Roberts,278.39,288.8,111.11,124.73,727.33,876.33,0.24,0.13,361.15,338.83,31.58,26.33,42.73,39.85,311.53,466.54,38.09,28.77,16.67,10.4,116.69,125.5,15.85,15.3,393.66,384.25,6.33,14.5
1,0,3,45,14,95,0.326,40,2,3,43,2,1,14,2,55.0,0,North Florida,278.39,246.26,111.11,105.58,727.33,677.11,0.24,0.11,361.15,313.29,31.58,30.77,42.73,38.8,311.53,305.53,38.09,37.92,16.67,16.2,116.69,78.13,15.85,12.75,393.66,323.72,6.33,15.0
0,0,5,58,23,133,0.263,54,4,5,53,2,2,22,1,75.0,1,Wyoming,278.39,263.88,111.11,109.12,727.33,718.29,0.24,0.29,361.15,277.73,31.58,27.08,42.73,46.33,311.53,313.38,38.09,25.0,16.67,21.14,116.69,118.69,15.85,13.0,393.66,358.16,6.33,11.89
0,0,3,34,24,105,0.095,32,1,4,39,6,1,14,5,43.0,0,Illinois,278.39,327.44,111.11,123.25,727.33,837.75,0.24,0.24,361.15,353.64,31.58,51.09,42.73,70.83,311.53,392.93,38.09,43.27,16.67,17.89,116.69,152.0,15.85,18.89,393.66,480.14,6.33,9.5
1,0,4,56,19,147,0.252,50,6,5,69,3,2,17,3,72.5,0,Iowa,278.39,265.56,111.11,102.56,727.33,717.0,0.24,0.16,361.15,303.2,31.58,29.31,42.73,37.33,311.53,344.62,38.09,33.25,16.67,14.55,116.69,103.75,15.85,14.3,393.66,371.47,6.33,7.62
0,0,4,60,21,138,0.283,57,1,8,54,6,1,2,2,63.0,0,Georgia,278.39,245.89,111.11,101.22,727.33,662.78,0.24,0.05,361.15,348.42,31.58,40.83,42.73,57.14,311.53,283.59,38.09,36.0,16.67,10.4,116.69,89.85,15.85,11.09,393.66,329.65,6.33,13.83
1,0,3,43,14,89,0.326,41,6,3,40,4,0,14,1,56.0,0,North Carolina,278.39,190.58,111.11,86.84,727.33,518.42,0.24,0.14,361.15,242.36,31.58,25.33,42.73,38.19,311.53,234.0,38.09,28.17,16.67,11.1,116.69,105.73,15.85,14.64,393.66,271.62,6.33,11.0
1,0,3,44,10,97,0.351,37,4,5,46,5,3,18,2,60.0,0,Oklahoma,278.39,233.33,111.11,97.72,727.33,653.94,0.24,0.16,361.15,356.55,31.58,23.15,42.73,44.07,311.53,380.23,38.09,28.9,16.67,12.11,116.69,125.0,15.85,17.0,393.66,353.17,6.33,6.0
1,0,3,43,12,98,0.316,40,6,7,53,1,2,2,0,52.0,2,Portland St.,278.39,226.88,111.11,96.53,727.33,673.41,0.24,0.23,361.15,257.71,31.58,36.25,42.73,41.38,311.53,331.53,38.09,37.5,16.67,10.7,116.69,77.62,15.85,12.09,393.66,306.47,6.33,14.3
1,0,3,54,25,115,0.252,50,1,2,46,4,0,12,1,61.0,0,Indiana St.,278.39,264.0,111.11,115.31,727.33,785.44,0.24,0.18,361.15,305.38,31.58,25.67,42.73,38.92,311.53,400.86,38.09,31.45,16.67,14.44,116.69,97.27,15.85,15.1,393.66,371.21,6.33,14.56
