Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,21,18,80,0.037,20,5,7,38,8,1,8,0,31.0,2,UNC Asheville,216.33,180.85,109.11,77.25,596.56,527.15,0.07,0.12,220.62,280.5,51.3,30.0,67.0,41.07,244.76,282.5,36.31,34.91,18.33,20.8,86.73,63.42,19.9,4.8,297.0,270.32,10.6,14.09
0,0,3,34,13,81,0.259,32,3,10,34,10,1,2,0,39.0,0,The Citadel,216.33,244.06,109.11,116.06,596.56,703.0,0.07,0.15,220.62,276.23,51.3,37.58,67.0,63.83,244.76,332.0,36.31,36.85,18.33,17.56,86.73,83.5,19.9,16.33,297.0,352.25,10.6,12.8
1,0,3,45,18,116,0.233,34,5,6,43,6,1,6,1,54.0,0,Saint Peter's,216.33,200.05,109.11,91.68,596.56,611.73,0.07,0.05,220.62,257.25,51.3,34.4,67.0,43.61,244.76,312.89,36.31,43.85,18.33,14.7,86.73,65.86,19.9,15.73,297.0,276.25,10.6,6.33
0,0,5,56,19,126,0.294,51,9,7,48,8,1,0,1,66.0,0,Lafayette,216.33,199.12,109.11,91.65,596.56,580.94,0.07,0.11,220.62,209.93,51.3,28.0,67.0,46.33,244.76,266.2,36.31,33.64,18.33,9.73,86.73,62.83,19.9,4.7,297.0,285.93,10.6,4.17
0,0,3,14,22,86,-0.093,11,0,1,28,14,2,0,3,16.0,0,Rutgers,216.33,271.8,109.11,128.93,596.56,728.93,0.07,0.16,220.62,275.64,51.3,37.0,67.0,50.36,244.76,297.29,36.31,38.93,18.33,20.22,86.73,107.69,19.9,18.18,297.0,388.57,10.6,13.33
0,0,3,29,14,98,0.153,29,2,4,37,5,5,4,1,38.0,0,Lehigh,216.33,201.7,109.11,88.7,596.56,590.35,0.07,0.14,220.62,240.06,51.3,30.23,67.0,44.0,244.76,301.71,36.31,32.75,18.33,27.91,86.73,67.69,19.9,13.64,297.0,287.44,10.6,6.17
1,0,4,32,24,104,0.077,28,13,6,47,11,3,4,2,50.0,0,Manhattan,216.33,178.21,109.11,86.37,596.56,538.74,0.07,0.09,220.62,194.31,51.3,37.53,67.0,43.84,244.76,254.12,36.31,38.39,18.33,12.2,86.73,54.93,19.9,13.69,297.0,268.12,10.6,13.3
0,0,3,19,18,82,0.012,18,0,6,25,6,2,0,3,21.0,2,Loyola Maryland,216.33,251.67,109.11,115.5,596.56,754.17,0.07,0.16,220.62,304.21,51.3,29.33,67.0,46.77,244.76,415.33,36.31,32.91,18.33,15.56,86.73,131.2,19.9,16.67,297.0,334.0,10.6,14.5
0,0,3,24,16,70,0.114,20,2,6,23,9,0,6,7,29.0,1,Quinnipiac,216.33,276.07,109.11,125.93,596.56,773.67,0.07,0.16,220.62,298.77,51.3,39.09,67.0,45.85,244.76,357.46,36.31,32.46,18.33,16.67,86.73,104.78,19.9,17.0,297.0,399.42,10.6,19.33
0,0,4,46,18,127,0.220,42,5,13,47,9,1,16,4,60.0,2,Middle Tenn.,216.33,240.33,109.11,106.93,596.56,677.53,0.07,0.17,220.62,277.83,51.3,30.85,67.0,56.29,244.76,293.57,36.31,39.36,18.33,12.17,86.73,59.15,19.9,13.54,297.0,324.04,10.6,14.1
