BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,232.6,241.29,85.1,103.53,600.25,697.82,0.18,0.11,240.0,272.93,30.29,30.83,47.93,46.86,269.94,346.73,24.65,29.0,10.7,13.25,85.47,57.57,16.82,10.38,306.53,314.62,19.3,9.22,1,0,3,45,16,105,0.276,44,3,6,45,1,1,19,4,58.5
2,232.6,236.78,85.1,104.17,600.25,623.39,0.18,0.18,240.0,243.38,30.29,34.08,47.93,42.2,269.94,261.0,24.65,34.23,10.7,23.67,85.47,81.31,16.82,9.7,306.53,340.41,19.3,21.0,1,0,4,54,20,123,0.276,47,4,10,33,7,1,28,0,73.0
1,232.6,261.67,85.1,103.11,600.25,727.44,0.18,0.29,240.0,288.4,30.29,32.46,47.93,42.69,269.94,354.69,24.65,30.23,10.7,23.2,85.47,119.2,16.82,15.11,306.53,350.59,19.3,11.57,1,0,4,73,19,177,0.305,68,2,11,85,6,1,18,2,85.0
3,232.6,256.31,85.1,115.44,600.25,680.69,0.18,0.11,240.0,257.33,30.29,26.58,47.93,40.5,269.94,289.13,24.65,27.23,10.7,14.75,85.47,130.0,16.82,13.4,306.53,350.2,19.3,10.56,0,0,5,58,23,158,0.222,52,3,9,57,4,1,24,1,74.0
2,232.6,245.33,85.1,80.33,600.25,626.61,0.18,0.21,240.0,290.14,30.29,31.38,47.93,51.14,269.94,313.87,24.65,23.57,10.7,11.2,85.47,90.17,16.82,13.0,306.53,342.31,19.3,9.43,0,0,3,31,8,96,0.240,31,2,7,33,2,0,4,4,35.0
2,232.6,328.76,85.1,122.12,600.25,876.71,0.18,0.13,240.0,376.43,30.29,33.31,47.93,35.6,269.94,405.0,24.65,44.1,10.7,16.8,85.47,99.75,16.82,17.09,306.53,424.28,19.3,12.22,1,0,4,57,15,140,0.300,51,5,10,45,9,1,17,2,71.5
3,232.6,271.83,85.1,109.83,600.25,715.5,0.18,0.3,240.0,288.5,30.29,39.36,47.93,47.4,269.94,321.88,24.65,46.45,10.7,17.8,85.47,123.83,16.82,16.08,306.53,424.33,19.3,6.45,0,0,5,68,26,170,0.247,64,5,13,69,8,6/,14,5,86.0
3,232.6,269.71,85.1,105.06,600.25,651.29,0.18,0.23,240.0,310.57,30.29,34.25,47.93,37.29,269.94,279.6,24.65,25.62,10.7,19.22,85.47,134.27,16.82,18.1,306.53,369.22,19.3,13.56,0,0,4,46,19,126,0.214,46,3,8,30,7,3,20,4,62.0
0,232.6,255.22,85.1,106.0,600.25,665.06,0.18,0.11,240.0,269.94,30.29,35.62,47.93,50.44,269.94,300.44,24.65,40.1,10.7,17.82,85.47,109.0,16.82,11.5,306.53,369.19,19.3,14.62,1,0,3,47,12,110,0.318,42,6,6,46,4,1,10,3,59.0
5,232.6,267.95,85.1,104.53,600.25,710.21,0.18,0.19,240.0,293.44,30.29,27.08,47.93,44.0,269.94,308.5,24.65,29.91,10.7,14.33,85.47,98.77,16.82,11.08,306.53,347.61,19.3,4.78,1,0,5,64,17,151,0.311,56,4,8,51,5,1,16,3,77.0
1,232.6,242.72,85.1,112.39,600.25,696.61,0.18,0.09,240.0,276.33,30.29,31.0,47.93,50.53,269.94,329.94,24.65,33.33,10.7,8.18,85.47,96.73,16.82,10.5,306.53,319.12,19.3,10.88,1,0,3,43,8,88,0.398,38,1,7,27,2,0,14,1,51.0
4,232.6,267.88,85.1,111.53,600.25,717.29,0.18,0.16,240.0,284.47,30.29,35.0,47.93,51.67,269.94,326.53,24.65,40.85,10.7,16.18,85.47,74.0,16.82,16.33,306.53,382.53,19.3,9.75,1,0,5,71,28,157,0.274,65,4,12,53,3,2,6,2,80.0
1,232.6,178.42,85.1,86.68,600.25,537.32,0.18,0.18,240.0,199.62,30.29,28.79,47.93,27.12,269.94,256.59,24.65,28.64,10.7,9.56,85.47,72.43,16.82,15.27,306.53,243.67,19.3,20.62,1,0,4,61,24,146,0.253,57,7,10,64,1,1,18,3,78.0
0,232.6,230.81,85.1,111.88,600.25,705.94,0.18,0.16,240.0,288.17,30.29,42.0,47.93,51.27,269.94,356.86,24.65,34.08,10.7,9.44,85.47,84.58,16.82,12.73,306.53,313.7,19.3,10.0,1,0,4,61,22,159,0.245,60,6,16,71,9,1,12,0,74.0
3,232.6,159.85,85.1,64.0,600.25,458.05,0.18,0.2,240.0,187.0,30.29,28.46,47.93,32.86,269.94,227.28,24.65,25.73,10.7,12.2,85.47,65.0,16.82,13.5,306.53,212.97,19.3,17.0,1,0,4,59,12,125,0.376,51,5,9,57,7,1,10,1,70.0
4,232.6,210.61,85.1,93.56,600.25,591.17,0.18,-0.05,240.0,253.43,30.29,39.55,47.93,55.82,269.94,286.6,24.65,40.5,10.7,16.71,85.47,139.0,16.82,14.1,306.53,296.35,19.3,11.2,0,0,4,54,22,144,0.222,52,4,5,61,9,1,14,4,66.0
2,232.6,210.61,85.1,92.72,600.25,617.83,0.18,0.15,240.0,239.0,30.29,31.92,47.93,43.0,269.94,291.65,24.65,33.85,10.7,11.5,85.47,67.0,16.82,10.5,306.53,299.38,19.3,13.0,1,0,3,43,11,102,0.314,36,3,9,40,1,2,20,0,58.0
