Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,20,24,82,-0.049,20,4,4,28,4,0,2,1,25.0,1,Missouri,210.87,308.27,111.27,119.73,604.07,792.07,-0.02,0.29,257.91,327.46,44.45,45.27,59.73,63.55,291.92,339.71,50.0,54.11,10.89,21.5,59.27,117.9,10.3,11.33,339.67,423.32,8.62,10.5
0,0,3,19,23,83,-0.048,17,0,3,27,10,0,2,5,20.0,1,James Madison,210.87,209.81,111.27,84.43,604.07,602.1,-0.02,0.25,257.91,269.87,44.45,34.67,59.73,53.36,291.92,323.71,50.0,27.31,10.89,10.2,59.27,139.8,10.3,14.2,339.67,312.39,8.62,10.11
0,0,3,25,20,92,0.054,25,4,4,37,5,1,2,2,31.0,2,Fairfield,210.87,207.37,111.27,104.68,604.07,613.42,-0.02,0.19,257.91,268.0,44.45,33.42,59.73,33.8,291.92,321.06,50.0,35.58,10.89,12.36,59.27,65.93,10.3,10.75,339.67,274.36,8.62,34.83
0,0,3,18,21,97,-0.031,17,1,8,45,7,1,8,2,24.0,1,Cal St. Fullerton,210.87,153.35,111.27,70.26,604.07,458.65,-0.02,0.08,257.91,183.56,44.45,22.22,59.73,24.89,291.92,217.71,50.0,28.38,10.89,7.73,59.27,52.88,10.3,15.1,339.67,211.14,8.62,11.0
0,0,3,28,23,97,0.052,27,2,9,31,6,2,6,3,35.0,1,Bucknell,210.87,176.85,111.27,79.25,604.07,521.1,-0.02,0.19,257.91,206.44,44.45,29.83,59.73,37.0,291.92,251.83,50.0,30.17,10.89,15.0,59.27,64.0,10.3,10.33,339.67,281.88,8.62,17.71
0,0,3,30,18,84,0.143,26,6,8,33,7,1,4,1,39.0,0,St. Francis Brooklyn,210.87,204.83,111.27,93.22,604.07,586.83,-0.02,0.15,257.91,199.24,44.45,33.87,59.73,45.21,291.92,264.06,50.0,42.38,10.89,15.86,59.27,67.85,10.3,14.25,339.67,279.24,8.62,8.64
0,0,4,34,25,146,0.062,33,11,6,67,4,1,16,2,54.0,2,NJIT,210.87,206.33,111.27,119.5,604.07,663.61,-0.02,0.07,257.91,205.0,44.45,31.86,59.73,47.29,291.92,279.22,50.0,32.47,10.89,13.6,59.27,75.08,10.3,10.77,339.67,281.41,8.62,16.22
0,0,3,25,12,66,0.197,21,7,9,22,7,1,2,0,34.0,0,American,210.87,270.0,111.27,103.76,604.07,734.29,-0.02,0.28,257.91,304.93,44.45,35.08,59.73,50.87,291.92,354.47,50.0,33.92,10.89,14.58,59.27,95.36,10.3,12.91,339.67,365.84,8.62,10.12
1,0,4,51,21,143,0.210,48,9,15,52,4,3,12,1,69.0,3,N.C. A&T,210.87,185.65,111.27,101.06,604.07,526.24,-0.02,0.09,257.91,203.21,44.45,44.5,59.73,51.14,291.92,221.44,50.0,29.79,10.89,12.64,59.27,61.0,10.3,9.78,339.67,313.5,8.62,12.86
0,0,3,17,15,75,0.027,16,5,5,28,9,0,2,1,23.0,0,UNC Greensboro,210.87,211.5,111.27,94.78,604.07,632.5,-0.02,0.19,257.91,237.07,44.45,32.83,59.73,43.73,291.92,323.56,50.0,31.54,10.89,7.55,59.27,83.0,10.3,10.17,339.67,278.85,8.62,11.7
