Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,5,50,29,164,0.128,46,8,9,60,5,1,24,1,71.0,1,UC Irvine,237.39,220.89,95.06,90.28,614.0,626.44,0.09,0.12,262.6,265.36,44.83,31.36,41.12,43.67,280.06,305.38,32.23,36.92,11.33,14.78,98.17,74.07,12.5,12.1,323.65,316.66,12.1,7.55
0,0,5,64,23,165,0.248,63,4,10,67,8,1,19,1,78.5,1,Utah,237.39,306.71,95.06,117.59,614.0,801.12,0.09,0.23,262.6,326.47,44.83,33.73,41.12,40.69,280.06,377.2,32.23,32.64,11.33,13.2,98.17,118.67,12.5,13.67,323.65,437.6,12.1,9.86
1,0,5,65,26,173,0.225,60,6,10,69,1,0,10,1,76.0,9/,UC Santa Barbara,237.39,219.9,95.06,84.5,614.0,623.8,0.09,0.2,262.6,275.33,44.83,32.64,41.12,56.21,280.06,328.47,32.23,29.23,11.33,12.44,98.17,74.23,12.5,9.18,323.65,320.56,12.1,12.56
1,0,3,49,12,85,0.435,45,5,3,32,1,0,12,0,60.0,0,McNeese,237.39,232.22,95.06,95.11,614.0,657.89,0.09,0.11,262.6,261.73,44.83,33.62,41.12,55.93,280.06,308.0,32.23,46.0,11.33,17.57,98.17,93.38,12.5,11.67,323.65,314.53,12.1,16.7
1,0,5,68,22,166,0.277,66,6,5,82,12,2,8,3,80.0,2,Sacramento St.,237.39,276.88,95.06,117.12,614.0,815.81,0.09,0.15,262.6,319.23,44.83,51.73,41.12,63.82,280.06,411.0,32.23,53.5,11.33,18.67,98.17,115.0,12.5,15.67,323.65,386.63,12.1,13.43
1,0,3,49,15,88,0.386,44,7,8,29,2,1,16,1,65.0,0,Fairleigh Dickinson,237.39,188.39,95.06,95.39,614.0,601.11,0.09,0.02,262.6,197.44,44.83,25.0,41.12,30.31,280.06,279.65,32.23,36.0,11.33,9.64,98.17,64.64,12.5,9.23,323.65,270.28,12.1,10.1
1,0,3,39,8,63,0.492,37,7,8,36,1,1,16,1,55.0,0,Saint Peter's,237.39,200.05,95.06,91.68,614.0,611.73,0.09,0.05,262.6,257.25,44.83,34.4,41.12,43.61,280.06,312.89,32.23,43.85,11.33,14.7,98.17,65.86,12.5,15.73,323.65,276.25,12.1,6.33
1,0,3,46,10,95,0.379,44,7,7,34,2,0,18,1,62.0,0,Idaho St.,237.39,284.59,95.06,114.06,614.0,774.76,0.09,0.18,262.6,460.3,44.83,46.0,41.12,40.57,280.06,348.56,32.23,40.0,11.33,19.11,98.17,113.83,12.5,16.4,323.65,413.27,12.1,14.17
1,0,3,41,20,103,0.204,35,7,3,46,4,1,14,0,56.0,1,Navy,237.39,188.96,95.06,85.74,614.0,553.09,0.09,0.21,262.6,227.72,44.83,42.82,41.12,55.75,280.06,292.68,32.23,38.18,11.33,27.75,98.17,80.43,12.5,11.0,323.65,280.1,12.1,13.25
1,0,3,45,13,84,0.381,41,14,6,37,3,0,4,0,61.0,3,UMES,237.39,218.36,95.06,94.0,614.0,583.93,0.09,0.15,262.6,215.31,44.83,50.3,41.12,59.0,280.06,248.38,32.23,52.6,11.33,14.11,98.17,67.8,12.5,14.33,323.65,309.69,12.1,12.44
