BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,210.61,201.7,92.72,88.7,617.83,590.35,0.15,0.14,239.0,240.06,31.92,30.23,43.0,44.0,291.65,301.71,33.85,32.75,11.5,27.91,67.0,67.69,10.5,13.64,299.38,287.44,13.0,6.17,0,0,4,43,24,142,0.134,40,8,4,60,6,3,6,4,57.0
0,210.61,199.12,92.72,91.65,617.83,580.94,0.15,0.11,239.0,209.93,31.92,28.0,43.0,46.33,291.65,266.2,33.85,33.64,11.5,9.73,67.0,62.83,10.5,4.7,299.38,285.93,13.0,4.17,1,0,3,38,13,94,0.266,34,10,4,41,3,4,4,1,54.0
0,210.61,201.48,92.72,88.24,617.83,658.62,0.15,0.2,239.0,231.06,31.92,29.4,43.0,43.62,291.65,337.1,33.85,27.2,11.5,15.36,67.0,84.77,10.5,11.09,299.38,299.56,13.0,15.83,1,0,5,59,23,165,0.218,58,8,11,94,8,0,22,3,78.0
1,210.61,299.25,92.72,119.56,617.83,811.25,0.15,0.21,239.0,369.0,31.92,61.45,43.0,83.08,291.65,391.57,33.85,59.9,11.5,16.4,67.0,105.64,10.5,16.45,299.38,413.93,13.0,11.4,0,0,4,51,28,159,0.145,49,4,11,81,9,3,8,0,62.0
1,210.61,227.65,92.72,108.18,617.83,721.12,0.15,0.07,239.0,259.93,31.92,26.29,43.0,32.73,291.65,377.0,33.85,33.08,11.5,14.78,67.0,73.54,10.5,14.55,299.38,323.27,13.0,9.73,0,0,3,41,13,130,0.215,38,3,6,65,4,2,14,2,53.0
0,210.61,178.21,92.72,86.37,617.83,538.74,0.15,0.09,239.0,194.31,31.92,37.53,43.0,43.84,291.65,254.12,33.85,38.39,11.5,12.2,67.0,54.93,10.5,13.69,299.38,268.12,13.0,13.3,1,0,3,32,13,87,0.218,31,7,7,42,4,0,4,0,41.0
2,210.61,236.61,92.72,105.56,617.83,668.33,0.15,0.07,239.0,265.8,31.92,31.31,43.0,41.47,291.65,305.65,33.85,25.79,11.5,14.27,67.0,95.42,10.5,14.09,299.38,317.38,13.0,16.73,0,0,3,26,17,103,0.087,24,0,7,49,8,2,9,0,32.5
0,210.61,213.5,92.72,95.11,617.83,655.06,0.15,0.14,239.0,275.85,31.92,30.33,43.0,42.2,291.65,336.56,33.85,33.73,11.5,16.64,67.0,55.43,10.5,8.0,299.38,298.62,13.0,12.36,0,0,4,53,23,169,0.178,51,3,8,72,4,0,2,0,57.0
1,210.61,225.38,92.72,105.48,617.83,671.95,0.15,0.11,239.0,232.74,31.92,36.92,43.0,49.71,291.65,327.74,33.85,35.25,11.5,14.82,67.0,82.87,10.5,13.69,299.38,299.88,13.0,19.5,0,0,4,28,21,126,0.056,26,4,11,60,9,1,16,2,41.0
1,210.61,265.39,92.72,112.06,617.83,751.83,0.15,0.05,239.0,298.6,31.92,36.4,43.0,74.2,291.65,390.93,33.85,24.14,11.5,13.1,67.0,107.45,10.5,13.18,299.38,366.44,13.0,8.86,0,0,3,28,16,91,0.132,28,2,5,37,2,0,6,4,33.0
2,210.61,297.94,92.72,118.35,617.83,850.76,0.15,0.2,239.0,339.64,31.92,39.83,43.0,51.64,291.65,419.69,33.85,37.92,11.5,15.9,67.0,89.0,10.5,13.4,299.38,392.53,13.0,12.38,1,0,3,34,14,93,0.215,30,3,5,50,4,2,20,1,49.0
1,210.61,159.85,92.72,64.0,617.83,458.05,0.15,0.2,239.0,187.0,31.92,28.46,43.0,32.86,291.65,227.28,33.85,25.73,11.5,12.2,67.0,65.0,10.5,13.5,299.38,212.97,13.0,17.0,0,0,3,29,22,118,0.059,28,3,0,54,3,1,4,1,35.0
3,210.61,210.61,92.72,93.56,617.83,591.17,0.15,-0.05,239.0,253.43,31.92,39.55,43.0,55.82,291.65,286.6,33.85,40.5,11.5,16.71,67.0,139.0,10.5,14.1,299.38,296.35,13.0,11.2,0,0,4,50,27,158,0.146,46,8,5,70,3,2,10,0,65.0
1,210.61,219.56,92.72,93.06,617.83,641.22,0.15,0.11,239.0,246.2,31.92,26.36,43.0,38.0,291.65,316.19,33.85,34.0,11.5,10.14,67.0,96.92,10.5,13.5,299.38,310.84,13.0,27.0,1,0,5,52,28,202,0.119,47,6,8,90,4,0,12,2,64.0
2,210.61,173.63,92.72,84.05,617.83,515.89,0.15,0.18,239.0,206.8,31.92,29.54,43.0,41.53,291.65,245.76,33.85,34.5,11.5,8.55,67.0,85.92,10.5,9.0,299.38,238.47,13.0,20.4,0,0,3,29,18,95,0.116,26,6,2,39,6,0,16,2,43.0
1,210.61,232.6,92.72,85.1,617.83,600.25,0.15,0.18,239.0,240.0,31.92,30.29,43.0,47.93,291.65,269.94,33.85,24.65,11.5,10.7,67.0,85.47,10.5,16.82,299.38,306.53,13.0,19.3,0,0,3,30,20,97,0.103,29,1,6,44,3,0,8,1,35.0
1,210.61,188.21,92.72,81.26,617.83,527.11,0.15,0.15,239.0,222.47,31.92,37.33,43.0,47.06,291.65,241.39,33.85,35.93,11.5,11.38,67.0,69.75,10.5,13.55,299.38,283.34,13.0,9.75,1,0,4,51,20,141,0.220,48,5,8,59,4,2,12,0,64.0
