BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,271.88,247.24,105.76,89.59,754.41,608.29,0.24,0.25,289.93,284.07,26.21,40.64,40.69,40.0,356.06,279.2,29.09,27.71,18.8,13.85,105.23,74.18,14.5,12.0,366.31,327.38,14.88,8.17,1,0,3,45,12,108,0.306,42,5,3,35,2,4,16,1,62.0
0,271.88,263.28,105.76,99.83,754.41,743.06,0.24,0.09,289.93,281.62,26.21,27.42,40.69,39.0,356.06,377.12,29.09,29.82,18.8,16.44,105.23,109.62,14.5,10.5,366.31,370.53,14.88,22.0,0,0,4,42,24,149,0.121,42,3,7,71,3,1,10,1,51.0
0,271.88,221.9,105.76,95.86,754.41,616.48,0.24,0.23,289.93,272.56,26.21,41.92,40.69,52.75,356.06,283.79,29.09,37.92,18.8,15.3,105.23,128.64,14.5,13.67,366.31,354.32,14.88,13.7,1,0,3,45,19,118,0.220,41,1,7,47,3,2,18,3,57.0
1,271.88,228.05,105.76,109.47,754.41,642.47,0.24,0.07,289.93,289.5,26.21,30.0,40.69,47.27,356.06,299.69,29.09,35.27,18.8,15.7,105.23,111.31,14.5,15.17,366.31,348.34,14.88,16.67,0,0,4,47,25,128,0.172,45,8,16,45,4,4,18,2,68.0
2,271.88,205.94,105.76,102.89,754.41,608.78,0.24,0.16,289.93,229.07,26.21,27.73,40.69,36.0,356.06,283.56,29.09,26.64,18.8,13.75,105.23,68.08,14.5,10.85,366.31,266.5,14.88,12.3,1,0,3,44,10,106,0.321,44,5,7,51,3,1,12,3,56.0
2,271.88,203.1,105.76,96.65,754.41,577.35,0.24,0.08,289.93,237.62,26.21,24.29,40.69,45.25,356.06,260.0,29.09,23.31,18.8,10.7,105.23,108.5,14.5,18.42,366.31,286.67,14.88,10.22,0,0,5,67,28,183,0.213,65,3,11,97,4,2,16,1,80.0
2,271.88,167.77,105.76,79.09,754.41,494.23,0.24,0.13,289.93,227.2,26.21,31.79,40.69,44.12,356.06,228.8,29.09,36.38,18.8,14.22,105.23,58.71,14.5,7.14,366.31,250.68,14.88,16.29,1,0,3,50,10,102,0.392,45,1,8,52,0,0,10,1,56.0
1,271.88,151.0,105.76,66.14,754.41,431.48,0.24,0.14,289.93,230.15,26.21,29.4,40.69,29.5,356.06,217.72,29.09,22.5,18.8,10.38,105.23,54.12,14.5,7.73,366.31,213.68,14.88,9.11,1,0,4,52,20,149,0.215,46,3,7,72,3,4,16,1,67.0
0,271.88,263.28,105.76,99.83,754.41,743.06,0.24,0.09,289.93,281.62,26.21,27.42,40.69,39.0,356.06,377.12,29.09,29.82,18.8,16.44,105.23,109.62,14.5,10.5,366.31,370.53,14.88,22.0,0,0,3,40,18,118,0.186,37,0,2,46,4,1,6,0,44.0
0,271.88,225.33,105.76,115.1,754.41,626.71,0.24,0.06,289.93,230.11,26.21,42.56,40.69,41.83,356.06,289.78,29.09,43.41,18.8,24.4,105.23,78.54,14.5,12.9,366.31,324.61,14.88,11.54,1,0,3,31,7,62,0.387,28,12,5,30,0,3,14,1,53.0
