Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,19,24,99,-0.051,18,1,2,38,9,1,0,0,21.0,1,Western Ill.,188.39,167.77,95.39,79.09,601.11,494.23,0.02,0.13,197.44,227.2,25.0,31.79,30.31,44.12,279.65,228.8,36.0,36.38,9.64,14.22,64.64,58.71,9.23,7.14,270.28,250.68,10.1,16.29
0,0,4,45,23,134,0.164,44,7,4,62,11,3,14,0,62.0,5,Tennessee Tech,188.39,236.5,95.39,118.22,601.11,703.33,0.02,0.09,197.44,285.79,25.0,38.25,30.31,57.0,279.65,385.57,36.0,40.64,9.64,15.3,64.64,86.0,9.23,13.2,270.28,336.56,10.1,13.8
0,0,4,36,24,142,0.085,33,4,2,63,4,2,8,1,46.0,2,Evansville,188.39,242.72,95.39,112.39,601.11,696.61,0.02,0.09,197.44,276.33,25.0,31.0,30.31,50.53,279.65,329.94,36.0,33.33,9.64,8.18,64.64,96.73,9.23,10.5,270.28,319.12,10.1,10.88
0,0,4,28,20,125,0.064,25,7,7,55,11,0,18,0,44.0,1,Brown,188.39,168.05,95.39,66.95,601.11,488.55,0.02,0.15,197.44,203.12,25.0,31.58,30.31,38.08,279.65,246.37,36.0,26.33,9.64,11.1,64.64,71.14,9.23,13.5,270.28,234.25,10.1,19.11
0,0,3,23,16,94,0.074,21,2,6,35,2,0,6,2,28.0,1,Providence,188.39,243.56,95.39,106.94,601.11,672.25,0.02,0.09,197.44,330.18,25.0,38.45,30.31,52.0,279.65,339.31,36.0,47.3,9.64,13.78,64.64,80.0,9.23,11.5,270.28,348.86,10.1,11.83
0,0,5,54,22,192,0.167,50,6,9,86,8,2,18,6,71.0,0,UMass Lowell,188.39,181.11,95.39,95.33,601.11,541.39,0.02,0.09,197.44,202.53,25.0,26.14,30.31,35.47,279.65,230.47,36.0,31.15,9.64,11.75,64.64,63.69,9.23,7.62,270.28,243.18,10.1,20.75
0,0,3,23,16,74,0.095,16,2,0,18,7,1,4,0,28.0,2,Denver,188.39,237.39,95.39,95.06,601.11,614.0,0.02,0.09,197.44,262.6,25.0,44.83,30.31,41.12,279.65,280.06,36.0,32.23,9.64,11.33,64.64,98.17,9.23,12.5,270.28,323.65,10.1,12.1
1,0,3,48,15,103,0.320,44,5,1,43,4,4,10,2,62.0,0,Saint Peter's,188.39,200.05,95.39,91.68,601.11,611.73,0.02,0.05,197.44,257.25,25.0,34.4,30.31,43.61,279.65,312.89,36.0,43.85,9.64,14.7,64.64,65.86,9.23,15.73,270.28,276.25,10.1,6.33
0,0,3,22,11,71,0.155,22,3,3,25,7,1,10,2,31.0,0,Idaho St.,188.39,284.59,95.39,114.06,601.11,774.76,0.02,0.18,197.44,460.3,25.0,46.0,30.31,40.57,279.65,348.56,36.0,40.0,9.64,19.11,64.64,113.83,9.23,16.4,270.28,413.27,10.1,14.17
0,0,3,29,21,88,0.091,28,0,5,24,9,0,6,0,32.0,0,Hartford,188.39,206.88,95.39,79.56,601.11,543.94,0.02,0.18,197.44,220.79,25.0,31.7,30.31,35.46,279.65,227.47,36.0,28.83,9.64,11.7,64.64,67.17,9.23,9.45,270.28,276.47,10.1,11.83
1,0,5,60,21,154,0.253,57,5,9,58,4,1,17,0,74.5,0,Delaware St.,188.39,210.87,95.39,111.27,601.11,604.07,0.02,-0.02,197.44,257.91,25.0,44.45,30.31,59.73,279.65,291.92,36.0,50.0,9.64,10.89,64.64,59.27,9.23,10.3,270.28,339.67,10.1,8.62
0,0,3,23,17,98,0.061,22,2,5,43,10,0,12,0,31.0,0,Lafayette,188.39,199.12,95.39,91.65,601.11,580.94,0.02,0.11,197.44,209.93,25.0,28.0,30.31,46.33,279.65,266.2,36.0,33.64,9.64,9.73,64.64,62.83,9.23,4.7,270.28,285.93,10.1,4.17
