BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,219.56,297.94,93.06,118.35,641.22,850.76,0.11,0.2,246.2,339.64,26.36,39.83,38.0,51.64,316.19,419.69,34.0,37.92,10.14,15.9,96.92,89.0,13.5,13.4,310.84,392.53,27.0,12.38,0,0,3,32,20,100,0.120,30,3,7,44,7,1,6,1,39.0
2,219.56,205.24,93.06,91.88,641.22,610.06,0.11,0.1,246.2,235.21,26.36,32.58,38.0,34.29,316.19,276.75,34.0,31.42,10.14,16.11,96.92,110.3,13.5,13.23,310.84,326.89,27.0,8.09,1,0,4,62,33,165,0.176,59,6,8,83,5,0,20,2,78.0
1,219.56,244.41,93.06,113.94,641.22,693.06,0.11,0.21,246.2,244.94,26.36,39.62,38.0,44.47,316.19,311.94,34.0,46.25,10.14,11.8,96.92,82.77,13.5,9.38,310.84,332.88,27.0,20.0,0,0,5,62,22,172,0.233,57,3,18/,70,9,0,14,0,72.0
1,219.56,244.53,93.06,96.47,641.22,708.05,0.11,0.17,246.2,310.64,26.36,30.38,38.0,39.81,316.19,334.33,34.0,28.29,10.14,18.83,96.92,96.0,13.5,25.09,310.84,346.53,27.0,10.22,0,0,4,39,26,144,0.090,36,7,7,61,1,0,12,0,52.0
3,219.56,296.17,93.06,138.89,641.22,853.06,0.11,0.17,246.2,312.44,26.36,41.08,38.0,52.5,316.19,389.88,34.0,42.36,10.14,19.25,96.92,104.08,13.5,16.27,310.84,388.38,27.0,21.67,1,0,5,52,25,161,0.168,48,6,10,61,6,1,14,1,66.0
0,219.56,299.25,93.06,119.56,641.22,811.25,0.11,0.21,246.2,369.0,26.36,61.45,38.0,83.08,316.19,391.57,34.0,59.9,10.14,16.4,96.92,105.64,13.5,16.45,310.84,413.93,27.0,11.4,0,0,4,34,15,110,0.173,31,7,9,35,12/,2,8,0,47.0
1,219.56,205.94,93.06,102.89,641.22,608.78,0.11,0.16,246.2,229.07,26.36,27.73,38.0,36.0,316.19,283.56,34.0,26.64,10.14,13.75,96.92,68.08,13.5,10.85,310.84,266.5,27.0,12.3,1,0,5,64,36,171,0.164,62,9,6,68,4,0,22,2,84.0
2,219.56,153.35,93.06,70.26,641.22,458.65,0.11,0.08,246.2,183.56,26.36,22.22,38.0,24.89,316.19,217.71,34.0,28.38,10.14,7.73,96.92,52.88,13.5,15.1,310.84,211.14,27.0,11.0,1,0,3,36,9,103,0.262,36,4,2,43,3,0,20,4,50.0
0,219.56,178.21,93.06,86.37,641.22,538.74,0.11,0.09,246.2,194.31,26.36,37.53,38.0,43.84,316.19,254.12,34.0,38.39,10.14,12.2,96.92,54.93,13.5,13.69,310.84,268.12,27.0,13.3,1,0,3,42,9,68,0.485,41,7,8,24,5,0,6,1,52.0
0,219.56,190.24,93.06,83.35,641.22,541.06,0.11,0.13,246.2,200.33,26.36,24.27,38.0,37.73,316.19,237.44,34.0,26.69,10.14,12.11,96.92,71.58,13.5,13.9,310.84,258.53,27.0,9.67,0,0,3,28,24,120,0.033,25,1,5,48,2,0,13,5,35.5
