Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,4,52,22,144,0.208,45,3,7,54,10,1,12,1,62.0,0,Illinois St.,293.07,259.39,120.13,97.83,865.0,731.67,0.17,0.21,316.62,272.62,32.83,32.09,46.67,53.82,428.93,396.27,31.33,25.69,14.55,10.91,78.67,95.58,13.73,10.57,387.29,357.22,14.88,8.5
0,0,3,36,15,122,0.172,30,3,7,59,7,0,12,0,45.0,2,Georgia,293.07,245.89,120.13,101.22,865.0,662.78,0.17,0.05,316.62,348.42,32.83,40.83,46.67,57.14,428.93,283.59,31.33,36.0,14.55,10.4,78.67,89.85,13.73,11.09,387.29,329.65,14.88,13.83
0,0,5,50,29,171,0.123,49,5,9,76,3,2,16,5,65.0,0,Marshall,293.07,241.29,120.13,103.53,865.0,697.82,0.17,0.11,316.62,272.93,32.83,30.83,46.67,46.86,428.93,346.73,31.33,29.0,14.55,13.25,78.67,57.57,13.73,10.38,387.29,314.62,14.88,9.22
0,0,3,37,20,125,0.136,36,6,9,51,5,0,14,1,50.0,0,Loyola Chicago,293.07,247.12,120.13,98.59,865.0,680.76,0.17,0.2,316.62,396.9,32.83,47.22,46.67,49.64,428.93,329.4,31.33,36.83,14.55,14.0,78.67,107.91,13.73,12.2,387.29,381.82,14.88,9.75
1,0,3,43,13,111,0.270,39,7,2,51,3,0,2,0,51.0,1,Georgia St.,293.07,184.05,120.13,89.21,865.0,544.74,0.17,0.14,316.62,204.06,32.83,23.86,46.67,32.88,428.93,244.17,31.33,27.46,14.55,12.92,78.67,61.6,13.73,8.91,387.29,247.11,14.88,9.8
1,0,4,63,29,169,0.201,61,4,8,71,4,0,10,1,72.0,3,USC Upstate,293.07,284.0,120.13,131.19,865.0,850.25,0.17,0.15,316.62,281.07,32.83,34.07,46.67,50.93,428.93,386.27,31.33,42.0,14.55,22.91,78.67,101.64,13.73,13.42,387.29,388.8,14.88,10.29
1,0,5,60,20,160,0.250,57,9,10,73,8,0,16,3,77.0,3,New Mexico,293.07,228.05,120.13,109.47,865.0,642.47,0.17,0.07,316.62,289.5,32.83,30.0,46.67,47.27,428.93,299.69,31.33,35.27,14.55,15.7,78.67,111.31,13.73,15.17,387.29,348.34,14.88,16.67
1,0,4,64,17,159,0.296,57,9,6,78,2,4,10,1,82.0,4,North Florida,293.07,246.26,120.13,105.58,865.0,677.11,0.17,0.11,316.62,313.29,32.83,30.77,46.67,38.8,428.93,305.53,31.33,37.92,14.55,16.2,78.67,78.13,13.73,12.75,387.29,323.72,14.88,15.0
0,0,4,62,21,172,0.238,61,6,6,76,3,1,6,0,72.0,0,Winthrop,293.07,215.15,120.13,95.6,865.0,646.25,0.17,0.16,316.62,283.5,32.83,37.85,46.67,34.31,428.93,321.67,31.33,35.0,14.55,15.3,78.67,72.0,13.73,9.73,387.29,298.89,14.88,10.88
0,0,4,42,23,164,0.116,42,3,7,83,6,5,12,4,56.0,2,Samford,293.07,263.5,120.13,108.95,865.0,754.65,0.17,0.16,316.62,380.92,32.83,52.1,46.67,61.08,428.93,445.8,31.33,45.09,14.55,18.2,78.67,122.8,13.73,21.44,387.29,470.5,14.88,15.71
0,0,3,40,18,105,0.210,38,2,8,49,5,0,8,1,46.0,0,Chattanooga,293.07,166.13,120.13,70.96,865.0,485.35,0.17,0.18,316.62,271.23,32.83,40.17,46.67,55.43,428.93,249.35,31.33,36.54,14.55,10.64,78.67,60.07,13.73,9.91,387.29,268.92,14.88,28.57
1,0,3,46,14,122,0.262,46,1,4,55,5,4,0,3,51.0,3,Mercer,293.07,233.0,120.13,100.65,865.0,638.94,0.17,0.11,316.62,262.29,32.83,32.69,46.67,52.93,428.93,328.29,31.33,39.91,14.55,21.0,78.67,88.4,13.73,26.56,387.29,333.07,14.88,9.88
1,0,3,46,13,97,0.340,41,7,7,47,1,0,10,2,58.0,0,The Citadel,293.07,244.06,120.13,116.06,865.0,703.0,0.17,0.15,316.62,276.23,32.83,37.58,46.67,63.83,428.93,332.0,31.33,36.85,14.55,17.56,78.67,83.5,13.73,16.33,387.29,352.25,14.88,12.8
0,0,4,59,32,179,0.151,57,3,13,79,1,5,6,2,70.0,0,Western Caro.,293.07,215.94,120.13,92.33,865.0,665.0,0.17,0.12,316.62,254.86,32.83,38.7,46.67,41.85,428.93,318.53,31.33,35.73,14.55,14.7,78.67,57.15,13.73,17.7,387.29,299.53,14.88,8.11
0,0,4,45,24,148,0.142,41,1,8,60,6,5,4,0,53.0,0,ETSU,293.07,309.0,120.13,122.69,865.0,852.31,0.17,0.16,316.62,421.91,32.83,37.09,46.67,62.38,428.93,419.0,31.33,35.18,14.55,20.89,78.67,120.5,13.73,25.89,387.29,409.5,14.88,8.75
1,0,3,36,14,102,0.216,31,9,7,57,3,3,2,0,49.0,2,Wofford,293.07,214.0,120.13,99.89,865.0,625.37,0.17,0.06,316.62,250.73,32.83,42.36,46.67,62.92,428.93,342.07,31.33,43.91,14.55,12.7,78.67,68.13,13.73,16.0,387.29,323.12,14.88,11.0
1,0,3,45,12,127,0.260,44,6,6,76,5,2,12,2,59.0,0,UNC Greensboro,293.07,211.5,120.13,94.78,865.0,632.5,0.17,0.19,316.62,237.07,32.83,32.83,46.67,43.73,428.93,323.56,31.33,31.54,14.55,7.55,78.67,83.0,13.73,10.17,387.29,278.85,14.88,11.7
0,0,5,70,28,192,0.219,66,5,7,102,9,2,18,0,86.0,2,Samford,293.07,263.5,120.13,108.95,865.0,754.65,0.17,0.16,316.62,380.92,32.83,52.1,46.67,61.08,428.93,445.8,31.33,45.09,14.55,18.2,78.67,122.8,13.73,21.44,387.29,470.5,14.88,15.71
1,0,3,45,14,113,0.274,43,6,5,55,3,2,6,1,56.0,0,Chattanooga,293.07,166.13,120.13,70.96,865.0,485.35,0.17,0.18,316.62,271.23,32.83,40.17,46.67,55.43,428.93,249.35,31.33,36.54,14.55,10.64,78.67,60.07,13.73,9.91,387.29,268.92,14.88,28.57
0,0,5,56,24,182,0.176,55,12,5,90,4,1,16,1,77.0,2,The Citadel,293.07,244.06,120.13,116.06,865.0,703.0,0.17,0.15,316.62,276.23,32.83,37.58,46.67,63.83,428.93,332.0,31.33,36.85,14.55,17.56,78.67,83.5,13.73,16.33,387.29,352.25,14.88,12.8
1,0,4,60,25,163,0.215,56,6,5,75,2,4,16,1,78.0,0,Mercer,293.07,233.0,120.13,100.65,865.0,638.94,0.17,0.11,316.62,262.29,32.83,32.69,46.67,52.93,428.93,328.29,31.33,39.91,14.55,21.0,78.67,88.4,13.73,26.56,387.29,333.07,14.88,9.88
0,0,4,57,28,183,0.158,56,3,7,87,2,3,17,3,71.5,2,ETSU,293.07,309.0,120.13,122.69,865.0,852.31,0.17,0.16,316.62,421.91,32.83,37.09,46.67,62.38,428.93,419.0,31.33,35.18,14.55,20.89,78.67,120.5,13.73,25.89,387.29,409.5,14.88,8.75
1,0,4,65,21,174,0.253,61,3,4,91,0,5,4,3,75.0,1,Western Caro.,293.07,215.94,120.13,92.33,865.0,665.0,0.17,0.12,316.62,254.86,32.83,38.7,46.67,41.85,428.93,318.53,31.33,35.73,14.55,14.7,78.67,57.15,13.73,17.7,387.29,299.53,14.88,8.11
1,0,5,72,32,196,0.204,66,3,9,91,7,2,10,1,82.0,1,Wofford,293.07,214.0,120.13,99.89,865.0,625.37,0.17,0.06,316.62,250.73,32.83,42.36,46.67,62.92,428.93,342.07,31.33,43.91,14.55,12.7,78.67,68.13,13.73,16.0,387.29,323.12,14.88,11.0
0,0,4,51,25,176,0.148,47,5,2,86,2,0,18,0,65.0,7,UNC Greensboro,293.07,211.5,120.13,94.78,865.0,632.5,0.17,0.19,316.62,237.07,32.83,32.83,46.67,43.73,428.93,323.56,31.33,31.54,14.55,7.55,78.67,83.0,13.73,10.17,387.29,278.85,14.88,11.7
1,0,3,43,16,141,0.191,41,5,6,72,2,2,12,6,56.0,2,UNC Greensboro,293.07,211.5,120.13,94.78,865.0,632.5,0.17,0.19,316.62,237.07,32.83,32.83,46.67,43.73,428.93,323.56,31.33,31.54,14.55,7.55,78.67,83.0,13.73,10.17,387.29,278.85,14.88,11.7
0,0,3,35,17,123,0.146,33,1,2,60,2,1,8,4,41.0,1,Samford,293.07,263.5,120.13,108.95,865.0,754.65,0.17,0.16,316.62,380.92,32.83,52.1,46.67,61.08,428.93,445.8,31.33,45.09,14.55,18.2,78.67,122.8,13.73,21.44,387.29,470.5,14.88,15.71
