BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,267.5,193.58,117.11,106.74,771.61,588.89,0.14,0.06,278.62,189.39,51.18,28.62,55.38,31.4,363.59,240.47,47.18,32.29,12.5,12.5,96.0,55.43,11.7,10.54,360.41,253.5,17.2,15.78,1,0,3,45,14,104,0.298,42,9,11,44,1,0,10,0,59.0
0,267.5,214.44,117.11,96.78,771.61,642.5,0.14,0.05,278.62,236.0,51.18,35.0,55.38,36.36,363.59,336.93,47.18,44.2,12.5,14.64,96.0,79.64,11.7,10.18,360.41,325.27,17.2,11.38,1,0,3,44,15,106,0.274,38,11,8,54,4,2,0,0,57.0
0,267.5,232.32,117.11,94.79,771.61,679.53,0.14,0.08,278.62,276.07,51.18,32.14,55.38,37.53,363.59,393.07,47.18,34.0,12.5,14.57,96.0,103.67,11.7,14.44,360.41,349.25,17.2,25.75,1,0,4,61,19,153,0.275,57,6,10,64,4,1,18,3,77.0
0,267.5,156.96,117.11,81.73,771.61,457.85,0.14,0.03,278.62,180.76,51.18,30.94,55.38,42.19,363.59,214.95,47.18,32.24,12.5,14.7,96.0,70.5,11.7,9.42,360.41,237.11,17.2,13.75,1,0,3,43,16,93,0.290,41,9,6,36,4,1,2,1,54.0
0,267.5,220.85,117.11,94.15,771.61,582.95,0.14,0.24,278.62,230.89,51.18,36.54,55.38,52.56,363.59,242.84,47.18,28.71,12.5,13.29,96.0,79.27,11.7,11.5,360.41,315.14,17.2,11.7,0,0,3,31,15,90,0.178,30,3,10,42,10,3,8,0,41.0
2,267.5,197.81,117.11,77.67,771.61,520.81,0.14,0.16,278.62,293.92,51.18,38.15,55.38,66.43,363.59,260.59,47.18,39.17,12.5,18.7,96.0,82.64,11.7,19.6,360.41,311.26,17.2,17.17,0,0,4,38,23,123,0.122,36,6,7,50,10,0,20,1,54.0
2,267.5,305.19,117.11,114.12,771.61,841.44,0.14,0.22,278.62,352.23,51.18,36.18,55.38,42.77,363.59,413.13,47.18,30.33,12.5,18.0,96.0,107.64,11.7,16.09,360.41,403.53,17.2,12.5,0,0,4,46,33,146,0.089,44,3,2,64,7,1,10,2,55.0
0,267.5,193.58,117.11,106.74,771.61,588.89,0.14,0.06,278.62,189.39,51.18,28.62,55.38,31.4,363.59,240.47,47.18,32.29,12.5,12.5,96.0,55.43,11.7,10.54,360.41,253.5,17.2,15.78,1,0,4,57,25,149,0.215,55,9,6,72,2,1,12,0,73.0
5,267.5,198.1,117.11,79.95,771.61,548.48,0.14,0.18,278.62,245.75,51.18,35.17,55.38,51.62,363.59,246.95,47.18,28.69,12.5,14.2,96.0,80.25,11.7,15.73,360.41,289.19,17.2,11.0,0,0,5,52,21,136,0.228,50,6,8,64,10,2,27,1,73.5
3,267.5,225.38,117.11,105.48,771.61,671.95,0.14,0.11,278.62,232.74,51.18,36.92,55.38,49.71,363.59,327.74,47.18,35.25,12.5,14.82,96.0,82.87,11.7,13.69,360.41,299.88,17.2,19.5,0,0,4,48,23,144,0.174,46,3,8,59,4,0,18,6,60.0
