BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,198.4,230.81,92.55,111.88,560.25,705.94,0.13,0.16,257.71,288.17,27.64,42.0,56.6,51.27,259.0,356.86,31.25,34.08,11.6,9.44,70.42,84.58,11.18,12.73,287.85,313.7,9.29,10.0,1,0,3,35,8,79,0.342,30,3,15,36,3,3,2,0,42.0
1,198.4,178.42,92.55,86.68,560.25,537.32,0.13,0.18,257.71,199.62,27.64,28.79,56.6,27.12,259.0,256.59,31.25,28.64,11.6,9.56,70.42,72.43,11.18,15.27,287.85,243.67,9.29,20.62,1,0,4,59,26,140,0.236,53,4,16,60,2,2,18,2,74.0
0,198.4,265.95,92.55,105.32,560.25,741.42,0.13,0.13,257.71,316.27,27.64,27.57,56.6,47.8,259.0,356.71,31.25,27.77,11.6,12.2,70.42,76.0,11.18,14.08,287.85,380.81,9.29,11.56,0,0,4,50,20,132,0.227,47,2,18,40,0,0,12,0,58.0
0,198.4,289.18,92.55,104.88,560.25,714.82,0.13,0.11,257.71,293.82,27.64,31.83,56.6,67.17,259.0,329.93,31.25,38.44,11.6,14.12,70.42,180.8,11.18,20.56,287.85,451.07,9.29,5.2,0,0,3,24,21,91,0.033,19,0,12,27,4,1,6,0,28.0
1,198.4,156.96,92.55,81.73,560.25,457.85,0.13,0.03,257.71,180.76,27.64,30.94,56.6,42.19,259.0,214.95,31.25,32.24,11.6,14.7,70.42,70.5,11.18,9.42,287.85,237.11,9.29,13.75,1,0,3,36,12,87,0.276,35,7,7,36,2,4,6,2,50.0
2,198.4,185.33,92.55,87.67,560.25,497.89,0.13,0.18,257.71,192.25,27.64,32.85,56.6,51.43,259.0,212.5,31.25,33.93,11.6,14.67,70.42,47.86,11.18,10.18,287.85,248.82,9.29,18.8,1,0,4,58,19,139,0.281,54,4,18,65,4,1,10,2,68.0
0,198.4,220.06,92.55,113.65,560.25,657.82,0.13,0.05,257.71,203.0,27.64,37.85,56.6,40.12,259.0,290.25,31.25,34.13,11.6,14.5,70.42,69.64,11.18,14.55,287.85,305.91,9.29,16.25,1,0,4,57,17,155,0.258,49,7,19,64,1,0,8,1,68.0
0,198.4,271.8,92.55,128.93,560.25,728.93,0.13,0.16,257.71,275.64,27.64,37.0,56.6,50.36,259.0,297.29,31.25,38.93,11.6,20.22,70.42,107.69,11.18,18.18,287.85,388.57,9.29,13.33,0,0,3,42,16,106,0.245,42,4,5,39,8,0,8,3,50.0
1,198.4,188.96,92.55,85.74,560.25,553.09,0.13,0.21,257.71,227.72,27.64,42.82,56.6,55.75,259.0,292.68,31.25,38.18,11.6,27.75,70.42,80.43,11.18,11.0,287.85,280.1,9.29,13.25,0,0,4,38,27,150,0.073,35,2,8,69,8,3,16,1,51.0
2,198.4,278.1,92.55,118.1,560.25,774.9,0.13,0.19,257.71,295.44,27.64,39.29,56.6,45.38,259.0,355.11,31.25,37.77,11.6,11.09,70.42,141.67,11.18,16.31,287.85,393.56,9.29,12.1,0,0,3,22,13,96,0.094,22,3,5,43,6,1,2,0,27.0
2,198.4,246.84,92.55,94.79,560.25,651.95,0.13,0.27,257.71,339.0,27.64,28.0,56.6,48.2,259.0,287.28,31.25,24.54,11.6,19.2,70.42,123.08,11.18,20.33,287.85,353.68,9.29,9.29,0,0,3,40,26,98,0.143,36,3,12,32,4,0,8,2,47.0
0,198.4,270.0,92.55,103.76,560.25,734.29,0.13,0.28,257.71,304.93,27.64,35.08,56.6,50.87,259.0,354.47,31.25,33.92,11.6,14.58,70.42,95.36,11.18,12.91,287.85,365.84,9.29,10.12,0,0,3,37,19,115,0.157,31,0,3,37,6,1,4,3,40.0
1,198.4,293.53,92.55,119.07,560.25,785.47,0.13,0.15,257.71,314.23,27.64,35.08,56.6,53.25,259.0,382.46,31.25,33.42,11.6,21.67,70.42,111.11,11.18,18.3,287.85,424.54,9.29,15.0,0,0,4,53,18,165,0.212,51,2,9,75,1,2,18,4,66.0
