BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,253.75,283.38,119.0,133.12,826.56,849.19,0.02,0.11,252.47,301.93,28.83,39.23,42.0,59.0,417.47,417.29,30.38,33.43,11.6,19.1,87.38,88.25,11.17,27.58,339.33,411.75,12.44,11.12,0,0,4,41,26,151,0.099,37,5,5,59,8,2,14,4,55.0
2,253.75,195.95,119.0,93.63,826.56,606.26,0.02,0.09,252.47,234.13,28.83,30.08,42.0,38.43,417.47,307.53,30.38,27.73,11.6,16.3,87.38,69.0,11.17,10.83,339.33,260.86,12.44,8.64,0,0,4,51,19,171,0.187,48,3,4,82,6,5,6,1,62.0
1,253.75,228.45,119.0,93.6,826.56,590.9,0.02,0.23,252.47,286.47,28.83,32.92,42.0,50.56,417.47,264.78,30.38,24.47,11.6,15.08,87.38,98.5,11.17,14.73,339.33,320.5,12.44,13.4,0,0,3,26,16,96,0.104,25,2,3,35,7,0,6,0,31.0
1,253.75,265.39,119.0,112.06,826.56,751.83,0.02,0.05,252.47,298.6,28.83,36.4,42.0,74.2,417.47,390.93,30.38,24.14,11.6,13.1,87.38,107.45,11.17,13.18,339.33,366.44,12.44,8.86,1,0,3,43,18,128,0.195,39,4,5,61,5,1,10,1,53.0
3,253.75,262.82,119.0,107.06,826.56,739.65,0.02,0.24,252.47,273.27,28.83,33.67,42.0,44.07,417.47,346.62,30.38,30.64,11.6,17.45,87.38,79.5,11.17,11.82,339.33,346.31,12.44,12.22,0,0,4,62,30,175,0.183,59,6,12,68,4,1,12,4,75.0
3,253.75,322.06,119.0,114.75,826.56,942.88,0.02,0.19,252.47,407.33,28.83,45.67,42.0,60.83,417.47,550.08,30.38,49.0,11.6,21.0,87.38,129.9,11.17,18.7,339.33,467.11,12.44,16.83,0,0,3,44,20,164,0.146,41,3,6,90,3,1,4,2,50.0
2,253.75,236.06,119.0,111.12,826.56,710.41,0.02,0.09,252.47,237.31,28.83,26.64,42.0,41.93,417.47,338.81,30.38,34.36,11.6,16.57,87.38,61.93,11.17,9.58,339.33,308.47,12.44,14.38,1,0,3,39,11,123,0.228,34,2,8,70,1,2,16,1,51.0
0,253.75,263.5,119.0,108.95,826.56,754.65,0.02,0.16,252.47,380.92,28.83,52.1,42.0,61.08,417.47,445.8,30.38,45.09,11.6,18.2,87.38,122.8,11.17,21.44,339.33,470.5,12.44,15.71,0,0,5,41,28,166,0.078,39,3,6,81,11,2,14,0,53.0
0,253.75,238.18,119.0,105.65,826.56,633.24,0.02,0.19,252.47,291.92,28.83,32.0,42.0,45.54,417.47,269.0,30.38,31.54,11.6,8.6,87.38,97.83,11.17,12.64,339.33,321.12,12.44,12.71,0,0,4,42,25,135,0.126,40,3,6,59,7,1,10,0,51.0
0,253.75,208.43,119.0,87.29,826.56,594.38,0.02,0.07,252.47,316.38,28.83,39.75,42.0,60.29,417.47,282.0,30.38,44.4,11.6,14.69,87.38,82.15,11.17,8.85,339.33,293.63,12.44,10.67,0,0,4,47,20,141,0.191,43,2,11,53,8,1,8,2,54.0
1,253.75,261.67,119.0,103.11,826.56,727.44,0.02,0.29,252.47,288.4,28.83,32.46,42.0,42.69,417.47,354.69,30.38,30.23,11.6,23.2,87.38,119.2,11.17,15.11,339.33,350.59,12.44,11.57,0,0,3,38,27,121,0.091,36,1,6,55,4,0,8,0,43.0
3,253.75,201.48,119.0,88.24,826.56,658.62,0.02,0.2,252.47,231.06,28.83,29.4,42.0,43.62,417.47,337.1,30.38,27.2,11.6,15.36,87.38,84.77,11.17,11.09,339.33,299.56,12.44,15.83,0,0,3,30,23,131,0.053,27,2,4,76,5,3,2,2,36.0
3,253.75,184.72,119.0,89.44,826.56,556.11,0.02,0.1,252.47,206.6,28.83,33.43,42.0,50.86,417.47,262.81,30.38,40.69,11.6,14.55,87.38,62.17,11.17,11.91,339.33,270.38,12.44,19.88,1,0,4,55,20,173,0.202,51,2,9,73,0,2,12,3,65.0
4,253.75,241.29,119.0,103.53,826.56,697.82,0.02,0.11,252.47,272.93,28.83,30.83,42.0,46.86,417.47,346.73,30.38,29.0,11.6,13.25,87.38,57.57,11.17,10.38,339.33,314.62,12.44,9.22,0,0,4,42,20,178,0.124,39,8,4,90,7,1,20,4,61.0
0,253.75,293.81,119.0,131.0,826.56,851.19,0.02,0.19,252.47,315.64,28.83,37.17,42.0,39.08,417.47,402.53,30.38,45.11,11.6,9.23,87.38,108.54,11.17,13.92,339.33,398.17,12.44,10.56,0,0,4,56,31,167,0.150,51,3,6,78,5,1,14,3,67.0
1,253.75,264.29,119.0,109.94,826.56,779.88,0.02,0.09,252.47,349.92,28.83,39.5,42.0,40.14,417.47,406.4,30.38,30.58,11.6,12.11,87.38,132.11,11.17,14.6,339.33,399.39,12.44,10.6,0,0,3,33,22,120,0.092,31,5,4,51,6,0,12,1,44.0
4,253.75,223.17,119.0,103.78,826.56,662.67,0.02,-0.01,252.47,252.27,28.83,25.64,42.0,35.0,417.47,331.12,30.38,27.07,11.6,9.78,87.38,134.8,11.17,13.78,339.33,302.24,12.44,9.0,1,0,4,48,19,166,0.175,46,4,8,83,4,0,24,1,64.0
0,253.75,227.65,119.0,108.18,826.56,721.12,0.02,0.07,252.47,259.93,28.83,26.29,42.0,32.73,417.47,377.0,30.38,33.08,11.6,14.78,87.38,73.54,11.17,14.55,339.33,323.27,12.44,9.73,1,0,3,46,16,149,0.201,43,3,7,78,3,1,10,0,55.0
4,253.75,223.0,119.0,98.95,826.56,671.3,0.02,0.12,252.47,324.92,28.83,31.0,42.0,40.62,417.47,311.47,30.38,27.2,11.6,8.8,87.38,89.29,11.17,9.15,339.33,308.06,12.44,9.22,0,0,3,39,18,128,0.164,38,4,5,54,3,1,14,2,51.0
1,253.75,226.26,119.0,102.42,826.56,706.58,0.02,0.13,252.47,270.27,28.83,20.33,42.0,33.56,417.47,377.18,30.38,23.85,11.6,14.56,87.38,132.36,11.17,17.0,339.33,321.35,12.44,9.86,0,0,3,39,28,168,0.065,35,1,3,94,1,1,20,0,51.0
3,253.75,245.65,119.0,118.35,826.56,764.06,0.02,0.02,252.47,277.86,28.83,37.33,42.0,42.13,417.47,369.75,30.38,32.46,11.6,14.89,87.38,116.45,11.17,13.73,339.33,359.9,12.44,14.4,0,0,4,48,35,171,0.076,44,5,8,68,3,0,8,0,57.0
1,253.75,320.0,119.0,130.8,826.56,988.8,0.02,0.19,252.47,378.42,28.83,42.82,42.0,62.55,417.47,552.23,30.38,45.33,11.6,14.56,87.38,109.92,11.17,11.08,339.33,466.27,12.44,8.5,0,0,4,47,23,157,0.153,42,6,7,62,7,2,18,1,64.0
0,253.75,264.29,119.0,109.94,826.56,779.88,0.02,0.09,252.47,349.92,28.83,39.5,42.0,40.14,417.47,406.4,30.38,30.58,11.6,12.11,87.38,132.11,11.17,14.6,339.33,399.39,12.44,10.6,0,0,3,22,18,124,0.032,20,3,8,53,5,1,10,1,31.0
2,253.75,293.81,119.0,131.0,826.56,851.19,0.02,0.19,252.47,315.64,28.83,37.17,42.0,39.08,417.47,402.53,30.38,45.11,11.6,9.23,87.38,108.54,11.17,13.92,339.33,398.17,12.44,10.56,0,0,3,32,17,105,0.143,30,4,6,44,4,1,8,1,41.0
2,253.75,245.65,119.0,118.35,826.56,764.06,0.02,0.02,252.47,277.86,28.83,37.33,42.0,42.13,417.47,369.75,30.38,32.46,11.6,14.89,87.38,116.45,11.17,13.73,339.33,359.9,12.44,14.4,0,0,3,28,14,101,0.139,27,2,4,40,7,0,12,0,36.0
0,253.75,320.0,119.0,130.8,826.56,988.8,0.02,0.19,252.47,378.42,28.83,42.82,42.0,62.55,417.47,552.23,30.38,45.33,11.6,14.56,87.38,109.92,11.17,11.08,339.33,466.27,12.44,8.5,0,0,3,32,20,116,0.103,28,2,3,43,3,0,14,1,41.0
3,253.75,226.26,119.0,102.42,826.56,706.58,0.02,0.13,252.47,270.27,28.83,20.33,42.0,33.56,417.47,377.18,30.38,23.85,11.6,14.56,87.38,132.36,11.17,17.0,339.33,321.35,12.44,9.86,1,0,5,67,24,196,0.219,58,3,12,98,9,1,16,0,79.0
1,253.75,223.0,119.0,98.95,826.56,671.3,0.02,0.12,252.47,324.92,28.83,31.0,42.0,40.62,417.47,311.47,30.38,27.2,11.6,8.8,87.38,89.29,11.17,9.15,339.33,308.06,12.44,9.22,1,0,5,66,19,193,0.244,62,1,5,82,5,5,26,2,85.0
0,253.75,227.65,119.0,108.18,826.56,721.12,0.02,0.07,252.47,259.93,28.83,26.29,42.0,32.73,417.47,377.0,30.38,33.08,11.6,14.78,87.38,73.54,11.17,14.55,339.33,323.27,12.44,9.73,1,0,3,37,15,124,0.177,37,5,3,69,3,1,10,2,48.0
0,253.75,223.17,119.0,103.78,826.56,662.67,0.02,-0.01,252.47,252.27,28.83,25.64,42.0,35.0,417.47,331.12,30.38,27.07,11.6,9.78,87.38,134.8,11.17,13.78,339.33,302.24,12.44,9.0,1,0,4,56,19,164,0.226,52,2,6,69,4,0,24,2,70.0
