Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,5,51,25,155,0.168,50,7,10,80,13,5,10,1,68.0,0,Georgetown,284.59,204.65,114.06,87.9,774.76,574.6,0.18,0.1,460.3,238.19,46.0,48.73,40.57,50.56,348.56,269.72,40.0,36.54,19.11,13.2,113.83,60.38,16.4,8.57,413.27,291.33,14.17,26.43
0,0,4,49,25,164,0.146,45,6,9,60,5,3,10,2,63.0,3,Georgia Tech,284.59,259.16,114.06,100.79,774.76,683.58,0.18,0.1,460.3,329.43,46.0,34.29,40.57,42.53,348.56,315.65,40.0,47.09,19.11,11.75,113.83,86.71,16.4,12.43,413.27,341.78,14.17,11.0
1,0,5,55,24,170,0.182,53,10,4,67,4,2,16,3,75.0,3,Winthrop,284.59,215.15,114.06,95.6,774.76,646.25,0.18,0.16,460.3,283.5,46.0,37.85,40.57,34.31,348.56,321.67,40.0,35.0,19.11,15.3,113.83,72.0,16.4,9.73,413.27,298.89,14.17,10.88
1,0,5,64,26,150,0.253,61,7,8,58,8,4,18,1,84.0,2,Abilene Christian,284.59,222.1,114.06,96.75,774.76,651.45,0.18,0.11,460.3,293.0,46.0,38.27,40.57,47.08,348.56,347.25,40.0,34.77,19.11,9.9,113.83,114.83,16.4,9.6,413.27,353.19,14.17,11.0
0,0,4,59,25,155,0.219,55,3,8,60,4,1,14,4,70.0,2,Utah Valley,284.59,284.16,114.06,124.21,774.76,812.89,0.18,0.08,460.3,362.64,46.0,42.31,40.57,41.19,348.56,381.29,40.0,42.14,19.11,12.2,113.83,121.44,16.4,13.15,413.27,391.25,14.17,8.58
0,0,3,39,10,100,0.290,39,0,6,33,5,1,10,1,45.0,0,UC Riverside,284.59,204.3,114.06,93.5,774.76,608.5,0.18,0.2,460.3,214.83,46.0,23.4,40.57,34.88,348.56,287.37,40.0,21.37,19.11,15.56,113.83,67.79,16.4,11.71,413.27,265.76,14.17,10.29
0,0,4,44,21,133,0.173,43,5,5,50,7,0,16,0,57.0,0,Boise St.,284.59,275.8,114.06,122.87,774.76,774.0,0.18,0.16,460.3,299.77,46.0,42.55,40.57,60.45,348.56,360.69,40.0,35.08,19.11,12.0,113.83,111.08,16.4,15.92,413.27,388.21,14.17,13.0
1,0,3,42,14,104,0.269,41,4,7,39,2,1,20,2,57.0,0,Milwaukee,284.59,223.0,114.06,98.95,774.76,671.3,0.18,0.12,460.3,324.92,46.0,31.0,40.57,40.62,348.56,311.47,40.0,27.2,19.11,8.8,113.83,89.29,16.4,9.15,413.27,308.06,14.17,9.22
1,0,3,45,6,78,0.500,41,6,3,33,2,3,6,0,57.0,1,Saint Peter's,284.59,200.05,114.06,91.68,774.76,611.73,0.18,0.05,460.3,257.25,46.0,34.4,40.57,43.61,348.56,312.89,40.0,43.85,19.11,14.7,113.83,65.86,16.4,15.73,413.27,276.25,14.17,6.33
1,0,3,54,13,98,0.418,47,7,4,34,3,0,2,1,62.0,1,Fairleigh Dickinson,284.59,188.39,114.06,95.39,774.76,601.11,0.18,0.02,460.3,197.44,46.0,25.0,40.57,30.31,348.56,279.65,40.0,36.0,19.11,9.64,113.83,64.64,16.4,9.23,413.27,270.28,14.17,10.1
0,0,3,37,20,96,0.177,35,2,1,34,7,1,8,1,44.0,1,Denver,284.59,237.39,114.06,95.06,774.76,614.0,0.18,0.09,460.3,262.6,46.0,44.83,40.57,41.12,348.56,280.06,40.0,32.23,19.11,11.33,113.83,98.17,16.4,12.5,413.27,323.65,14.17,12.1
0,0,5,54,35,168,0.113,53,6,5,73,7,2,16,4,70.0,1,Seattle U,284.59,244.94,114.06,111.76,774.76,701.65,0.18,0.22,460.3,280.64,46.0,38.69,40.57,43.36,348.56,336.27,40.0,44.08,19.11,14.89,113.83,109.64,16.4,14.45,413.27,360.27,14.17,14.6
1,0,3,43,7,109,0.330,40,7,7,49,1,0,8,2,54.0,1,Tennessee Tech,284.59,236.5,114.06,118.22,774.76,703.33,0.18,0.09,460.3,285.79,46.0,38.25,40.57,57.0,348.56,385.57,40.0,40.64,19.11,15.3,113.83,86.0,16.4,13.2,413.27,336.56,14.17,13.8
1,0,5,79/,33,204,0.225,72/,6,10,85,3,0,22,6,96.0/,4,Northern Ariz.,284.59,322.06,114.06,114.75,774.76,942.88,0.18,0.19,460.3,407.33,46.0,45.67,40.57,60.83,348.56,550.08,40.0,49.0,19.11,21.0,113.83,129.9,16.4,18.7,413.27,467.11,14.17,16.83
1,0,3,37,11,112,0.232,34,3,7,53,2,1,22,3,52.0,5,Southern Utah,284.59,257.5,114.06,105.0,774.76,753.31,0.18,0.12,460.3,297.46,46.0,36.5,40.57,56.57,348.56,376.79,40.0,45.27,19.11,11.1,113.83,86.75,16.4,11.4,413.27,399.19,14.17,13.88
1,0,3,45,15,94,0.319,43,5,1,47,1,1,18,2,60.0,0,Eastern Wash.,284.59,206.0,114.06,94.67,774.76,634.89,0.18,0.12,460.3,228.27,46.0,36.17,40.57,34.06,348.56,315.44,40.0,34.79,19.11,8.08,113.83,71.43,16.4,11.58,413.27,296.19,14.17,13.4
1,0,4,48,19,145,0.200,45,8,4,71,7,5,20,0,71.0,0,Idaho,284.59,231.29,114.06,83.95,774.76,637.05,0.18,0.12,460.3,284.62,46.0,37.83,40.57,53.71,348.56,323.5,40.0,37.08,19.11,16.78,113.83,113.5,16.4,15.6,413.27,361.35,14.17,18.43
0,0,4,57,24,169,0.195,56,2,6,72,8,2,22,4,72.0,0,Weber St.,284.59,238.35,114.06,95.76,774.76,661.53,0.18,0.17,460.3,293.23,46.0,44.36,40.57,39.93,348.56,348.29,40.0,43.9,19.11,13.44,113.83,110.09,16.4,19.3,413.27,351.1,14.17,13.17
1,0,3,41,15,103,0.252,39,7,8,52,4,1,8,4,53.0,0,Northern Colo.,284.59,265.56,114.06,112.25,774.76,765.56,0.18,0.07,460.3,308.0,46.0,45.1,40.57,50.33,348.56,363.0,40.0,31.08,19.11,12.44,113.83,67.5,16.4,12.56,413.27,367.82,14.17,8.62
0,0,3,36,13,108,0.213,36,8,5,52,6,0,4,1,46.0,3,Sacramento St.,284.59,276.88,114.06,117.12,774.76,815.81,0.18,0.15,460.3,319.23,46.0,51.73,40.57,63.82,348.56,411.0,40.0,53.5,19.11,18.67,113.83,115.0,16.4,15.67,413.27,386.63,14.17,13.43
1,0,5,68,22,184,0.250,67,8,9,79,5,2,18,5,87.0,3,Portland St.,284.59,226.88,114.06,96.53,774.76,673.41,0.18,0.23,460.3,257.71,46.0,36.25,40.57,41.38,348.56,331.53,40.0,37.5,19.11,10.7,113.83,77.62,16.4,12.09,413.27,306.47,14.17,14.3
