Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,3,46,17,97,0.299,44,7,5,50,4,2,8,1,59.0,1,UNCW,327.44,187.15,123.25,78.45,837.75,556.9,0.24,0.23,353.64,247.71,51.09,26.24,70.83,32.53,392.93,267.0,43.27,36.5,17.89,12.6,152.0,88.0,18.89,11.0,480.14,271.5,9.5,8.67
1,0,5,59,32,153,0.176,56,6,8,64,8,1,24,0,78.0,0,Colorado St.,327.44,284.27,123.25,121.67,837.75,719.13,0.24,0.11,353.64,331.75,51.09,41.58,70.83,53.21,392.93,296.14,43.27,45.2,17.89,16.1,152.0,123.64,18.89,15.6,480.14,400.29,9.5,6.44
1,0,5,66,23,158,0.272,61,8,13,65,8,2,14,1,83.0,1,Northern Colo.,327.44,265.56,123.25,112.25,837.75,765.56,0.24,0.07,353.64,308.0,51.09,45.1,70.83,50.33,392.93,363.0,43.27,31.08,17.89,12.44,152.0,67.5,18.89,12.56,480.14,367.82,9.5,8.62
1,0,3,42,18,102,0.235,40,6,11,41,1,2,20,2,60.0,0,Colorado,327.44,278.39,123.25,111.11,837.75,727.33,0.24,0.24,353.64,361.15,51.09,31.58,70.83,42.73,392.93,311.53,43.27,38.09,17.89,16.67,152.0,116.69,18.89,15.85,480.14,393.66,9.5,6.33
1,0,4,62,14,135,0.356,59,5,8,45,6,0,30,2,82.0,1,Washington,327.44,271.83,123.25,109.83,837.75,715.5,0.24,0.3,353.64,288.5,51.09,39.36,70.83,47.4,392.93,321.88,43.27,46.45,17.89,17.8,152.0,123.83,18.89,16.08,480.14,424.33,9.5,6.45
1,0,3,47,7,100,0.400,45,8,6,47,6,0,20,2,65.0,0,Bowling Green,327.44,201.48,123.25,88.24,837.75,658.62,0.24,0.2,353.64,231.06,51.09,29.4,70.83,43.62,392.93,337.1,43.27,27.2,17.89,15.36,152.0,84.77,18.89,11.09,480.14,299.56,9.5,15.83
1,0,3,45,7,99,0.384,41,6,7,57,1,0,12,0,57.0,0,Cleveland St.,327.44,226.26,123.25,102.42,837.75,706.58,0.24,0.13,353.64,270.27,51.09,20.33,70.83,33.56,392.93,377.18,43.27,23.85,17.89,14.56,152.0,132.36,18.89,17.0,480.14,321.35,9.5,9.86
1,0,3,40,8,88,0.364,38,10,8,40,1,2,14,0,59.0,0,UC Irvine,327.44,220.89,123.25,90.28,837.75,626.44,0.24,0.12,353.64,265.36,51.09,31.36,70.83,43.67,392.93,305.38,43.27,36.92,17.89,14.78,152.0,74.07,18.89,12.1,480.14,316.66,9.5,7.55
1,0,3,46,17,101,0.287,44,6,10,42,2,0,12,1,58.0,1,UNI,327.44,332.69,123.25,127.75,837.75,897.31,0.24,0.28,353.64,417.17,51.09,37.0,70.83,46.67,392.93,457.57,43.27,34.82,17.89,22.0,152.0,92.4,18.89,18.0,480.14,453.79,9.5,9.78
1,0,3,43,3,78,0.513,40,5,7,32,3,0,30,0,63.0,0,Lipscomb,327.44,250.82,123.25,101.18,837.75,657.0,0.24,0.3,353.64,267.2,51.09,28.54,70.83,43.62,392.93,286.38,43.27,34.44,17.89,15.08,152.0,80.42,18.89,12.73,480.14,331.16,9.5,15.5
