BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
3,240.33,183.6,133.61,100.55,697.83,560.6,0.1,0.11,247.81,188.61,43.33,29.8,40.07,38.82,271.61,242.26,31.28,38.38,32.67,15.08,77.23,91.42,14.18,10.25,331.88,285.21,17.79,10.0,0,0,5,50,29,158,0.133,47,7,7,68,8,2,16,3,67.0
2,240.33,185.65,133.61,101.06,697.83,526.24,0.1,0.09,247.81,203.21,43.33,44.5,40.07,51.14,271.61,221.44,31.28,29.79,32.67,12.64,77.23,61.0,14.18,9.78,331.88,313.5,17.79,12.86,0,0,4,38,27,130,0.085,37,6,3,56,8,1,4,3,47.0
4,240.33,153.2,133.61,81.85,697.83,472.15,0.1,0.07,247.81,191.67,43.33,24.29,40.07,29.57,271.61,229.5,31.28,30.17,32.67,12.82,77.23,62.79,14.18,10.91,331.88,234.38,17.79,8.64,0,0,5,64,40,194,0.124,62,5,5,82,8,1,6,3,73.0
0,240.33,185.5,133.61,79.15,697.83,535.5,0.1,0.24,247.81,245.29,43.33,30.08,40.07,52.0,271.61,262.78,31.28,35.33,32.67,12.56,77.23,76.38,14.18,11.75,331.88,260.03,17.79,8.58,0,0,3,22,22,97,0,21,2,4,36,10,3,8,4,31.0
2,240.33,218.11,133.61,107.47,697.83,660.42,0.1,0.22,247.81,227.88,43.33,32.46,40.07,37.6,271.61,332.0,31.28,34.08,32.67,15.64,77.23,85.21,14.18,13.36,331.88,313.79,17.79,21.33,0,0,5,67,41,178,0.146,66,3,9,64,1,0,10,6,75.0
8,240.33,205.06,133.61,88.94,697.83,572.22,0.1,0.03,247.81,261.0,43.33,38.92,40.07,49.4,271.61,287.13,31.28,35.83,32.67,13.18,77.23,69.64,14.18,11.17,331.88,334.71,17.79,16.0,0,0,5,53,31,156,0.141,53,9,3,73,13,2,8,2,68.0
0,240.33,217.8,133.61,97.45,697.83,621.95,0.1,0.2,247.81,215.89,43.33,32.93,40.07,40.71,271.61,274.05,31.28,32.4,32.67,11.08,77.23,86.73,14.18,13.55,331.88,296.5,17.79,19.8,0,0,3,28,28,111,0,26,3,5,36,1,0,14,3,38.0
7,240.33,214.44,133.61,96.78,697.83,642.5,0.1,0.05,247.81,236.0,43.33,35.0,40.07,36.36,271.61,336.93,31.28,44.2,32.67,14.64,77.23,79.64,14.18,10.18,331.88,325.27,17.79,11.38,0,0,4,31,24,125,0.056,26,3,8,68,7,1,12,1,41.0
1,240.33,195.95,133.61,93.63,697.83,606.26,0.1,0.09,247.81,234.13,43.33,30.08,40.07,38.43,271.61,307.53,31.28,27.73,32.67,16.3,77.23,69.0,14.18,10.83,331.88,260.86,17.79,8.64,0,0,3,24,26,100,-0.020,22,1,8,35,7,0,6,3,28.0
4,240.33,256.56,133.61,105.56,697.83,677.78,0.1,0.17,247.81,333.15,43.33,32.79,40.07,44.12,271.61,302.12,31.28,41.7,32.67,14.31,77.23,74.79,14.18,12.0,331.88,340.38,17.79,13.78,0,0,3,24,14,86,0.116,21,0,3,41,11,2,4,2,28.0
5,240.33,251.84,133.61,111.42,697.83,695.05,0.1,0.19,247.81,282.38,43.33,31.87,40.07,47.07,271.61,324.76,31.28,29.8,32.67,20.67,77.23,79.62,14.18,9.82,331.88,354.62,17.79,10.9,0,0,3,26,21,86,0.058,25,5,5,45,9,2,6,1,36.0
