Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,0,3,51,17,99,0.343,48,6,12,28,6,0,8,2,61.0,1,Loyola Chicago,255.22,247.12,106.0,98.59,665.06,680.76,0.11,0.2,269.94,396.9,35.62,47.22,50.44,49.64,300.44,329.4,40.1,36.83,17.82,14.0,109.0,107.91,11.5,12.2,369.19,381.82,14.62,9.75
1,0,3,39,9,93,0.323,35,10,12,40,2,0,8,0,53.0,0,McNeese,255.22,232.22,106.0,95.11,665.06,657.89,0.11,0.11,269.94,261.73,35.62,33.62,50.44,55.93,300.44,308.0,40.1,46.0,17.82,17.57,109.0,93.38,11.5,11.67,369.19,314.53,14.62,16.7
1,0,5,56,24,163,0.196,54,10,14,60,3,0,26,1,79.0,3,Samford,255.22,263.5,106.0,108.95,665.06,754.65,0.11,0.16,269.94,380.92,35.62,52.1,50.44,61.08,300.44,445.8,40.1,45.09,17.82,18.2,109.0,122.8,11.5,21.44,369.19,470.5,14.62,15.71
1,0,5,62,24,160,0.237,59,6,12,68,4,1,26,5,82.0,0,High Point,255.22,178.68,106.0,77.18,665.06,486.23,0.11,0.14,269.94,206.72,35.62,39.42,50.44,42.27,300.44,235.32,40.1,45.8,17.82,15.11,109.0,81.75,11.5,14.44,369.19,264.76,14.62,8.71
1,0,4,49,23,142,0.183,45,11,9,69,4,1,16,0,69.0,1,Presbyterian,255.22,260.0,106.0,122.33,665.06,765.4,0.11,0.15,269.94,259.86,35.62,46.27,50.44,60.55,300.44,339.0,40.1,49.1,17.82,19.5,109.0,90.09,11.5,13.17,369.19,361.46,14.62,14.09
1,0,4,58,22,141,0.255,55,4,10,56,4,5,12,0,73.0,1,Clemson,255.22,283.67,106.0,118.17,665.06,707.83,0.11,0.12,269.94,300.44,35.62,34.0,50.44,51.69,300.44,312.2,40.1,36.67,17.82,22.22,109.0,108.18,11.5,20.89,369.19,422.87,14.62,14.12
0,0,5,61,33,160,0.175,58,3,12,46,5,7,6,4,74.0,2,Pittsburgh,255.22,269.71,106.0,105.06,665.06,651.29,0.11,0.23,269.94,310.57,35.62,34.25,50.44,37.29,300.44,279.6,40.1,25.62,17.82,19.22,109.0,134.27,11.5,18.1,369.19,369.22,14.62,13.56
0,0,3,44,11,109,0.303,42,4,9,44,6,1,16,2,57.0,1,Dayton,255.22,232.6,106.0,85.1,665.06,600.25,0.11,0.18,269.94,240.0,35.62,30.29,50.44,47.93,300.44,269.94,40.1,24.65,17.82,10.7,109.0,85.47,11.5,16.82,369.19,306.53,14.62,19.3
0,0,4,55,31,141,0.170,51,4,8,51,3,1,24,0,72.0,0,Washington,255.22,271.83,106.0,109.83,665.06,715.5,0.11,0.3,269.94,288.5,35.62,39.36,50.44,47.4,300.44,321.88,40.1,46.45,17.82,17.8,109.0,123.83,11.5,16.08,369.19,424.33,14.62,6.45
0,0,5,64,30,171,0.199,60,6,14,74,9,0,14,0,77.0,2,Auburn,255.22,213.47,106.0,84.74,665.06,560.68,0.11,0.14,269.94,250.73,35.62,35.2,50.44,56.31,300.44,279.73,40.1,33.7,17.82,14.7,109.0,96.7,11.5,13.4,369.19,335.9,14.62,11.4
1,0,5,50,24,141,0.184,47,10,10,60,6,5,26,0,78.0,3,Troy,255.22,234.78,106.0,111.5,665.06,669.67,0.11,0.16,269.94,285.21,35.62,41.91,50.44,50.53,300.44,290.41,40.1,62.29,17.82,20.1,109.0,91.67,11.5,10.6,369.19,319.88,14.62,8.33
1,0,3,48,15,112,0.295,46,4,6,71,2,1,16,1,61.0,1,Florida A&M,255.22,244.93,106.0,114.0,665.06,730.8,0.11,0.13,269.94,259.85,35.62,38.4,50.44,50.7,300.44,363.46,40.1,37.64,17.82,15.45,109.0,69.62,11.5,17.36,369.19,360.04,14.62,14.62
1,0,5,57,21,156,0.231,55,8,12,61,4,3,20,2,78.0,0,Jacksonville St.,255.22,259.33,106.0,119.33,665.06,698.33,0.11,0.14,269.94,316.21,35.62,40.25,50.44,49.54,300.44,310.12,40.1,38.54,17.82,24.9,109.0,79.17,11.5,17.45,369.19,345.59,14.62,18.83
1,0,3,37,12,84,0.298,36,6,6,29,3,2,12,1,51.0,2,NJIT,255.22,206.33,106.0,119.5,665.06,663.61,0.11,0.07,269.94,205.0,35.62,31.86,50.44,47.29,300.44,279.22,40.1,32.47,17.82,13.6,109.0,75.08,11.5,10.77,369.19,281.41,14.62,16.22
1,0,3,52,19,115,0.287,46,4,4,57,0,3,2,0,60.0,2,Stetson,255.22,247.19,106.0,100.0,665.06,731.56,0.11,0.1,269.94,242.87,35.62,28.77,50.44,34.79,300.44,358.73,40.1,26.07,17.82,16.77,109.0,72.77,11.5,14.15,369.19,334.67,14.62,15.5
1,0,4,57,17,132,0.303,54,3,9,42,3,5,14,0,72.0,0,North Florida,255.22,246.26,106.0,105.58,665.06,677.11,0.11,0.11,269.94,313.29,35.62,30.77,50.44,38.8,300.44,305.53,40.1,37.92,17.82,16.2,109.0,78.13,11.5,12.75,369.19,323.72,14.62,15.0
1,0,4,60,30,180,0.167,55,3,9,76,4,7,10,4,75.0,3,FGCU,255.22,271.88,106.0,105.76,665.06,754.41,0.11,0.24,269.94,289.93,35.62,26.21,50.44,40.69,300.44,356.06,40.1,29.09,17.82,18.8,109.0,105.23,11.5,14.5,369.19,366.31,14.62,14.88
1,0,4,61,23,136,0.279,55,8,9,50,3,1,8,0,74.0,3,Liberty,255.22,220.85,106.0,94.15,665.06,582.95,0.11,0.24,269.94,230.89,35.62,36.54,50.44,52.56,300.44,242.84,40.1,28.71,17.82,13.29,109.0,79.27,11.5,11.5,369.19,315.14,14.62,11.7
1,0,3,42,7,76,0.461,40,7,6,36,1,2,10,0,56.0,0,Jacksonville,255.22,241.27,106.0,114.73,665.06,683.47,0.11,0.12,269.94,257.15,35.62,34.07,50.44,58.93,300.44,284.64,40.1,39.08,17.82,24.71,109.0,65.17,11.5,13.2,369.19,332.86,14.62,12.6
