Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,3,30,6,85,0.282,28,3,14,43,2,0,16,0,41.0,4,Samford,232.22,263.5,95.11,108.95,657.89,754.65,0.11,0.16,261.73,380.92,33.62,52.1,55.93,61.08,308.0,445.8,46.0,45.09,17.57,18.2,93.38,122.8,11.67,21.44,314.53,470.5,16.7,15.71
0,0,3,30,11,92,0.207,25,2,14,40,10,0,8,0,36.0,1,Kennesaw St.,232.22,255.22,95.11,106.0,657.89,665.06,0.11,0.11,261.73,269.94,33.62,35.62,55.93,50.44,308.0,300.44,46.0,40.1,17.57,17.82,93.38,109.0,11.67,11.5,314.53,369.19,16.7,14.62
0,0,4,48,25,133,0.173,46,7,9,51,7,0,14,1,62.0,2,Loyola Chicago,232.22,247.12,95.11,98.59,657.89,680.76,0.11,0.2,261.73,396.9,33.62,47.22,55.93,49.64,308.0,329.4,46.0,36.83,17.57,14.0,93.38,107.91,11.67,12.2,314.53,381.82,16.7,9.75
0,0,4,39,27,134,0.090,36,6,3,54,6,0,12,1,51.0,3,Sacramento St.,232.22,276.88,95.11,117.12,657.89,815.81,0.11,0.15,261.73,319.23,33.62,51.73,55.93,63.82,308.0,411.0,46.0,53.5,17.57,18.67,93.38,115.0,11.67,15.67,314.53,386.63,16.7,13.43
0,0,3,31,15,85,0.188,31,1,4,19,5,0,6,0,35.0,1,Denver,232.22,237.39,95.11,95.06,657.89,614.0,0.11,0.09,261.73,262.6,33.62,44.83,55.93,41.12,308.0,280.06,46.0,32.23,17.57,11.33,93.38,98.17,11.67,12.5,314.53,323.65,16.7,12.1
0,0,4,42,20,151,0.146,39,3,6,59,8,0,12,0,51.0,4,UC Santa Barbara,232.22,219.9,95.11,84.5,657.89,623.8,0.11,0.2,261.73,275.33,33.62,32.64,55.93,56.21,308.0,328.47,46.0,29.23,17.57,12.44,93.38,74.23,11.67,9.18,314.53,320.56,16.7,12.56
0,0,3,27,17,113,0.088,27,4,8,40,5,2,14,0,40.0,2,Air Force,232.22,214.77,95.11,96.77,657.89,602.41,0.11,0.14,261.73,262.29,33.62,33.4,55.93,57.38,308.0,264.76,46.0,35.08,17.57,13.2,93.38,109.58,11.67,13.64,314.53,334.19,16.7,11.45
0,0,3,30,14,90,0.178,28,8,14,32,7,1,8,2,43.0,2,Stony Brook,232.22,228.28,95.11,86.11,657.89,643.11,0.11,0.06,261.73,256.13,33.62,35.45,55.93,39.85,308.0,344.67,46.0,29.92,17.57,16.22,93.38,81.0,11.67,11.75,314.53,363.61,16.7,9.75
0,0,3,22,10,72,0.167,21,4,12,21,5,0,6,0,29.0,2,Washington St.,232.22,363.79,95.11,142.21,657.89,1000.14,0.11,0.3,261.73,396.0,33.62,48.8,55.93,70.73,308.0,463.15,46.0,44.2,17.57,21.78,93.38,171.89,11.67,18.33,314.53,503.88,16.7,10.0
0,0,3,23,15,97,0.082,23,1,7,38,4,0,10,2,29.0,2,Illinois St.,232.22,259.39,95.11,97.83,657.89,731.67,0.11,0.21,261.73,272.62,33.62,32.09,55.93,53.82,308.0,396.27,46.0,25.69,17.57,10.91,93.38,95.58,11.67,10.57,314.53,357.22,16.7,8.5
1,0,3,39,16,97,0.237,37,4,11,37,2,0,12,1,49.0,3,Southern U.,232.22,220.06,95.11,113.65,657.89,657.82,0.11,0.05,261.73,203.0,33.62,37.85,55.93,40.12,308.0,290.25,46.0,34.13,17.57,14.5,93.38,69.64,11.67,14.55,314.53,305.91,16.7,16.25
0,0,4,38,13,128,0.195,35,2,6,45,7,2,14,0,49.0,0,Austin Peay,232.22,268.06,95.11,104.56,657.89,748.22,0.11,0.11,261.73,265.59,33.62,33.08,55.93,38.93,308.0,375.06,46.0,33.17,17.57,23.82,93.38,85.27,11.67,21.2,314.53,374.12,16.7,10.38
0,0,3,39,16,112,0.205,36,3,3,47,10,1,6,1,46.0,1,Ole Miss,232.22,274.06,95.11,108.39,657.89,736.5,0.11,0.15,261.73,307.53,33.62,29.0,55.93,43.29,308.0,347.12,46.0,30.93,17.57,28.55,93.38,77.92,11.67,11.7,314.53,362.32,16.7,13.0
0,0,3,33,10,93,0.247,30,0,0,32,10,1,12,1,40.0,1,Rice,232.22,305.19,95.11,114.12,657.89,841.44,0.11,0.22,261.73,352.23,33.62,36.18,55.93,42.77,308.0,413.13,46.0,30.33,17.57,18.0,93.38,107.64,11.67,16.09,314.53,403.53,16.7,12.5
0,0,4,44,16,156,0.179,42,2,6,76,8,0,16,3,54.0,2,Sam Houston St.,232.22,237.0,95.11,106.47,657.89,721.29,0.11,0.12,261.73,249.53,33.62,28.33,55.93,41.0,308.0,376.6,46.0,31.2,17.57,11.85,93.38,78.07,11.67,9.46,314.53,319.28,16.7,16.67
0,0,4,43,20,145,0.159,39,2,6,73,8,1,28,0,60.0,0,Abilene Christian,232.22,222.1,95.11,96.75,657.89,651.45,0.11,0.11,261.73,293.0,33.62,38.27,55.93,47.08,308.0,347.25,46.0,34.77,17.57,9.9,93.38,114.83,11.67,9.6,314.53,353.19,16.7,11.0
1,0,3,38,8,85,0.353,36,8,13,38,2,0,16,1,54.0,0,Prairie View,232.22,193.58,95.11,106.74,657.89,588.89,0.11,0.06,261.73,189.39,33.62,28.62,55.93,31.4,308.0,240.47,46.0,32.29,17.57,12.5,93.38,55.43,11.67,10.54,314.53,253.5,16.7,15.78
1,0,4,58,10,142,0.338,53,3,13,54,6,2,14,0,70.0,1,Lamar University,232.22,185.33,95.11,87.67,657.89,497.89,0.11,0.18,261.73,192.25,33.62,32.85,55.93,51.43,308.0,212.5,46.0,33.93,17.57,14.67,93.38,47.86,11.67,10.18,314.53,248.82,16.7,18.8
1,0,5,66,25,152,0.270,64,7,9,49,10,6,8,0,83.0,1,New Orleans,232.22,217.8,95.11,97.45,657.89,621.95,0.11,0.2,261.73,215.89,33.62,32.93,55.93,40.71,308.0,274.05,46.0,32.4,17.57,11.08,93.38,86.73,11.67,13.55,314.53,296.5,16.7,19.8
1,0,4,52,13,130,0.300,49,6,9,56,7,2,18,2,69.0,5,Nicholls St.,232.22,184.72,95.11,89.44,657.89,556.11,0.11,0.1,261.73,206.6,33.62,33.43,55.93,50.86,308.0,262.81,46.0,40.69,17.57,14.55,93.38,62.17,11.67,11.91,314.53,270.38,16.7,19.88
0,0,3,15,15,85,0,14,2,6,30,6,1,12,2,24.0,0,Northwestern St.,232.22,185.5,95.11,79.15,657.89,535.5,0.11,0.24,261.73,245.29,33.62,30.08,55.93,52.0,308.0,262.78,46.0,35.33,17.57,12.56,93.38,76.38,11.67,11.75,314.53,260.03,16.7,8.58
1,0,4,52,17,137,0.255,50,6,13,55,4,2,16,2,68.0,3,Southeastern La.,232.22,206.53,95.11,98.24,657.89,589.82,0.11,0.19,261.73,203.56,33.62,29.83,55.93,44.54,308.0,247.5,46.0,31.29,17.57,17.56,93.38,56.54,11.67,8.55,314.53,258.5,16.7,20.33
1,0,4,51,24,160,0.169,45,4,9,80,10,3,22,1,69.0,2,Houston Baptist,232.22,267.5,95.11,117.11,657.89,771.61,0.11,0.14,261.73,278.62,33.62,51.18,55.93,55.38,308.0,363.59,46.0,47.18,17.57,12.5,93.38,96.0,11.67,11.7,314.53,360.41,16.7,17.2
0,0,3,45,14,115,0.270,44,2,4,54,5,2,8,1,53.0,2,A&M-Corpus Christi,232.22,229.89,95.11,95.17,657.89,649.72,0.11,0.16,261.73,238.56,33.62,32.46,55.93,41.75,308.0,293.82,46.0,28.19,17.57,10.89,93.38,52.8,11.67,7.11,314.53,297.29,16.7,11.42
0,0,3,38,24,143,0.098,35,4,4,71,3,1,6,0,46.0,2,SFA,232.22,231.25,95.11,94.25,657.89,664.25,0.11,0.2,261.73,285.8,33.62,37.15,55.93,48.54,308.0,371.88,46.0,47.0,17.57,15.22,93.38,118.25,11.67,11.9,314.53,350.26,16.7,13.9
0,0,4,49,25,142,0.169,46,4,6,58,4,3,12,0,62.0,3,Central Ark.,232.22,256.56,95.11,105.56,657.89,677.78,0.11,0.17,261.73,333.15,33.62,32.79,55.93,44.12,308.0,302.12,46.0,41.7,17.57,14.31,93.38,74.79,11.67,12.0,314.53,340.38,16.7,13.78
1,0,3,33,9,88,0.273,28,6,7,40,3,0,16,2,47.0,0,Lamar University,232.22,185.33,95.11,87.67,657.89,497.89,0.11,0.18,261.73,192.25,33.62,32.85,55.93,51.43,308.0,212.5,46.0,33.93,17.57,14.67,93.38,47.86,11.67,10.18,314.53,248.82,16.7,18.8
1,0,4,58,16,134,0.313,54,4,13,49,5,1,30,4,78.0,0,Southeastern La.,232.22,206.53,95.11,98.24,657.89,589.82,0.11,0.19,261.73,203.56,33.62,29.83,55.93,44.54,308.0,247.5,46.0,31.29,17.57,17.56,93.38,56.54,11.67,8.55,314.53,258.5,16.7,20.33
