BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
4,213.76,188.21,82.94,81.26,552.76,527.11,0.22,0.15,241.21,222.47,32.75,37.33,47.15,47.06,233.13,241.39,25.5,35.93,18.25,11.38,85.09,69.75,7.75,13.55,290.06,283.34,13.57,9.75,1,0,3,38,15,90,0.256,32,8,10,35,0,3,4,0,51.0
2,213.76,219.9,82.94,84.5,552.76,623.8,0.22,0.2,241.21,275.33,32.75,32.64,47.15,56.21,233.13,328.47,25.5,29.23,18.25,12.44,85.09,74.23,7.75,9.18,290.06,320.56,13.57,12.56,0,0,5,56,29,159,0.170,49,1,5,73,5,1,12,3,64.0
7,213.76,265.15,82.94,96.8,552.76,672.55,0.22,0.15,241.21,292.65,32.75,35.0,47.15,51.8,233.13,305.89,25.5,47.22,18.25,13.27,85.09,100.85,7.75,19.11,290.06,387.91,13.57,15.18,1,0,5,56,18,146,0.260,49,7,13,67,7,0,16,4,71.0
4,213.76,264.53,82.94,112.53,552.76,760.76,0.22,0.15,241.21,284.27,32.75,28.54,47.15,39.53,233.13,359.31,25.5,30.08,18.25,17.0,85.09,79.62,7.75,11.56,290.06,368.1,13.57,15.14,1,0,4,55,18,160,0.231,51,1,5,83,6,4,8,0,64.0
0,213.76,195.95,82.94,93.63,552.76,606.26,0.22,0.09,241.21,234.13,32.75,30.08,47.15,38.43,233.13,307.53,25.5,27.73,18.25,16.3,85.09,69.0,7.75,10.83,290.06,260.86,13.57,8.64,1,0,4,49,29,147,0.136,47,2,9,68,5,4,16,1,63.0
1,213.76,232.55,82.94,98.85,552.76,621.8,0.22,0.12,241.21,253.71,32.75,48.75,47.15,43.31,233.13,288.61,25.5,40.56,18.25,16.33,85.09,79.67,7.75,18.29,290.06,311.05,13.57,13.7,1,0,3,47,10,85,0.435,43,9,4,36,3,1,8,0,61.0
2,213.76,232.6,82.94,85.1,552.76,600.25,0.22,0.18,241.21,240.0,32.75,30.29,47.15,47.93,233.13,269.94,25.5,24.65,18.25,10.7,85.09,85.47,7.75,16.82,290.06,306.53,13.57,19.3,0,0,4,39,22,118,0.144,35,5,5,48,5,2,12,3,52.0
1,213.76,166.13,82.94,70.96,552.76,485.35,0.22,0.18,241.21,271.23,32.75,40.17,47.15,55.43,233.13,249.35,25.5,36.54,18.25,10.64,85.09,60.07,7.75,9.91,290.06,268.92,13.57,28.57,1,0,3,44,12,106,0.302,38,8,12,44,1,0,8,1,56.0
2,213.76,272.38,82.94,112.44,552.76,710.81,0.22,0.21,241.21,272.6,32.75,45.55,47.15,69.67,233.13,329.36,25.5,59.62,18.25,26.67,85.09,102.5,7.75,18.22,290.06,400.82,13.57,21.5,0,0,4,44,22,138,0.159,42,8,11,39,7,3,12,4,61.0
3,213.76,232.88,82.94,98.88,552.76,702.12,0.22,0.2,241.21,311.5,32.75,27.43,47.15,56.46,233.13,334.06,25.5,30.27,18.25,10.7,85.09,118.5,7.75,18.4,290.06,322.56,13.57,9.78,0,0,3,26,19,109,0.064,23,2,9,45,8,0,10,5,33.0
0,213.76,223.17,82.94,103.78,552.76,662.67,0.22,-0.01,241.21,252.27,32.75,25.64,47.15,35.0,233.13,331.12,25.5,27.07,18.25,9.78,85.09,134.8,7.75,13.78,290.06,302.24,13.57,9.0,1,0,4,54,10,134,0.328,51,7,8,60,3,1,10,1,67.0
0,213.76,212.89,82.94,87.67,552.76,600.0,0.22,0.13,241.21,236.8,32.75,40.09,47.15,44.36,233.13,258.29,25.5,40.45,18.25,11.44,85.09,63.14,7.75,8.0,290.06,283.41,13.57,15.25,1,0,3,34,16,96,0.188,31,14/,5,41,3,1,16,1,57.0
1,213.76,293.53,82.94,119.07,552.76,785.47,0.22,0.15,241.21,314.23,32.75,35.08,47.15,53.25,233.13,382.46,25.5,33.42,18.25,21.67,85.09,111.11,7.75,18.3,290.06,424.54,13.57,15.0,1,0,3,43,16,119,0.227,41,3,7,55,3,1,22,0,58.0
5,213.76,201.48,82.94,88.24,552.76,658.62,0.22,0.2,241.21,231.06,32.75,29.4,47.15,43.62,233.13,337.1,25.5,27.2,18.25,15.36,85.09,84.77,7.75,11.09,290.06,299.56,13.57,15.83,0,0,4,48,23,182,0.137,41,7,7,101,5,1,12,1,62.0
1,213.76,253.11,82.94,108.22,552.76,731.39,0.22,0.03,241.21,283.93,32.75,34.85,47.15,53.38,233.13,340.12,25.5,36.92,18.25,14.3,85.09,89.31,7.75,15.18,290.06,337.21,13.57,9.2,1,0,3,53,19,152,0.224,48,4,9,77,2,0,12,0,63.0
8/,213.76,208.43,82.94,87.29,552.76,594.38,0.22,0.07,241.21,316.38,32.75,39.75,47.15,60.29,233.13,282.0,25.5,44.4,18.25,14.69,85.09,82.15,7.75,8.85,290.06,293.63,13.57,10.67,1,0,5,59,24,169,0.207,57,3,9,83,3,2,8,0,68.0
