BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,234.74,267.95,108.16,104.53,614.0,710.21,0.27,0.19,260.44,293.44,40.08,27.08,51.5,44.0,242.61,308.5,42.83,29.91,25.8,14.33,99.15,98.77,15.54,11.08,326.86,347.61,7.18,4.78,0,0,4,49,21,154,0.182,46,3,5,57,1,4,20,1,66.0
0,234.74,166.13,108.16,70.96,614.0,485.35,0.27,0.18,260.44,271.23,40.08,40.17,51.5,55.43,242.61,249.35,42.83,36.54,25.8,10.64,99.15,60.07,15.54,9.91,326.86,268.92,7.18,28.57,1,0,4,42,19,123,0.187,39,13,12,45,3,1,22,2,67.0
0,234.74,206.47,108.16,104.65,614.0,631.18,0.27,0.1,260.44,202.38,40.08,29.75,51.5,57.43,242.61,280.19,42.83,35.18,25.8,11.6,99.15,63.33,15.54,12.0,326.86,290.87,7.18,8.22,1,0,4,47,16,127,0.244,42,10,6,65,6,2,6,4,62.0
0,234.74,218.36,108.16,94.0,614.0,583.93,0.27,0.15,260.44,215.31,40.08,50.3,51.5,59.0,242.61,248.38,42.83,52.6,25.8,14.11,99.15,67.8,15.54,14.33,326.86,309.69,7.18,12.44,1,0,3,39,10,73,0.397,39,7,9,34,1,1,10,2,52.0
0,234.74,190.58,108.16,86.84,614.0,518.42,0.27,0.14,260.44,242.36,40.08,25.33,51.5,38.19,242.61,234.0,42.83,28.17,25.8,11.1,99.15,105.73,15.54,14.64,326.86,271.62,7.18,11.0,1,0,4,54,26,129,0.217,51,7,8,47,3,2,20,0,73.0
1,234.74,211.5,108.16,94.78,614.0,632.5,0.27,0.19,260.44,237.07,40.08,32.83,51.5,43.73,242.61,323.56,42.83,31.54,25.8,7.55,99.15,83.0,15.54,10.17,326.86,278.85,7.18,11.7,1,0,3,44,13,96,0.323,42,3,3,47,6,2,16,1,57.0
1,234.74,228.56,108.16,106.17,614.0,661.78,0.27,0.13,260.44,275.0,40.08,37.55,51.5,47.82,242.61,314.38,42.83,26.67,25.8,13.71,99.15,85.67,15.54,13.6,326.86,321.06,7.18,12.62,1,0,3,38,14,93,0.258,35,5,6,32,6,0,16,3,51.0
0,234.74,207.37,108.16,104.68,614.0,613.42,0.27,0.19,260.44,268.0,40.08,33.42,51.5,33.8,242.61,321.06,42.83,35.58,25.8,12.36,99.15,65.93,15.54,10.75,326.86,274.36,7.18,34.83,1,0,3,36,14,89,0.247,33,11,6,33,5,3,12,3,56.0
0,234.74,205.24,108.16,91.88,614.0,610.06,0.27,0.1,260.44,235.21,40.08,32.58,51.5,34.29,242.61,276.75,42.83,31.42,25.8,16.11,99.15,110.3,15.54,13.23,326.86,326.89,7.18,8.09,1,0,3,40,18,90,0.244,37,2,7,24,3,2,14,5,51.0
0,234.74,166.37,108.16,83.95,614.0,498.63,0.27,0.15,260.44,196.6,40.08,35.5,51.5,41.67,242.61,221.83,42.83,26.92,25.8,19.0,99.15,70.86,15.54,15.0,326.86,246.06,7.18,14.75,1,0,3,35,11,78,0.308,33,11,11,22,5,2,14,2,55.0
