BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
1,308.27,210.87,119.73,111.27,792.07,604.07,0.29,-0.02,327.46,257.91,45.27,44.45,63.55,59.73,339.71,291.92,54.11,50.0,21.5,10.89,117.9,59.27,11.33,10.3,423.32,339.67,10.5,8.62,1,0,3,39,11,83,0.337,37,4,7,33,4,1,12,1,50.0
2,308.27,209.81,119.73,84.43,792.07,602.1,0.29,0.25,327.46,269.87,45.27,34.67,63.55,53.36,339.71,323.71,54.11,27.31,21.5,10.2,117.9,139.8,11.33,14.2,423.32,312.39,10.5,10.11,0,0,4,69,26,160,0.269,62,1,3,63,6,0,20,3,80.0
0,308.27,207.37,119.73,104.68,792.07,613.42,0.29,0.19,327.46,268.0,45.27,33.42,63.55,33.8,339.71,321.06,54.11,35.58,21.5,12.36,117.9,65.93,11.33,10.75,423.32,274.36,10.5,34.83,1,0,3,34,12,79,0.278,30,7,6,31,3,3,13,1,50.5
4,308.27,214.26,119.73,94.42,792.07,600.84,0.29,0.12,327.46,240.62,45.27,29.83,63.55,35.85,339.71,280.29,54.11,32.67,21.5,16.56,117.9,77.0,11.33,12.43,423.32,284.28,10.5,7.88,1,0,3,41,14,103,0.262,36,8,3,34,4,3,16,0,60.0
2,308.27,225.0,119.73,96.95,792.07,643.95,0.29,0.1,327.46,287.0,45.27,25.8,63.55,47.88,339.71,314.06,54.11,27.64,21.5,23.55,117.9,72.62,11.33,9.64,423.32,317.24,10.5,18.6,1,0,4,56,19,145,0.255,51,7,9,56,6,1,26,0,77.0
0,308.27,216.36,119.73,87.05,792.07,600.41,0.29,0.2,327.46,277.0,45.27,37.0,63.55,43.27,339.71,333.82,54.11,30.73,21.5,17.0,117.9,112.58,11.33,11.92,423.32,317.5,10.5,15.27,1,0,5,57,20,164,0.226,50,6,8,65,9,3,28,2,80.0
0,308.27,194.17,119.73,73.06,792.07,528.11,0.29,0.13,327.46,234.93,45.27,29.1,63.55,32.62,339.71,265.75,54.11,23.73,21.5,10.64,117.9,49.47,11.33,10.2,423.32,251.41,10.5,10.71,1,0,3,46,12,96,0.354,42,7,7,38,2,6,8,0,63.0
4,308.27,267.88,119.73,111.53,792.07,717.29,0.29,0.16,327.46,284.47,45.27,35.0,63.55,51.67,339.71,326.53,54.11,40.85,21.5,16.18,117.9,74.0,11.33,16.33,423.32,382.53,10.5,9.75,0,0,4,45,23,139,0.158,43,3,5,69,6,3,10,3,56.0
1,308.27,208.43,119.73,87.29,792.07,594.38,0.29,0.07,327.46,316.38,45.27,39.75,63.55,60.29,339.71,282.0,54.11,44.4,21.5,14.69,117.9,82.15,11.33,8.85,423.32,293.63,10.5,10.67,1,0,4,56,23,135,0.244,51,7,6,64,9,4,14,0,74.0
0,308.27,229.89,119.73,95.17,792.07,649.72,0.29,0.16,327.46,238.56,45.27,32.46,63.55,41.75,339.71,293.82,54.11,28.19,21.5,10.89,117.9,52.8,11.33,7.11,423.32,297.29,10.5,11.42,1,0,3,46,13,101,0.327,40,5,7,43,3,3,8,0,58.0
1,308.27,269.72,119.73,119.11,792.07,825.67,0.29,0.13,327.46,285.38,45.27,28.71,63.55,36.41,339.71,396.0,54.11,34.0,21.5,12.56,117.9,99.14,11.33,9.75,423.32,356.71,10.5,9.78,1,0,3,36,6,86,0.349,35,6,5,41,3,6,14,0,55.0
4,308.27,299.67,119.73,122.53,792.07,841.73,0.29,0.21,327.46,379.09,45.27,36.82,63.55,60.82,339.71,395.57,54.11,45.75,21.5,30.88,117.9,120.56,11.33,21.25,423.32,406.39,10.5,16.62,1,0,3,50,21,125,0.232,45,1,10,56,3,3,16,0,62.0
2,308.27,222.11,119.73,90.22,792.07,615.17,0.29,0.19,327.46,269.29,45.27,26.93,63.55,50.69,339.71,286.81,54.11,33.91,21.5,9.6,117.9,86.67,11.33,10.0,423.32,311.94,10.5,8.3,1,0,4,54,18,145,0.248,51,7,8,73,10,0,23,3,72.5
0,308.27,267.95,119.73,104.53,792.07,710.21,0.29,0.19,327.46,293.44,45.27,27.08,63.55,44.0,339.71,308.5,54.11,29.91,21.5,14.33,117.9,98.77,11.33,11.08,423.32,347.61,10.5,4.78,0,0,5,63,27,181,0.199,60,4,5,63,4,3,16,2,78.0
0,308.27,245.33,119.73,80.33,792.07,626.61,0.29,0.21,327.46,290.14,45.27,31.38,63.55,51.14,339.71,313.87,54.11,23.57,21.5,11.2,117.9,90.17,11.33,13.0,423.32,342.31,10.5,9.43,0,0,4,53,23,151,0.199,49,1,8,57,11,1,20,6,65.0
