BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,206.33,176.85,119.5,79.25,663.61,521.1,0.07,0.19,205.0,206.44,31.86,29.83,47.29,37.0,279.22,251.83,32.47,30.17,13.6,15.0,75.08,64.0,10.77,10.33,281.41,281.88,16.22,17.71,0,0,3,29,22,104,0.067,27,2,7,41,6,1,6,3,35.0
0,206.33,227.65,119.5,108.18,663.61,721.12,0.07,0.07,205.0,259.93,31.86,26.29,47.29,32.73,279.22,377.0,32.47,33.08,13.6,14.78,75.08,73.54,10.77,14.55,281.41,323.27,16.22,9.73,0,0,4,39,24,164,0.091,36,4,7,66,5,2,12,0,51.0
0,206.33,200.05,119.5,91.68,663.61,611.73,0.07,0.05,205.0,257.25,31.86,34.4,47.29,43.61,279.22,312.89,32.47,43.85,13.6,14.7,75.08,65.86,10.77,15.73,281.41,276.25,16.22,6.33,0,0,5,57,38,223/,0.085,54,3,8,119/,8,0,6,0,63.0
0,206.33,204.83,119.5,93.22,663.61,586.83,0.07,0.15,205.0,199.24,31.86,33.87,47.29,45.21,279.22,264.06,32.47,42.38,13.6,15.86,75.08,67.85,10.77,14.25,281.41,279.24,16.22,8.64,0,0,3,29,16,115,0.113,27,2,8,48,2,1,4,1,34.0
3,206.33,210.87,119.5,111.27,663.61,604.07,0.07,-0.02,205.0,257.91,31.86,44.45,47.29,59.73,279.22,291.92,32.47,50.0,13.6,10.89,75.08,59.27,10.77,10.3,281.41,339.67,16.22,8.62,1,0,4,54,23,152,0.204,54,4,13,76,11,4,14,0,69.0
0,206.33,176.85,119.5,79.25,663.61,521.1,0.07,0.19,205.0,206.44,31.86,29.83,47.29,37.0,279.22,251.83,32.47,30.17,13.6,15.0,75.08,64.0,10.77,10.33,281.41,281.88,16.22,17.71,0,0,4,47,37,178,0.056,42,9,5,68,0,1,12,0,63.0
1,206.33,201.7,119.5,88.7,663.61,590.35,0.07,0.14,205.0,240.06,31.86,30.23,47.29,44.0,279.22,301.71,32.47,32.75,13.6,27.91,75.08,67.69,10.77,13.64,281.41,287.44,16.22,6.17,0,0,3,29,24,110,0.045,27,3,5,47,6,0,4,2,34.0
1,206.33,250.41,119.5,96.59,663.61,711.53,0.07,0.13,205.0,331.42,31.86,35.33,47.29,51.38,279.22,362.07,32.47,29.15,13.6,12.89,75.08,83.0,10.77,12.0,281.41,372.29,16.22,15.17,0,0,3,18,23,88,-0.057,17,0,4,32,3,1,8,1,23.0
1,206.33,248.12,119.5,106.24,663.61,761.0,0.07,0.13,205.0,283.36,31.86,28.36,47.29,42.38,279.22,380.94,32.47,34.17,13.6,20.42,75.08,66.42,10.77,10.46,281.41,328.66,16.22,15.33,0,0,3,23,15,107,0.075,21,4,3,41,5,0,12,0,33.0
2,206.33,215.47,119.5,100.11,663.61,652.74,0.07,0.15,205.0,239.94,31.86,37.46,47.29,40.6,279.22,326.41,32.47,35.69,13.6,17.5,75.08,68.0,10.77,12.15,281.41,294.5,16.22,13.86,0,0,4,43,32,153,0.072,40,6,12,71,7,1,10,1,55.0
