BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,244.59,322.06,106.88,114.75,704.65,942.88,0.11,0.19,264.53,407.33,39.08,45.67,49.86,60.83,327.81,550.08,44.09,49.0,10.6,21.0,77.77,129.9,13.08,18.7,327.41,467.11,10.67,16.83,1,0,4,56,25,170,0.182,56,11,5,91,8,3,8,2,74.0
1,244.59,193.53,106.88,100.47,704.65,601.74,0.11,0.09,264.53,245.07,39.08,40.33,49.86,52.17,327.81,294.88,44.09,36.15,10.6,16.5,77.77,71.69,13.08,13.44,327.41,297.44,10.67,12.5,1,0,3,48,16,126,0.254,46,3,7,63,6,0,2,2,52.0
0,244.59,204.4,106.88,85.1,704.65,592.6,0.11,0.2,264.53,224.65,39.08,26.8,49.86,36.0,327.81,297.06,44.09,31.25,10.6,11.0,77.77,82.77,13.08,9.62,327.41,285.44,10.67,7.46,0,0,3,27,15,104,0.115,26,3,8,38,3,1,4,2,33.0
1,244.59,253.11,106.88,108.22,704.65,731.39,0.11,0.03,264.53,283.93,39.08,34.85,49.86,53.38,327.81,340.12,44.09,36.92,10.6,14.3,77.77,89.31,13.08,15.18,327.41,337.21,10.67,9.2,1,0,3,50,17,128,0.258,50,3,10,61,3,0,2,1,54.0
0,244.59,219.39,106.88,100.56,704.65,594.5,0.11,0.13,264.53,246.53,39.08,32.31,49.86,46.5,327.81,285.0,44.09,40.09,10.6,14.6,77.77,91.15,13.08,15.75,327.41,319.22,10.67,11.56,1,0,5,59,20,143,0.273,55,13,10,63,8,1,20,5,83.0
0,244.59,320.0,106.88,130.8,704.65,988.8,0.11,0.19,264.53,378.42,39.08,42.82,49.86,62.55,327.81,552.23,44.09,45.33,10.6,14.56,77.77,109.92,13.08,11.08,327.41,466.27,10.67,8.5,1,0,3,46,18,130,0.215,44,4,3,78,9,0,8,1,54.0
2,244.59,276.88,106.88,117.12,704.65,815.81,0.11,0.15,264.53,319.23,39.08,51.73,49.86,63.82,327.81,411.0,44.09,53.5,10.6,18.67,77.77,115.0,13.08,15.67,327.41,386.63,10.67,13.43,0,0,4,41,22,139,0.137,40,4,5,68,11,0,16,2,53.0
0,244.59,244.94,106.88,111.76,704.65,701.65,0.11,0.22,264.53,280.64,39.08,38.69,49.86,43.36,327.81,336.27,44.09,44.08,10.6,14.89,77.77,109.64,13.08,14.45,327.41,360.27,10.67,14.6,1,0,3,43,13,101,0.297,43,6,4,55,5,1,4,3,52.0
2,244.59,204.3,106.88,93.5,704.65,608.5,0.11,0.2,264.53,214.83,39.08,23.4,49.86,34.88,327.81,287.37,44.09,21.37,10.6,15.56,77.77,67.79,13.08,11.71,327.41,265.76,10.67,10.29,1,0,5,62,27,171,0.205,60,13,11,70,4,2,12,2,83.0
2,244.59,311.57,106.88,135.71,704.65,822.71,0.11,0.11,264.53,345.33,39.08,44.6,49.86,66.1,327.81,419.27,44.09,38.0,10.6,13.44,77.77,102.3,13.08,13.4,327.41,453.38,10.67,13.14,0,0,3,24,11,102,0.127,23,2,4,40,3,0,6,1,29.0
1,244.59,284.27,106.88,121.67,704.65,719.13,0.11,0.11,264.53,331.75,39.08,41.58,49.86,53.21,327.81,296.14,44.09,45.2,10.6,16.1,77.77,123.64,13.08,15.6,327.41,400.29,10.67,6.44,0,0,4,48,25,134,0.172,44,8,6,49,7,0,6,2,59.0
0,244.59,263.88,106.88,109.12,704.65,718.29,0.11,0.29,264.53,277.73,39.08,27.08,49.86,46.33,327.81,313.38,44.09,25.0,10.6,21.14,77.77,118.69,13.08,13.0,327.41,358.16,10.67,11.89,0,0,3,44,24,130,0.154,41,2,2,61,6,2,4,0,50.0
1,244.59,275.8,106.88,122.87,704.65,774.0,0.11,0.16,264.53,299.77,39.08,42.55,49.86,60.45,327.81,360.69,44.09,35.08,10.6,12.0,77.77,111.08,13.08,15.92,327.41,388.21,10.67,13.0,0,0,3,28,22,114,0.053,28,1,8,40,1,0,2,1,30.0
0,244.59,277.21,106.88,133.21,704.65,802.93,0.11,0.09,264.53,302.25,39.08,39.7,49.86,54.18,327.81,346.08,44.09,33.38,10.6,8.62,77.77,142.1,13.08,14.5,327.41,389.04,10.67,8.38,1,0,5,67,32,182,0.192,64,8,11,77,6,1,14,1,83.0
4,244.59,228.05,106.88,109.47,704.65,642.47,0.11,0.07,264.53,289.5,39.08,30.0,49.86,47.27,327.81,299.69,44.09,35.27,10.6,15.7,77.77,111.31,13.08,15.17,327.41,348.34,10.67,16.67,0,0,5,39,21,137,0.131,37,2,13,50,4,0,24,2,53.0
