BHE,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
0,203.8,223.0,88.15,98.95,596.0,671.3,0.06,0.12,255.2,324.92,32.83,31.0,35.36,40.62,294.89,311.47,36.18,27.2,10.31,8.8,54.06,89.29,9.83,9.15,279.81,308.06,10.92,9.22,1,0,4,56,22,140,0.243,54,6,11,73,4,1,14,2,70.0
2,203.8,211.0,88.15,98.25,596.0,571.25,0.06,0.13,255.2,232.12,32.83,38.33,35.36,39.87,294.89,251.11,36.18,34.21,10.31,15.78,54.06,99.31,9.83,13.2,279.81,321.62,10.92,13.0,0,0,4,52,22,158,0.190,48,3,6,75,7,1,6,0,59.0
0,203.8,272.5,88.15,107.94,596.0,812.31,0.06,0.15,255.2,288.57,32.83,50.33,35.36,51.0,294.89,399.0,36.18,39.6,10.31,12.22,54.06,95.8,9.83,14.9,279.81,385.86,10.92,13.12,0,0,4,42,24,138,0.130,42,5,5,59,8,1,10,0,53.0
2,203.8,288.31,88.15,137.31,596.0,814.12,0.06,0.08,255.2,310.71,32.83,26.64,35.36,67.75,294.89,386.71,36.18,28.54,10.31,11.75,54.06,103.09,9.83,17.73,279.81,379.6,10.92,16.11,0,0,4,54,26,154,0.182,53,4,9,71,5,2,12,1,66.0
3,203.8,234.89,88.15,90.94,596.0,611.89,0.06,0.22,255.2,306.08,32.83,26.25,35.36,44.46,294.89,276.56,36.18,27.36,10.31,18.8,54.06,107.23,9.83,17.46,279.81,361.87,10.92,11.0,0,0,3,32,19,94,0.138,31,1,4,39,4,0,8,0,37.0
1,203.8,246.12,88.15,106.44,596.0,693.19,0.06,0.15,255.2,267.71,32.83,35.25,35.36,52.43,294.89,344.07,36.18,26.79,10.31,13.8,54.06,73.92,9.83,11.5,279.81,353.04,10.92,19.17,0,0,5,59,24,191,0.183,56,7,11,91,10,1,22,2,78.0
1,203.8,296.17,88.15,138.89,596.0,853.06,0.06,0.17,255.2,312.44,32.83,41.08,35.36,52.5,294.89,389.88,36.18,42.36,10.31,19.25,54.06,104.08,9.83,16.27,279.81,388.38,10.92,21.67,1,0,5,55,25,144,0.208,51,8,8,47,7,2,16,6,73.0
0,203.8,173.63,88.15,84.05,596.0,515.89,0.06,0.18,255.2,206.8,32.83,29.54,35.36,41.53,294.89,245.76,36.18,34.5,10.31,8.55,54.06,85.92,9.83,9.0,279.81,238.47,10.92,20.4,0,0,4,49,24,148,0.169,48,3,8,66,6,0,15,5,59.5
2,203.8,151.0,88.15,66.14,596.0,431.48,0.06,0.14,255.2,230.15,32.83,29.4,35.36,29.5,294.89,217.72,36.18,22.5,10.31,10.38,54.06,54.12,9.83,7.73,279.81,213.68,10.92,9.11,1,0,4,58,14,142,0.310,53,4,3,73,4,0,21,2,72.5
0,203.8,223.9,88.15,104.25,596.0,631.6,0.06,0.11,255.2,246.12,32.83,26.6,35.36,46.13,294.89,282.37,36.18,28.13,10.31,18.08,54.06,78.14,9.83,14.08,279.81,296.89,10.92,11.5,1,0,5,51,26,159,0.157,48,7,5,55,6,2,6,3,63.0
