Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,4,44,24,152,0.132,41,4,4,66,2,0,8,0,52.0,3,Rice,230.65,305.19,94.95,114.12,675.65,841.44,0.18,0.22,305.93,352.23,33.25,36.18,32.94,42.77,339.89,413.13,29.57,30.33,15.09,18.0,82.69,107.64,12.42,16.09,336.21,403.53,15.29,12.5
0,0,3,23,17,99,0.061,20,3,2,33,10,3,8,1,33.0,0,Texas Tech,230.65,184.83,94.95,76.26,675.65,502.13,0.18,0.17,305.93,248.94,33.25,23.31,32.94,38.29,339.89,239.8,29.57,31.42,15.09,11.2,82.69,93.79,12.42,12.2,336.21,245.11,15.29,16.0
1,0,3,50,13,117,0.316,49,5,5,61,2,0,8,0,59.0,4,Green Bay,230.65,264.29,94.95,109.94,675.65,779.88,0.18,0.09,305.93,349.92,33.25,39.5,32.94,40.14,339.89,406.4,29.57,30.58,15.09,12.11,82.69,132.11,12.42,14.6,336.21,399.39,15.29,10.6
0,0,4,50,18,157,0.204,46,2,8,69,4,3,10,3,60.0,4,TCU,230.65,199.7,94.95,83.4,675.65,546.05,0.18,0.14,305.93,316.33,33.25,33.18,32.94,50.75,339.89,274.29,29.57,22.79,15.09,10.2,82.69,68.44,12.42,21.6,336.21,278.25,15.29,8.22
1,0,3,41,11,114,0.263,35,6,3,58,3,1,22,0,59.0,0,Eastern Wash.,230.65,206.0,94.95,94.67,675.65,634.89,0.18,0.12,305.93,228.27,33.25,36.17,32.94,34.06,339.89,315.44,29.57,34.79,15.09,8.08,82.69,71.43,12.42,11.58,336.21,296.19,15.29,13.4
1,0,3,43,15,103,0.272,39,8,6,48,5,4,9,1,59.5,0,Western Caro.,230.65,215.94,94.95,92.33,675.65,665.0,0.18,0.12,305.93,254.86,33.25,38.7,32.94,41.85,339.89,318.53,29.57,35.73,15.09,14.7,82.69,57.15,12.42,17.7,336.21,299.53,15.29,8.11
1,0,3,37,15,93,0.237,36,5,0,51,0,3,10,2,50.0,0,Louisiana Tech,230.65,214.44,94.95,96.78,675.65,642.5,0.18,0.05,305.93,236.0,33.25,35.0,32.94,36.36,339.89,336.93,29.57,44.2,15.09,14.64,82.69,79.64,12.42,10.18,336.21,325.27,15.29,11.38
1,0,5,54,20,155,0.219,50,3,4,67,7,0,24,2,69.0,2,Troy,230.65,234.78,94.95,111.5,675.65,669.67,0.18,0.16,305.93,285.21,33.25,41.91,32.94,50.53,339.89,290.41,29.57,62.29,15.09,20.1,82.69,91.67,12.42,10.6,336.21,319.88,15.29,8.33
0,0,3,31,14,104,0.163,30,2,5,44,4,4,2,3,38.0,1,Clemson,230.65,283.67,94.95,118.17,675.65,707.83,0.18,0.12,305.93,300.44,33.25,34.0,32.94,51.69,339.89,312.2,29.57,36.67,15.09,22.22,82.69,108.18,12.42,20.89,336.21,422.87,15.29,14.12
0,0,3,31,23,113,0.071,29,6,7,47,5,2,12,2,45.0,1,UAB,230.65,213.11,94.95,92.67,675.65,579.78,0.18,0.18,305.93,257.07,33.25,33.0,32.94,41.47,339.89,280.27,29.57,31.07,15.09,18.56,82.69,82.09,12.42,20.5,336.21,325.57,15.29,10.43
0,0,5,65,31,195,0.174,58,3,6,89,4,0,18,3,77.0,2,North Florida,230.65,246.26,94.95,105.58,675.65,677.11,0.18,0.11,305.93,313.29,33.25,30.77,32.94,38.8,339.89,305.53,29.57,37.92,15.09,16.2,82.69,78.13,12.42,12.75,336.21,323.72,15.29,15.0
