Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,4,49,12,158,0.234,47,8,9,82,11,2,16,2,67.0,1,Nevada,322.06,244.59,114.75,106.88,942.88,704.65,0.19,0.11,407.33,264.53,45.67,39.08,60.83,49.86,550.08,327.81,49.0,44.09,21.0,10.6,129.9,77.77,18.7,13.08,467.11,327.41,16.83,10.67
1,0,4,61,8,149,0.356,58,8,10,73,6,0,24,3,81.0,1,Holy Cross,322.06,193.53,114.75,100.47,942.88,601.74,0.19,0.09,407.33,245.07,45.67,40.33,60.83,52.17,550.08,294.88,49.0,36.15,21.0,16.5,129.9,71.69,18.7,13.44,467.11,297.44,16.83,12.5
1,0,5,59,27,199,0.161,56,12,12,102,8,1,24,3,84.0,0,Utah Valley,322.06,284.16,114.75,124.21,942.88,812.89,0.19,0.08,407.33,362.64,45.67,42.31,60.83,41.19,550.08,381.29,49.0,42.14,21.0,12.2,129.9,121.44,18.7,13.15,467.11,391.25,16.83,8.58
1,0,4,58,14,185,0.238,57,6,8,89,6,2,20,1,76.0,2,UC Davis,322.06,204.4,114.75,85.1,942.88,592.6,0.19,0.2,407.33,224.65,45.67,26.8,60.83,36.0,550.08,297.06,49.0,31.25,21.0,11.0,129.9,82.77,18.7,9.62,467.11,285.44,16.83,7.46
1,0,4,51,12,146,0.267,49,8,7,58,5,1,12,3,66.0,0,SIUE,322.06,236.06,114.75,111.12,942.88,710.41,0.19,0.09,407.33,237.31,45.67,26.64,60.83,41.93,550.08,338.81,49.0,34.36,21.0,16.57,129.9,61.93,18.7,9.58,467.11,308.47,16.83,14.38
1,0,3,43,10,150,0.220,43,3,4,85,3,1,10,0,52.0,0,IUPUI,322.06,253.75,114.75,119.0,942.88,826.56,0.19,0.02,407.33,252.47,45.67,28.83,60.83,42.0,550.08,417.47,49.0,30.38,21.0,11.6,129.9,87.38,18.7,11.17,467.11,339.33,16.83,12.44
0,0,5,64,13,179,0.285,57,6,10,89,2,1,8,0,75.0,0,Western Mich.,322.06,262.82,114.75,107.06,942.88,739.65,0.19,0.24,407.33,273.27,45.67,33.67,60.83,44.07,550.08,346.62,49.0,30.64,21.0,17.45,129.9,79.5,18.7,11.82,467.11,346.31,16.83,12.22
1,0,5,65,19,160,0.287,60,4,6,68,5,4,6,3,76.0,4,Florida,322.06,226.8,114.75,94.0,942.88,596.95,0.19,0.19,407.33,277.8,45.67,33.43,60.83,54.79,550.08,266.06,49.0,39.6,21.0,16.0,129.9,104.43,18.7,14.58,467.11,311.11,16.83,12.67
1,0,3,41,7,89,0.382,37,5,4,50,0,1,8,2,51.0,1,Southern Ill.,322.06,195.95,114.75,93.63,942.88,606.26,0.19,0.09,407.33,234.13,45.67,30.08,60.83,38.43,550.08,307.53,49.0,27.73,21.0,16.3,129.9,69.0,18.7,10.83,467.11,260.86,16.83,8.64
0,0,5,56,23,182,0.181,52,1,8,83,6,2,24,2,71.0,2,CSUN,322.06,209.05,114.75,88.84,942.88,577.84,0.19,0.1,407.33,230.56,45.67,33.0,60.83,36.65,550.08,262.12,49.0,36.46,21.0,15.4,129.9,76.08,18.7,10.77,467.11,294.79,16.83,14.0
0,0,4,41,25,179,0.089,39,4,9,80,3,4,14,2,56.0,0,Arizona St.,322.06,225.0,114.75,96.95,942.88,643.95,0.19,0.1,407.33,287.0,45.67,25.8,60.83,47.88,550.08,314.06,49.0,27.64,21.0,23.55,129.9,72.62,18.7,9.64,467.11,317.24,16.83,18.6
0,0,4,34,10,118,0.203,32,9,9,42,8,3,10,3,51.0,1,Texas St.,322.06,249.8,114.75,93.75,942.88,643.85,0.19,0.23,407.33,315.73,45.67,33.69,60.83,50.67,550.08,285.05,49.0,27.2,21.0,15.27,129.9,105.17,18.7,14.73,467.11,346.28,16.83,7.88
1,0,3,34,8,89,0.292,31,2,10,36,1,3,14,0,46.0,0,Gonzaga,322.06,216.26,114.75,91.89,942.88,601.58,0.19,0.19,407.33,229.0,45.67,28.5,60.83,39.06,550.08,263.67,49.0,25.6,21.0,15.9,129.9,73.33,18.7,12.46,467.11,289.83,16.83,13.43
0,0,5,60,20,179,0.223,55,3,7,86,6,6,24,1,81.0,3,Idaho St.,322.06,284.59,114.75,114.06,942.88,774.76,0.19,0.18,407.33,460.3,45.67,46.0,60.83,40.57,550.08,348.56,49.0,40.0,21.0,19.11,129.9,113.83,18.7,16.4,467.11,413.27,16.83,14.17
1,0,4,58,24,145,0.234,56,6,7,65,5,2,10,4,71.0,0,Weber St.,322.06,238.35,114.75,95.76,942.88,661.53,0.19,0.17,407.33,293.23,45.67,44.36,60.83,39.93,550.08,348.29,49.0,43.9,21.0,13.44,129.9,110.09,18.7,19.3,467.11,351.1,16.83,13.17
1,0,3,45,6,108,0.361,43,7,11,55,1,1,6,0,56.0,0,Portland St.,322.06,226.88,114.75,96.53,942.88,673.41,0.19,0.23,407.33,257.71,45.67,36.25,60.83,41.38,550.08,331.53,49.0,37.5,21.0,10.7,129.9,77.62,18.7,12.09,467.11,306.47,16.83,14.3
0,0,5,56,20,174,0.207,52,8,10,88,7,1,14,2,72.0,2,Sacramento St.,322.06,276.88,114.75,117.12,942.88,815.81,0.19,0.15,407.33,319.23,45.67,51.73,60.83,63.82,550.08,411.0,49.0,53.5,21.0,18.67,129.9,115.0,18.7,15.67,467.11,386.63,16.83,13.43
1,0,3,47,9,102,0.373,44,3,10,52,2,5,6,4,58.0,1,Montana St.,322.06,247.82,114.75,107.0,942.88,719.35,0.19,0.07,407.33,231.71,45.67,34.92,60.83,45.29,550.08,332.56,49.0,34.08,21.0,12.56,129.9,93.08,18.7,16.33,467.11,331.47,16.83,16.38
1,0,3,45,10,122,0.287,44,3,5,79,4,1,12,1,55.0,3,Montana,322.06,251.88,114.75,112.76,942.88,720.12,0.19,0.2,407.33,334.67,45.67,36.92,60.83,44.14,550.08,346.87,49.0,44.27,21.0,11.08,129.9,86.77,18.7,11.58,467.11,361.47,16.83,12.12
