Result,Attend,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,0,5,54,23,140,0.221,51,10,10,49,7,2,26,3,79.0,0,DePaul,253.11,197.37,108.22,87.16,731.39,558.95,0.03,0.08,283.93,272.15,34.85,25.46,53.38,36.46,340.12,260.82,36.92,30.14,14.3,11.89,89.31,57.5,15.18,9.64,337.21,251.83,9.2,12.0
0,0,4,54,25,132,0.220,52,4,5,41,3,0,10,4,63.0,1,Xavier,253.11,214.26,108.22,94.42,731.39,600.84,0.03,0.12,283.93,240.62,34.85,29.83,53.38,35.85,340.12,280.29,36.92,32.67,14.3,16.56,89.31,77.0,15.18,12.43,337.21,284.28,9.2,7.88
0,0,4,35,24,133,0.083,34,4,5,59,10,1,18,3,49.0,1,Oklahoma,253.11,233.33,108.22,97.72,731.39,653.94,0.03,0.16,283.93,356.55,34.85,23.15,53.38,44.07,340.12,380.23,36.92,28.9,14.3,12.11,89.31,125.0,15.18,17.0,337.21,353.17,9.2,6.0
1,0,3,36,15,93,0.226,35,10,8,52,4,2,14,2,55.0,1,Milwaukee,253.11,223.0,108.22,98.95,731.39,671.3,0.03,0.12,283.93,324.92,34.85,31.0,53.38,40.62,340.12,311.47,36.92,27.2,14.3,8.8,89.31,89.29,15.18,9.15,337.21,308.06,9.2,9.22
0,0,3,34,15,112,0.170,33,3,6,58,3,2,4,0,41.0,0,Nevada,253.11,244.59,108.22,106.88,731.39,704.65,0.03,0.11,283.93,264.53,34.85,39.08,53.38,49.86,340.12,327.81,36.92,44.09,14.3,10.6,89.31,77.77,15.18,13.08,337.21,327.41,9.2,10.67
0,0,3,30,17,84,0.155,27,2,8,21,8,2,4,1,36.0,1,Virginia,253.11,219.39,108.22,100.56,731.39,594.5,0.03,0.13,283.93,246.53,34.85,32.31,53.38,46.5,340.12,285.0,36.92,40.09,14.3,14.6,89.31,91.15,15.18,15.75,337.21,319.22,9.2,11.56
0,0,5,54,22,186,0.172,48,9,9,99,9,0,24,2,75.0,2,Northern Ky.,253.11,320.0,108.22,130.8,731.39,988.8,0.03,0.19,283.93,378.42,34.85,42.82,53.38,62.55,340.12,552.23,36.92,45.33,14.3,14.56,89.31,109.92,15.18,11.08,337.21,466.27,9.2,8.5
1,0,3,38,17,106,0.198,36,7,2,48,7,2,12,2,53.0,0,Marshall,253.11,241.29,108.22,103.53,731.39,697.82,0.03,0.11,283.93,272.93,34.85,30.83,53.38,46.86,340.12,346.73,36.92,29.0,14.3,13.25,89.31,57.57,15.18,10.38,337.21,314.62,9.2,9.22
0,0,3,39,15,126,0.190,38,2,6,58,4,1,16,2,50.0,2,Georgia Tech,253.11,259.16,108.22,100.79,731.39,683.58,0.03,0.1,283.93,329.43,34.85,34.29,53.38,42.53,340.12,315.65,36.92,47.09,14.3,11.75,89.31,86.71,15.18,12.43,337.21,341.78,9.2,11.0
0,0,3,28,20,98,0.082,25,3,6,37,4,2,10,1,38.0,1,Alabama,253.11,299.67,108.22,122.53,731.39,841.73,0.03,0.21,283.93,379.09,34.85,36.82,53.38,60.82,340.12,395.57,36.92,45.75,14.3,30.88,89.31,120.56,15.18,21.25,337.21,406.39,9.2,16.62
0,0,4,60,18,167,0.251,57,3,8,82,7,1,12,2,70.0,0,Chicago St.,253.11,269.24,108.22,129.0,731.39,821.35,0.03,0.06,283.93,307.5,34.85,34.58,53.38,36.46,340.12,383.12,36.92,31.17,14.3,15.0,89.31,93.83,15.18,15.31,337.21,357.5,9.2,13.38
0,0,5,53,31,187,0.118,48,5,9,94,8,2,12,4,66.0,1,Southeast Mo. St.,253.11,234.11,108.22,99.0,731.39,673.61,0.03,0.16,283.93,246.19,34.85,38.5,53.38,45.29,340.12,334.69,36.92,39.25,14.3,13.56,89.31,86.58,15.18,8.69,337.21,332.34,9.2,7.83
0,0,3,27,19,81,0.099,24,0,3,29,5,0,2,3,28.0,1,Washington St.,253.11,363.79,108.22,142.21,731.39,1000.14,0.03,0.3,283.93,396.0,34.85,48.8,53.38,70.73,340.12,463.15,36.92,44.2,14.3,21.78,89.31,171.89,15.18,18.33,337.21,503.88,9.2,10.0
0,0,3,42,16,111,0.234,40,0,8,38,3,2,4,1,46.0,1,ETSU,253.11,309.0,108.22,122.69,731.39,852.31,0.03,0.16,283.93,421.91,34.85,37.09,53.38,62.38,340.12,419.0,36.92,35.18,14.3,20.89,89.31,120.5,15.18,25.89,337.21,409.5,9.2,8.75
0,0,5,49,26,167,0.138,48,6,9,69,3,0,18,1,64.0,1,Western Ky.,253.11,272.38,108.22,112.44,731.39,710.81,0.03,0.21,283.93,272.6,34.85,45.55,53.38,69.67,340.12,329.36,36.92,59.62,14.3,26.67,89.31,102.5,15.18,18.22,337.21,400.82,9.2,21.5
1,0,3,42,17,99,0.253,40,4,11,52,4,0,4,1,48.0,0,Toledo,253.11,213.5,108.22,95.11,731.39,655.06,0.03,0.14,283.93,275.85,34.85,30.33,53.38,42.2,340.12,336.56,36.92,33.73,14.3,16.64,89.31,55.43,15.18,8.0,337.21,298.62,9.2,12.36
1,0,4,56,25,160,0.194,51,10,6,68,3,2,16,0,76.0,0,Ball St.,253.11,261.67,108.22,103.11,731.39,727.44,0.03,0.29,283.93,288.4,34.85,32.46,53.38,42.69,340.12,354.69,36.92,30.23,14.3,23.2,89.31,119.2,15.18,15.11,337.21,350.59,9.2,11.57
1,0,4,64,15,151,0.325,58,9,8,59,6,2,16,1,83.0,1,Western Mich.,253.11,262.82,108.22,107.06,731.39,739.65,0.03,0.24,283.93,273.27,34.85,33.67,53.38,44.07,340.12,346.62,36.92,30.64,14.3,17.45,89.31,79.5,15.18,11.82,337.21,346.31,9.2,12.22
0,0,3,21,17,93,0.043,19,2,3,30,2,0,6,0,26.0,0,Eastern Mich.,253.11,297.94,108.22,118.35,731.39,850.76,0.03,0.2,283.93,339.64,34.85,39.83,53.38,51.64,340.12,419.69,36.92,37.92,14.3,15.9,89.31,89.0,15.18,13.4,337.21,392.53,9.2,12.38
1,0,4,55,22,163,0.202,48,5,7,68,0,3,24,0,75.0,0,Central Mich.,253.11,251.94,108.22,116.75,731.39,723.56,0.03,0.13,283.93,253.93,34.85,24.86,53.38,38.13,340.12,326.67,36.92,32.25,14.3,13.5,89.31,93.0,15.18,11.5,337.21,331.93,9.2,7.67
1,0,3,44,14,108,0.278,41,2,5,46,3,1,16,4,55.0,0,Akron,253.11,212.89,108.22,87.67,731.39,600.0,0.03,0.13,283.93,236.8,34.85,40.09,53.38,44.36,340.12,258.29,36.92,40.45,14.3,11.44,89.31,63.14,15.18,8.0,337.21,283.41,9.2,15.25
0,0,5,48,21,155,0.174,42,7,7,64,12,2,6,0,60.0,3,Buffalo,253.11,293.53,108.22,119.07,731.39,785.47,0.03,0.15,283.93,314.23,34.85,35.08,53.38,53.25,340.12,382.46,36.92,33.42,14.3,21.67,89.31,111.11,15.18,18.3,337.21,424.54,9.2,15.0
0,0,5,58,22,188,0.191,51,1,5,80,4,4,4,7,65.0,2,Kent St.,253.11,248.12,108.22,106.24,731.39,761.0,0.03,0.13,283.93,283.36,34.85,28.36,53.38,42.38,340.12,380.94,36.92,34.17,14.3,20.42,89.31,66.42,15.18,10.46,337.21,328.66,9.2,15.33
1,0,5,69,26,190,0.226,67,2,4,92,10,5,14,0,83.0,0,Ohio,253.11,208.43,108.22,87.29,731.39,594.38,0.03,0.07,283.93,316.38,34.85,39.75,53.38,60.29,340.12,282.0,36.92,44.4,14.3,14.69,89.31,82.15,15.18,8.85,337.21,293.63,9.2,10.67
0,0,3,33,20,109,0.119,32,5,2,43,4,0,6,1,41.0,0,Ball St.,253.11,261.67,108.22,103.11,731.39,727.44,0.03,0.29,283.93,288.4,34.85,32.46,53.38,42.69,340.12,354.69,36.92,30.23,14.3,23.2,89.31,119.2,15.18,15.11,337.21,350.59,9.2,11.57
1,0,4,49,16,129,0.256,46,5,10,64,8,3,12,0,63.0,2,Toledo,253.11,213.5,108.22,95.11,731.39,655.06,0.03,0.14,283.93,275.85,34.85,30.33,53.38,42.2,340.12,336.56,36.92,33.73,14.3,16.64,89.31,55.43,15.18,8.0,337.21,298.62,9.2,12.36
